id,carrera,puntaje,vacante,observacion,segunda_opcion
589139,ADMINISTRACIÓN - HUARAL,500.125,,,
592527,ADMINISTRACIÓN - HUARAL,,,AUSENTE,
582582,ADMINISTRACIÓN - HUARAL,802.875,,,
558619,ADMINISTRACIÓN - HUARAL,368.25,,,
577823,ADMINISTRACIÓN - HUARAL,207.375,,,
557845,ADMINISTRACIÓN - HUARAL,691.375,,,
572344,ADMINISTRACIÓN - HUARAL,648.0,,,
567855,ADMINISTRACIÓN - HUARAL,566.875,,,
556300,ADMINISTRACIÓN - HUARAL,1091.625,1.0,ALCANZO VACANTE,
576233,ADMINISTRACIÓN - HUARAL,622.625,,,
590289,ADMINISTRACIÓN - HUARAL,817.0,,,
