id,carrera,puntaje,vacante,observacion,segunda_opcion
557713,ADMINISTRACIÓN - S.J.L,690.25,,,
560298,ADMINISTRACIÓN - S.J.L,304.0,,,
577161,ADMINISTRACIÓN - S.J.L,690.25,,,
581895,ADMINISTRACIÓN - S.J.L,563.5,,,
593911,ADMINISTRACIÓN - S.J.L,521.25,,,
565052,ADMINISTRACIÓN - S.J.L,612.75,,,
574290,ADMINISTRACIÓN - S.J.L,,,AUSENTE,
591420,ADMINISTRACIÓN - S.J.L,456.125,,,
588726,ADMINISTRACIÓN - S.J.L,817.0,,,
593762,ADMINISTRACIÓN - S.J.L,711.375,,,
581606,ADMINISTRACIÓN - S.J.L,606.875,,,
578501,ADMINISTRACIÓN - S.J.L,457.875,,,
578047,ADMINISTRACIÓN - S.J.L,364.875,,,
590911,ADMINISTRACIÓN - S.J.L,474.125,,,
580103,ADMINISTRACIÓN - S.J.L,879.5,,,
592791,ADMINISTRACIÓN - S.J.L,715.0,,,
566877,ADMINISTRACIÓN - S.J.L,630.5,,,
556318,ADMINISTRACIÓN - S.J.L,543.125,,,
588215,ADMINISTRACIÓN - S.J.L,749.375,,,
551328,ADMINISTRACIÓN - S.J.L,860.375,,,
562710,ADMINISTRACIÓN - S.J.L,851.625,,,
569121,ADMINISTRACIÓN - S.J.L,606.0,,,
558193,ADMINISTRACIÓN - S.J.L,775.875,,,
584682,ADMINISTRACIÓN - S.J.L,502.875,,,
569717,ADMINISTRACIÓN - S.J.L,1080.875,1.0,ALCANZO VACANTE,
562925,ADMINISTRACIÓN - S.J.L,457.875,,,
571639,ADMINISTRACIÓN - S.J.L,265.75,,,
572455,ADMINISTRACIÓN - S.J.L,695.0,,,
563216,ADMINISTRACIÓN - S.J.L,541.75,,,
585341,ADMINISTRACIÓN - S.J.L,551.375,,,
583833,ADMINISTRACIÓN - S.J.L,795.875,,,
590627,ADMINISTRACIÓN - S.J.L,603.75,,,
588129,ADMINISTRACIÓN - S.J.L,667.125,,,
551477,ADMINISTRACIÓN - S.J.L,419.25,,,
550675,ADMINISTRACIÓN - LIMA,943.75,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
567304,ADMINISTRACIÓN - LIMA,943.75,4.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
577117,ADMINISTRACIÓN - LIMA,997.25,3.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
581894,ECONOMÍA,1122.875,2.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
