id,carrera,puntaje,vacante,observacion,segunda_opcion
822764,ANTROPOLOGÍA,721.5,,,
801632,ANTROPOLOGÍA,549.375,,,
708674,ANTROPOLOGÍA,696.125,,,
748896,ANTROPOLOGÍA,600.375,,,
773750,ANTROPOLOGÍA,800.375,,,
816051,ANTROPOLOGÍA,950.5,10.0,ALCANZO VACANTE,
801844,ANTROPOLOGÍA,521.25,,,
753378,ANTROPOLOGÍA,801.5,,,
837506,ANTROPOLOGÍA,838.125,,,
737729,ANTROPOLOGÍA,618.125,,,
829718,ANTROPOLOGÍA,799.25,,,
778074,ANTROPOLOGÍA,790.75,,,
813523,ANTROPOLOGÍA,1133.875,2.0,ALCANZO VACANTE,
833629,ANTROPOLOGÍA,984.25,7.0,ALCANZO VACANTE,
721103,ANTROPOLOGÍA,795.875,,,
707127,ANTROPOLOGÍA,632.5,,,
810451,ANTROPOLOGÍA,816.125,,,
799588,ANTROPOLOGÍA,697.25,,,
709218,ANTROPOLOGÍA,405.125,,,
717481,ANTROPOLOGÍA,850.75,,,
794439,ANTROPOLOGÍA,1123.125,3.0,ALCANZO VACANTE,
719753,ANTROPOLOGÍA,326.0,,,
696862,ANTROPOLOGÍA,902.625,15.0,ALCANZO VACANTE,
774312,ANTROPOLOGÍA,943.75,11.0,ALCANZO VACANTE,
695266,ANTROPOLOGÍA,599.5,,,
721436,ANTROPOLOGÍA,914.125,14.0,ALCANZO VACANTE,
708156,ANTROPOLOGÍA,797.0,,,
841327,ANTROPOLOGÍA,875.0,,,
809874,ANTROPOLOGÍA,922.625,13.0,ALCANZO VACANTE,
727839,ANTROPOLOGÍA,733.625,,,
787225,ANTROPOLOGÍA,840.375,,,
756113,ANTROPOLOGÍA,775.875,,,
780866,ANTROPOLOGÍA,1029.375,5.0,ALCANZO VACANTE,
748550,ANTROPOLOGÍA,968.5,8.0,ALCANZO VACANTE,
696894,ANTROPOLOGÍA,740.375,,,
717722,ANTROPOLOGÍA,520.625,,,
795380,ANTROPOLOGÍA,731.625,,,
813291,ANTROPOLOGÍA,669.125,,,
833887,ANTROPOLOGÍA,859.25,,,
780562,ANTROPOLOGÍA,966.0,9.0,ALCANZO VACANTE,
774307,ANTROPOLOGÍA,986.0,6.0,ALCANZO VACANTE,
723898,ANTROPOLOGÍA,629.125,,,
757765,ANTROPOLOGÍA,1142.875,1.0,ALCANZO VACANTE,
698950,ANTROPOLOGÍA,837.25,,,
768329,ANTROPOLOGÍA,1070.5,4.0,ALCANZO VACANTE,
791326,ANTROPOLOGÍA,795.875,,,
776404,ANTROPOLOGÍA,798.375,,,
712112,ANTROPOLOGÍA,806.0,,,
817403,ANTROPOLOGÍA,943.75,12.0,ALCANZO VACANTE,
751682,COMUNICACIÓN SOCIAL,1046.25,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
782595,COMUNICACIÓN SOCIAL,1133.875,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
790223,COMUNICACIÓN SOCIAL,1036.125,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
755134,DERECHO,1032.75,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
774723,DERECHO,1008.25,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
727941,DERECHO,1115.0,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
