id,carrera,puntaje,vacante,observacion,segunda_opcion
828889,ARTE,960.625,1.0,ALCANZO VACANTE,
839809,ARTE,828.5,,,
831535,ARTE,615.875,,,
761463,ARTE,572.5,,,
789476,ARTE,440.125,,,
810914,ARTE,814.125,,,
751821,ARTE,753.625,,,
795982,ARTE,781.5,,,
820060,ARTE,523.125,,,
763850,ARTE,802.875,,,
768619,ARTE,795.875,,,
772132,ARTE,628.5,,,
767945,ARTE,659.75,,,
813912,ARTE,676.375,,,
823508,ARTE,584.625,,,
828951,ARTE,711.375,,,
705513,ARTE,677.25,,,
751432,ARTE,289.625,,,
730512,ARTE,744.0,,,
720481,ARTE,849.625,,,
791118,ARTE,952.75,3.0,ALCANZO VACANTE,
839007,ARTE,795.875,,,
773593,ARTE,457.875,,,
791656,ARTE,607.125,,,
761003,ARTE,584.625,,,
817534,ARTE,955.0,2.0,ALCANZO VACANTE,
752634,ARTE,706.0,,,
718108,ARTE,563.5,,,
760998,ARTE,908.25,5.0,ALCANZO VACANTE,
720027,ARTE,929.375,4.0,ALCANZO VACANTE,
784462,ARTE,818.125,,,
730750,ARTE,711.375,,,
750485,ARTE,493.0,,,
803463,ARTE,766.0,,,
844961,ARTE,578.125,,,
705868,ARTE,,,AUSENTE,
699375,ARTE,395.25,,,
812240,ARTE,648.0,,,
730918,ARTE,736.125,,,
764846,ARTE,521.25,,,
719007,ARTE,605.75,,,
798244,ARTE,399.5,,,
813839,ARTE,554.125,,,
697597,ARTE,605.75,,,
776088,ARTE,712.5,,,
695741,ARTE,387.375,,,
720733,ARTE,739.5,,,
795557,ARTE,649.125,,,
803020,ARTE,649.125,,,
801010,ARTE,521.25,,,
747354,ARTE,702.875,,,
719797,ARTE,608.0,,,
755567,ARTE,845.125,,,
831602,ARTE,,,AUSENTE,
832346,ARTE,450.5,,,
818165,ARTE,525.125,,,
825362,ARTE,,,AUSENTE,
832972,ARTE,648.0,,,
748128,COMUNICACIÓN SOCIAL,1091.625,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
826121,COMUNICACIÓN SOCIAL,1205.125,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
804632,COMUNICACIÓN SOCIAL,1197.25,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
695359,COMUNICACIÓN SOCIAL,1008.25,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
712471,COMUNICACIÓN SOCIAL,1057.5,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
703282,COMUNICACIÓN SOCIAL,1070.5,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
710116,COMUNICACIÓN SOCIAL,1176.125,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
812356,COMUNICACIÓN SOCIAL,1180.625,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
794781,DERECHO,1124.0,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
804413,DERECHO,1009.625,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
787159,DERECHO,1029.375,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
720554,DERECHO,1075.0,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
