id,carrera,puntaje,vacante,observacion,segunda_opcion
828467,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,871.875,,,
779551,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,880.375,,,
716026,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,660.375,,,
746002,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,529.625,,,
749484,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,907.125,4.0,ALCANZO VACANTE,
835150,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,902.625,5.0,ALCANZO VACANTE,
781245,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,717.25,,,
758284,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,633.875,,,
762091,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,591.375,,,
779276,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,545.75,,,
829899,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,647.375,,,
724081,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,690.25,,,
747149,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,626.25,,,
796232,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,873.875,,,
832482,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,669.125,,,
756783,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,782.625,,,
717313,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,925.375,3.0,ALCANZO VACANTE,
789976,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,605.75,,,
775407,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,720.625,,,
698593,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,1049.375,2.0,ALCANZO VACANTE,
727205,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,701.75,,,
745544,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,738.375,,,
718376,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,1096.375,1.0,ALCANZO VACANTE,
784032,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,397.875,,,
762431,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,670.25,,,
808305,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,678.125,,,
712595,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,515.875,,,
833360,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,667.375,,,
741708,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,748.5,,,
731204,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,877.5,,,
775036,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,626.875,,,
831183,COMUNICACIÓN SOCIAL,1038.625,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
715778,COMUNICACIÓN SOCIAL,1050.5,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
753094,COMUNICACIÓN SOCIAL,1156.125,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
697716,DERECHO,1081.75,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
712810,DERECHO,986.0,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
748293,DERECHO,1028.5,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
824623,DERECHO,1112.75,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
724982,DERECHO,986.0,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
816744,DERECHO,1030.5,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
777435,LITERATURA,1020.625,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
