id,carrera,puntaje,vacante,observacion,segunda_opcion
827073,CIENCIA POLÍTICA,530.75,,,
799327,CIENCIA POLÍTICA,1193.0,13.0,ALCANZO VACANTE,
717721,CIENCIA POLÍTICA,1197.25,12.0,ALCANZO VACANTE,
725714,CIENCIA POLÍTICA,1056.125,35.0,ALCANZO VACANTE,
770479,CIENCIA POLÍTICA,1133.875,22.0,ALCANZO VACANTE,
747259,CIENCIA POLÍTICA,970.75,,,
836227,CIENCIA POLÍTICA,802.625,,,
798769,CIENCIA POLÍTICA,542.375,,,
756251,CIENCIA POLÍTICA,802.625,,,
840887,CIENCIA POLÍTICA,984.25,,,
810726,CIENCIA POLÍTICA,1050.5,37.0,ALCANZO VACANTE,
768133,CIENCIA POLÍTICA,1047.375,38.0,ALCANZO VACANTE,
740972,CIENCIA POLÍTICA,922.625,,,
844864,CIENCIA POLÍTICA,1029.375,41.0,ALCANZO VACANTE,
716852,CIENCIA POLÍTICA,,,AUSENTE,
762862,CIENCIA POLÍTICA,1128.5,23.0,ALCANZO VACANTE,
775202,CIENCIA POLÍTICA,642.875,,,
779004,CIENCIA POLÍTICA,885.125,,,
785087,CIENCIA POLÍTICA,651.375,,,
713177,CIENCIA POLÍTICA,728.25,,,
758628,CIENCIA POLÍTICA,1019.5,49.0,ALCANZO VACANTE,
836971,CIENCIA POLÍTICA,977.25,,,
701947,CIENCIA POLÍTICA,831.625,,,
741498,CIENCIA POLÍTICA,1165.125,15.0,ALCANZO VACANTE,
707082,CIENCIA POLÍTICA,1021.75,46.0,ALCANZO VACANTE,
828183,CIENCIA POLÍTICA,943.75,,,
826937,CIENCIA POLÍTICA,496.375,,,
774783,CIENCIA POLÍTICA,406.875,,,
807925,CIENCIA POLÍTICA,777.0,,,
809754,CIENCIA POLÍTICA,817.0,,,
787179,CIENCIA POLÍTICA,944.0,,,
749904,CIENCIA POLÍTICA,465.75,,,
702132,CIENCIA POLÍTICA,892.75,,,
824551,CIENCIA POLÍTICA,1430.75,1.0,ALCANZO VACANTE,
752935,CIENCIA POLÍTICA,901.5,,,
751907,CIENCIA POLÍTICA,731.875,,,
729151,CIENCIA POLÍTICA,860.375,,,
839739,CIENCIA POLÍTICA,922.625,,,
720883,CIENCIA POLÍTICA,1072.75,34.0,ALCANZO VACANTE,
720478,CIENCIA POLÍTICA,924.875,,,
808850,CIENCIA POLÍTICA,573.875,,,
772587,CIENCIA POLÍTICA,531.375,,,
790677,CIENCIA POLÍTICA,871.625,,,
827334,CIENCIA POLÍTICA,945.125,,,
726817,CIENCIA POLÍTICA,803.75,,,
809049,CIENCIA POLÍTICA,913.875,,,
763230,CIENCIA POLÍTICA,1092.75,29.0,ALCANZO VACANTE,
801042,CIENCIA POLÍTICA,864.875,,,
835825,CIENCIA POLÍTICA,732.5,,,
732284,CIENCIA POLÍTICA,878.375,,,
830953,CIENCIA POLÍTICA,1086.25,32.0,ALCANZO VACANTE,
773499,CIENCIA POLÍTICA,688.25,,,
733089,CIENCIA POLÍTICA,859.25,,,
769765,CIENCIA POLÍTICA,964.875,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
776690,CIENCIA POLÍTICA,810.75,,,
765367,CIENCIA POLÍTICA,567.375,,,
720808,CIENCIA POLÍTICA,798.125,,,
751753,CIENCIA POLÍTICA,901.5,,,
812382,CIENCIA POLÍTICA,629.625,,,
696757,CIENCIA POLÍTICA,904.0,,,
789171,CIENCIA POLÍTICA,787.125,,,
715859,CIENCIA POLÍTICA,699.5,,,
794086,CIENCIA POLÍTICA,960.625,,,
750599,CIENCIA POLÍTICA,338.625,,,
733941,CIENCIA POLÍTICA,772.75,,,
755518,CIENCIA POLÍTICA,732.5,,,
709271,CIENCIA POLÍTICA,1115.0,25.0,ALCANZO VACANTE,
779479,CIENCIA POLÍTICA,648.0,,,
779247,CIENCIA POLÍTICA,823.75,,,
766868,CIENCIA POLÍTICA,810.5,,,
728226,CIENCIA POLÍTICA,489.125,,,
784877,CIENCIA POLÍTICA,690.25,,,
844318,CIENCIA POLÍTICA,869.375,,,
803272,CIENCIA POLÍTICA,964.875,,,
804522,CIENCIA POLÍTICA,948.5,,,
720411,CIENCIA POLÍTICA,880.375,,,
811684,CIENCIA POLÍTICA,772.75,,,
798748,CIENCIA POLÍTICA,787.125,,,
835929,CIENCIA POLÍTICA,598.125,,,
806932,CIENCIA POLÍTICA,795.875,,,
702547,CIENCIA POLÍTICA,901.5,,,
739536,CIENCIA POLÍTICA,733.625,,,
721934,CIENCIA POLÍTICA,937.25,,,
768283,CIENCIA POLÍTICA,890.75,,,
807488,CIENCIA POLÍTICA,317.875,,,
699234,CIENCIA POLÍTICA,578.375,,,
827877,CIENCIA POLÍTICA,574.75,,,
695150,CIENCIA POLÍTICA,830.5,,,
789403,CIENCIA POLÍTICA,794.125,,,
697238,CIENCIA POLÍTICA,282.625,,,
699896,CIENCIA POLÍTICA,500.125,,,
750567,CIENCIA POLÍTICA,818.125,,,
796591,CIENCIA POLÍTICA,795.875,,,
824732,CIENCIA POLÍTICA,947.125,,,
753274,CIENCIA POLÍTICA,668.25,,,
773681,CIENCIA POLÍTICA,972.75,,,
723756,CIENCIA POLÍTICA,881.75,,,
806937,CIENCIA POLÍTICA,1197.25,11.0,ALCANZO VACANTE,
733532,CIENCIA POLÍTICA,593.625,,,
787251,CIENCIA POLÍTICA,722.625,,,
698493,CIENCIA POLÍTICA,604.875,,,
710018,CIENCIA POLÍTICA,1108.5,27.0,ALCANZO VACANTE,
793807,CIENCIA POLÍTICA,539.5,,,
767324,CIENCIA POLÍTICA,787.125,,,
787920,CIENCIA POLÍTICA,922.625,,,
792751,CIENCIA POLÍTICA,1007.125,,,
764287,CIENCIA POLÍTICA,634.75,,,
756369,CIENCIA POLÍTICA,981.75,,,
785352,CIENCIA POLÍTICA,526.0,,,
764102,CIENCIA POLÍTICA,943.75,,,
723794,CIENCIA POLÍTICA,1033.875,40.0,ALCANZO VACANTE,
795389,CIENCIA POLÍTICA,943.75,,,
762567,CIENCIA POLÍTICA,880.375,,,
704261,CIENCIA POLÍTICA,690.25,,,
760934,CIENCIA POLÍTICA,700.625,,,
696399,CIENCIA POLÍTICA,750.5,,,
838752,CIENCIA POLÍTICA,663.75,,,
792539,CIENCIA POLÍTICA,686.0,,,
826636,CIENCIA POLÍTICA,730.5,,,
831848,CIENCIA POLÍTICA,584.625,,,
738195,CIENCIA POLÍTICA,817.0,,,
783275,CIENCIA POLÍTICA,680.625,,,
831805,CIENCIA POLÍTICA,801.5,,,
758354,CIENCIA POLÍTICA,1028.25,44.0,ALCANZO VACANTE,
830678,CIENCIA POLÍTICA,711.375,,,
761892,CIENCIA POLÍTICA,928.5,,,
774963,CIENCIA POLÍTICA,668.25,,,
699810,CIENCIA POLÍTICA,1148.5,19.0,ALCANZO VACANTE,
708893,CIENCIA POLÍTICA,788.5,,,
810320,CIENCIA POLÍTICA,670.5,,,
840684,CIENCIA POLÍTICA,723.75,,,
734992,CIENCIA POLÍTICA,166.25,,,
710153,CIENCIA POLÍTICA,680.375,,,
762526,CIENCIA POLÍTICA,542.375,,,
756009,CIENCIA POLÍTICA,943.75,22.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
755495,CIENCIA POLÍTICA,542.875,,,
747253,CIENCIA POLÍTICA,648.0,,,
802292,CIENCIA POLÍTICA,1028.25,43.0,ALCANZO VACANTE,
785814,CIENCIA POLÍTICA,524.0,,,
770395,CIENCIA POLÍTICA,928.5,,,
834405,CIENCIA POLÍTICA,711.625,,,
709147,CIENCIA POLÍTICA,741.75,,,
843582,CIENCIA POLÍTICA,672.5,,,
718740,CIENCIA POLÍTICA,821.75,,,
821470,CIENCIA POLÍTICA,1155.0,17.0,ALCANZO VACANTE,
713146,CIENCIA POLÍTICA,762.875,,,
713580,CIENCIA POLÍTICA,997.25,,,
826086,CIENCIA POLÍTICA,818.125,,,
820677,CIENCIA POLÍTICA,888.25,,,
744038,CIENCIA POLÍTICA,1260.625,7.0,ALCANZO VACANTE,
818973,CIENCIA POLÍTICA,807.125,,,
776039,CIENCIA POLÍTICA,922.625,,,
735704,CIENCIA POLÍTICA,395.625,,,
786408,CIENCIA POLÍTICA,1104.0,28.0,ALCANZO VACANTE,
720590,CIENCIA POLÍTICA,901.5,,,
783308,CIENCIA POLÍTICA,1207.375,9.0,ALCANZO VACANTE,
821695,CIENCIA POLÍTICA,718.125,,,
827805,CIENCIA POLÍTICA,1148.5,20.0,ALCANZO VACANTE,
794893,CIENCIA POLÍTICA,516.125,,,
783486,CIENCIA POLÍTICA,709.375,,,
712849,CIENCIA POLÍTICA,881.5,,,
746475,CIENCIA POLÍTICA,695.875,,,
789571,CIENCIA POLÍTICA,,,AUSENTE,
701748,CIENCIA POLÍTICA,911.625,,,
828076,CIENCIA POLÍTICA,728.5,,,
838307,CIENCIA POLÍTICA,1008.25,51.0,ALCANZO VACANTE,
698770,CIENCIA POLÍTICA,769.625,,,
824204,CIENCIA POLÍTICA,1286.25,6.0,ALCANZO VACANTE,
740802,CIENCIA POLÍTICA,774.75,,,
789235,CIENCIA POLÍTICA,1091.625,31.0,ALCANZO VACANTE,
836947,CIENCIA POLÍTICA,1113.875,26.0,ALCANZO VACANTE,
838402,CIENCIA POLÍTICA,902.0,,,
755030,CIENCIA POLÍTICA,641.75,,,
811714,CIENCIA POLÍTICA,722.875,,,
785876,CIENCIA POLÍTICA,712.75,,,
800344,CIENCIA POLÍTICA,658.125,,,
833556,CIENCIA POLÍTICA,922.625,,,
747192,CIENCIA POLÍTICA,770.75,,,
819176,CIENCIA POLÍTICA,693.875,,,
723414,CIENCIA POLÍTICA,514.125,,,
746729,CIENCIA POLÍTICA,1155.0,18.0,ALCANZO VACANTE,
816181,CIENCIA POLÍTICA,732.5,,,
803683,CIENCIA POLÍTICA,928.25,,,
740129,CIENCIA POLÍTICA,1324.0,5.0,ALCANZO VACANTE,
835237,CIENCIA POLÍTICA,870.75,,,
799991,CIENCIA POLÍTICA,941.75,,,
803260,CIENCIA POLÍTICA,474.75,,,
721951,CIENCIA POLÍTICA,1251.875,8.0,ALCANZO VACANTE,
764913,CIENCIA POLÍTICA,1055.0,36.0,ALCANZO VACANTE,
791297,CIENCIA POLÍTICA,822.625,,,
699515,CIENCIA POLÍTICA,925.125,,,
802597,CIENCIA POLÍTICA,851.625,,,
778561,CIENCIA POLÍTICA,840.375,,,
704260,CIENCIA POLÍTICA,1158.375,16.0,ALCANZO VACANTE,
776499,CIENCIA POLÍTICA,707.375,,,
841231,CIENCIA POLÍTICA,1021.75,47.0,ALCANZO VACANTE,
819807,CIENCIA POLÍTICA,728.25,,,
797504,CIENCIA POLÍTICA,618.625,,,
843855,CIENCIA POLÍTICA,859.25,,,
