id,carrera,puntaje,vacante,observacion,segunda_opcion
215938,CIENCIAS BIOLÓGICAS,634.75,,,
216247,CIENCIAS BIOLÓGICAS,555.25,,,
216234,CIENCIAS BIOLÓGICAS,522.375,,,
216542,CIENCIAS BIOLÓGICAS,432.5,,,
218260,CIENCIAS BIOLÓGICAS,592.5,,,
217644,CIENCIAS BIOLÓGICAS,640.625,,,
214070,CIENCIAS BIOLÓGICAS,927.375,14.0,ALCANZO VACANTE,
215947,CIENCIAS BIOLÓGICAS,500.125,,,
215773,CIENCIAS BIOLÓGICAS,697.0,,,
218365,CIENCIAS BIOLÓGICAS,817.0,,,
213537,CIENCIAS BIOLÓGICAS,734.125,,,
219701,CIENCIAS BIOLÓGICAS,734.125,,,
214176,CIENCIAS BIOLÓGICAS,711.375,,,
215289,CIENCIAS BIOLÓGICAS,614.75,,,
213130,CIENCIAS BIOLÓGICAS,546.5,,,
212555,CIENCIAS BIOLÓGICAS,737.25,,,
214537,CIENCIAS BIOLÓGICAS,905.375,18.0,ALCANZO VACANTE,
218216,CIENCIAS BIOLÓGICAS,691.875,,,
210817,CIENCIAS BIOLÓGICAS,352.25,,,
216820,CIENCIAS BIOLÓGICAS,670.25,,,
213816,CIENCIAS BIOLÓGICAS,626.875,,,
210408,CIENCIAS BIOLÓGICAS,655.875,,,
218352,CIENCIAS BIOLÓGICAS,795.875,,,
218132,CIENCIAS BIOLÓGICAS,475.0,,,
219812,CIENCIAS BIOLÓGICAS,544.0,,,
211999,CIENCIAS BIOLÓGICAS,817.0,,,
219309,CIENCIAS BIOLÓGICAS,658.125,,,
219050,CIENCIAS BIOLÓGICAS,388.5,,,
215643,CIENCIAS BIOLÓGICAS,543.5,,,
214088,CIENCIAS BIOLÓGICAS,815.0,,,
215466,CIENCIAS BIOLÓGICAS,680.375,,,
219051,CIENCIAS BIOLÓGICAS,717.25,,,
217881,CIENCIAS BIOLÓGICAS,1049.375,6.0,ALCANZO VACANTE,
217867,CIENCIAS BIOLÓGICAS,547.125,,,
