id,carrera,puntaje,vacante,observacion,segunda_opcion
587261,CONTABILIDAD - LIMA,366.0,,,
591351,CONTABILIDAD - LIMA,364.875,,,
588326,CONTABILIDAD - LIMA,359.25,,,
582378,CONTABILIDAD - LIMA,559.75,,,
594423,CONTABILIDAD - LIMA,853.875,,,
575634,CONTABILIDAD - LIMA,696.375,,,
560653,CONTABILIDAD - LIMA,594.75,,,
575787,CONTABILIDAD - LIMA,386.25,,,
579488,CONTABILIDAD - LIMA,739.25,,,
575350,CONTABILIDAD - LIMA,817.0,,,
557753,CONTABILIDAD - LIMA,912.75,,,
577917,CONTABILIDAD - LIMA,558.125,,,
564583,CONTABILIDAD - LIMA,753.625,,,
593897,CONTABILIDAD - LIMA,690.25,,,
590731,CONTABILIDAD - LIMA,592.75,,,
550768,CONTABILIDAD - LIMA,717.25,,,
573070,CONTABILIDAD - LIMA,836.375,,,
594205,CONTABILIDAD - LIMA,744.875,,,
589455,CONTABILIDAD - LIMA,1091.625,40.0,ALCANZO VACANTE,
574067,CONTABILIDAD - LIMA,616.375,,,
587479,CONTABILIDAD - LIMA,861.75,,,
593120,CONTABILIDAD - LIMA,1007.125,86.0,ALCANZO VACANTE,
556897,CONTABILIDAD - LIMA,813.0,,,
572965,CONTABILIDAD - LIMA,609.125,,,
572393,CONTABILIDAD - LIMA,727.375,,,
569602,CONTABILIDAD - LIMA,690.25,,,
559984,CONTABILIDAD - LIMA,584.0,,,
558643,CONTABILIDAD - LIMA,802.625,,,
554572,CONTABILIDAD - LIMA,700.625,,,
568960,CONTABILIDAD - LIMA,800.625,,,
559923,CONTABILIDAD - LIMA,808.5,,,
567236,CONTABILIDAD - LIMA,649.125,,,
569889,CONTABILIDAD - LIMA,584.625,,,
559519,CONTABILIDAD - LIMA,476.375,,,
588572,CONTABILIDAD - LIMA,989.875,93.0,ALCANZO VACANTE,
586068,CONTABILIDAD - LIMA,880.375,,,
581320,CONTABILIDAD - LIMA,693.0,,,
589520,CONTABILIDAD - LIMA,600.625,,,
