id,carrera,puntaje,vacante,observacion,segunda_opcion
555854,CONTABILIDAD - S.J.L,513.875,,,
573142,CONTABILIDAD - S.J.L,394.5,,,
581917,CONTABILIDAD - S.J.L,578.125,,,
590005,CONTABILIDAD - S.J.L,892.75,,,
568051,CONTABILIDAD - S.J.L,358.375,,,
559852,CONTABILIDAD - S.J.L,859.25,,,
582567,CONTABILIDAD - S.J.L,591.625,,,
581207,CONTABILIDAD - S.J.L,308.0,,,
558965,CONTABILIDAD - S.J.L,813.875,,,
569843,CONTABILIDAD - S.J.L,663.75,,,
573668,CONTABILIDAD - S.J.L,737.0,,,
588011,CONTABILIDAD - S.J.L,542.375,,,
551295,CONTABILIDAD - S.J.L,773.875,,,
591580,CONTABILIDAD - S.J.L,672.5,,,
555454,CONTABILIDAD - S.J.L,403.5,,,
556190,CONTABILIDAD - S.J.L,582.875,,,
592415,CONTABILIDAD - S.J.L,479.0,,,
591839,CONTABILIDAD - S.J.L,553.625,,,
555653,CONTABILIDAD - S.J.L,690.25,,,
568097,CONTABILIDAD - S.J.L,889.375,,,
592418,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA,1005.125,1.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONTABILIDAD - S.J.L
578979,CONTABILIDAD - LIMA,922.625,2.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONTABILIDAD - S.J.L
571209,CONTABILIDAD - LIMA,901.5,4.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONTABILIDAD - S.J.L
586115,CONTABILIDAD - LIMA,900.875,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONTABILIDAD - S.J.L
578291,CONTABILIDAD - LIMA,903.75,3.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONTABILIDAD - S.J.L
