id,carrera,puntaje,vacante,observacion,segunda_opcion
787319,EDUCACIÓN FÍSICA,894.388,,,
718355,EDUCACIÓN FÍSICA,886.325,,,
800475,EDUCACIÓN FÍSICA,799.717,,,
736542,EDUCACIÓN FÍSICA,694.571,,,
799809,EDUCACIÓN FÍSICA,973.771,12.0,ALCANZO VACANTE,
739918,EDUCACIÓN FÍSICA,834.504,,,
809861,EDUCACIÓN FÍSICA,880.692,,,
767113,EDUCACIÓN FÍSICA,725.904,,,
721955,EDUCACIÓN FÍSICA,766.629,,,
803093,EDUCACIÓN FÍSICA,844.875,,,
803547,EDUCACIÓN FÍSICA,946.933,16.0,ALCANZO VACANTE,
700633,EDUCACIÓN FÍSICA,757.783,,,
829961,EDUCACIÓN FÍSICA,768.733,,,
730637,EDUCACIÓN FÍSICA,738.321,,,
732148,EDUCACIÓN FÍSICA,786.021,,,
794445,EDUCACIÓN FÍSICA,598.029,,,
697771,EDUCACIÓN FÍSICA,973.654,13.0,ALCANZO VACANTE,
788592,EDUCACIÓN FÍSICA,911.054,33.0,ALCANZO VACANTE,
810764,EDUCACIÓN FÍSICA,738.983,,,
839951,EDUCACIÓN FÍSICA,671.958,,,
824429,EDUCACIÓN FÍSICA,1039.596,4.0,ALCANZO VACANTE,
827563,EDUCACIÓN FÍSICA,809.046,,,
831604,EDUCACIÓN FÍSICA,,,AUSENTE,
777551,EDUCACIÓN FÍSICA,941.721,19.0,ALCANZO VACANTE,
843369,EDUCACIÓN FÍSICA,866.383,,,
699343,EDUCACIÓN FÍSICA,958.683,15.0,ALCANZO VACANTE,
823375,EDUCACIÓN FÍSICA,854.812,,,
714091,EDUCACIÓN FÍSICA,768.925,,,
732459,EDUCACIÓN FÍSICA,919.963,27.0,ALCANZO VACANTE,
770030,EDUCACIÓN FÍSICA,960.504,14.0,ALCANZO VACANTE,
695509,EDUCACIÓN FÍSICA,616.554,,,
819037,EDUCACIÓN FÍSICA,876.2,,,
835720,EDUCACIÓN FÍSICA,839.471,,,
695498,EDUCACIÓN FÍSICA,737.342,,,
727153,EDUCACIÓN FÍSICA,680.513,,,
821165,EDUCACIÓN FÍSICA,781.35,,,
738499,EDUCACIÓN FÍSICA,572.621,,,
803095,EDUCACIÓN FÍSICA,945.462,18.0,ALCANZO VACANTE,
767563,EDUCACIÓN FÍSICA,901.533,34.0,ALCANZO VACANTE,
802464,EDUCACIÓN FÍSICA,917.783,29.0,ALCANZO VACANTE,
827793,EDUCACIÓN FÍSICA,876.329,,,
844443,EDUCACIÓN FÍSICA,779.058,,,
756002,EDUCACIÓN FÍSICA,925.479,23.0,ALCANZO VACANTE,
783867,EDUCACIÓN FÍSICA,888.554,,,
813217,EDUCACIÓN FÍSICA,758.633,,,
696453,EDUCACIÓN FÍSICA,682.083,,,
701035,EDUCACIÓN FÍSICA,775.354,,,
713466,EDUCACIÓN FÍSICA,925.054,24.0,ALCANZO VACANTE,
827817,EDUCACIÓN FÍSICA,793.6,,,
817618,EDUCACIÓN FÍSICA,999.842,8.0,ALCANZO VACANTE,
726826,EDUCACIÓN FÍSICA,813.896,,,
777865,EDUCACIÓN FÍSICA,890.75,,,
761009,EDUCACIÓN FÍSICA,828.804,,,
707923,EDUCACIÓN FÍSICA,672.808,,,
764602,EDUCACIÓN FÍSICA,740.437,,,
841475,EDUCACIÓN FÍSICA,825.479,,,
711135,EDUCACIÓN FÍSICA,757.904,,,
808904,EDUCACIÓN FÍSICA,767.479,,,
754367,EDUCACIÓN FÍSICA,889.175,,,
781668,EDUCACIÓN FÍSICA,1034.921,5.0,ALCANZO VACANTE,
734500,EDUCACIÓN FÍSICA,1034.017,6.0,ALCANZO VACANTE,
796643,EDUCACIÓN FÍSICA,871.117,,,
775543,EDUCACIÓN FÍSICA,807.604,,,
708616,EDUCACIÓN FÍSICA,919.838,28.0,ALCANZO VACANTE,
734929,EDUCACIÓN FÍSICA,742.383,,,
837215,EDUCACIÓN FÍSICA,926.813,22.0,ALCANZO VACANTE,
827930,EDUCACIÓN FÍSICA,920.325,26.0,ALCANZO VACANTE,
791456,EDUCACIÓN FÍSICA,1218.258,1.0,ALCANZO VACANTE,
704579,EDUCACIÓN FÍSICA,1188.746,2.0,ALCANZO VACANTE,
836088,EDUCACIÓN FÍSICA,853.233,,,
733465,EDUCACIÓN FÍSICA,835.3,,,
790781,EDUCACIÓN FÍSICA,805.471,,,
711660,EDUCACIÓN FÍSICA,796.738,,,
730391,EDUCACIÓN FÍSICA,892.571,,,
812472,EDUCACIÓN FÍSICA,1171.229,3.0,ALCANZO VACANTE,
756460,EDUCACIÓN FÍSICA,605.121,,,
721016,EDUCACIÓN FÍSICA,748.013,,,
782089,EDUCACIÓN FÍSICA,745.058,,,
816914,EDUCACIÓN FÍSICA,780.271,,,
790150,EDUCACIÓN FÍSICA,915.054,32.0,ALCANZO VACANTE,
832795,EDUCACIÓN FÍSICA,791.404,,,
708408,EDUCACIÓN FÍSICA,792.146,,,
705518,EDUCACIÓN FÍSICA,582.079,,,
752868,EDUCACIÓN FÍSICA,686.938,,,
791624,EDUCACIÓN FÍSICA,991.654,9.0,ALCANZO VACANTE,
793423,EDUCACIÓN FÍSICA,736.496,,,
839980,EDUCACIÓN FÍSICA,986.25,11.0,ALCANZO VACANTE,
745168,EDUCACIÓN FÍSICA,874.563,,,
791465,EDUCACIÓN FÍSICA,1011.9,7.0,ALCANZO VACANTE,
696161,EDUCACIÓN FÍSICA,916.508,31.0,ALCANZO VACANTE,
793631,EDUCACIÓN FÍSICA,851.117,,,
785812,EDUCACIÓN FÍSICA,921.479,25.0,ALCANZO VACANTE,
736686,EDUCACIÓN FÍSICA,492.308,,,
815136,EDUCACIÓN FÍSICA,,,AUSENTE,
754316,EDUCACIÓN FÍSICA,871.117,,,
831646,EDUCACIÓN FÍSICA,917.538,30.0,ALCANZO VACANTE,
716195,EDUCACIÓN FÍSICA,928.992,21.0,ALCANZO VACANTE,
799791,EDUCACIÓN FÍSICA,931.296,20.0,ALCANZO VACANTE,
821878,EDUCACIÓN FÍSICA,454.496,,,
775274,EDUCACIÓN FÍSICA,945.904,17.0,ALCANZO VACANTE,
839184,EDUCACIÓN FÍSICA,770.938,,,
725271,EDUCACIÓN FÍSICA,821.238,,,
732109,EDUCACIÓN FÍSICA,990.021,10.0,ALCANZO VACANTE,
777298,EDUCACIÓN FÍSICA,898.083,,,
714903,EDUCACIÓN FÍSICA,806.683,,,
736750,EDUCACIÓN FÍSICA,797.783,,,
