id,carrera,puntaje,vacante,observacion,segunda_opcion
119172,ENFERMERÍA,639.25,,,
109794,ENFERMERÍA,356.75,,,
161516,ENFERMERÍA,,,AUSENTE,
125403,ENFERMERÍA,774.75,,,
164609,ENFERMERÍA,462.625,,,
140878,ENFERMERÍA,638.125,,,
123803,ENFERMERÍA,439.25,,,
182836,ENFERMERÍA,502.375,,,
118610,ENFERMERÍA,648.0,,,
167261,ENFERMERÍA,986.0,24.0,ALCANZO VACANTE,
111488,ENFERMERÍA,523.5,,,
167399,ENFERMERÍA,739.5,,,
101205,ENFERMERÍA,613.875,,,
156749,ENFERMERÍA,394.5,,,
151100,ENFERMERÍA,936.125,36.0,ALCANZO VACANTE,
152350,ENFERMERÍA,436.75,,,
149720,ENFERMERÍA,373.375,,,
192462,ENFERMERÍA,373.375,,,
151530,ENFERMERÍA,571.625,,,
155815,ENFERMERÍA,667.125,,,
187136,ENFERMERÍA,563.5,,,
189182,ENFERMERÍA,758.375,,,
111216,ENFERMERÍA,639.25,,,
100556,ENFERMERÍA,522.875,,,
160630,ENFERMERÍA,675.875,,,
164571,ENFERMERÍA,466.875,,,
198690,ENFERMERÍA,666.0,,,
179711,ENFERMERÍA,375.625,,,
160698,ENFERMERÍA,626.875,,,
157184,ENFERMERÍA,584.625,,,
151395,ENFERMERÍA,694.75,,,
117868,ENFERMERÍA,388.25,,,
180872,ENFERMERÍA,137.0,,,
105282,ENFERMERÍA,427.375,,,
137203,ENFERMERÍA,208.25,,,
196369,ENFERMERÍA,810.5,,,
184195,ENFERMERÍA,481.5,,,
135158,ENFERMERÍA,419.5,,,
197093,ENFERMERÍA,826.5,,,
100485,ENFERMERÍA,358.625,,,
195296,ENFERMERÍA,605.75,,,
170333,ENFERMERÍA,,,AUSENTE,
122266,ENFERMERÍA,288.875,,,
186826,ENFERMERÍA,558.125,,,
179473,ENFERMERÍA,363.75,,,
182869,ENFERMERÍA,706.0,,,
182922,ENFERMERÍA,702.875,,,
123223,ENFERMERÍA,551.625,,,
135709,ENFERMERÍA,574.75,,,
130705,ENFERMERÍA,697.25,,,
151819,ENFERMERÍA,615.875,,,
186225,ENFERMERÍA,1040.625,14.0,ALCANZO VACANTE,
143395,ENFERMERÍA,399.5,,,
193508,ENFERMERÍA,479.0,,,
123242,ENFERMERÍA,732.5,,,
148140,ENFERMERÍA,722.625,,,
181963,ENFERMERÍA,559.25,,,
180200,ENFERMERÍA,795.875,,,
164325,ENFERMERÍA,675.875,,,
143251,ENFERMERÍA,1347.375,1.0,ALCANZO VACANTE,
134992,ENFERMERÍA,504.875,,,
165195,ENFERMERÍA,521.25,,,
163541,ENFERMERÍA,565.75,,,
117424,ENFERMERÍA,344.0,,,
134881,ENFERMERÍA,436.125,,,
106648,ENFERMERÍA,968.25,28.0,ALCANZO VACANTE,
140199,ENFERMERÍA,491.875,,,
183273,ENFERMERÍA,596.125,,,
142341,ENFERMERÍA,775.0,,,
153442,ENFERMERÍA,532.5,,,
131437,ENFERMERÍA,667.125,,,
179228,ENFERMERÍA,795.875,,,
153818,ENFERMERÍA,859.25,,,
100937,ENFERMERÍA,688.25,,,
140254,ENFERMERÍA,352.25,,,
156117,ENFERMERÍA,766.25,,,
178550,ENFERMERÍA,806.0,,,
189386,ENFERMERÍA,836.125,,,
107535,ENFERMERÍA,748.25,,,
150138,ENFERMERÍA,844.875,,,
105325,ENFERMERÍA,479.0,,,
167216,ENFERMERÍA,471.875,,,
190257,ENFERMERÍA,452.75,,,
199624,ENFERMERÍA,670.25,,,
182274,ENFERMERÍA,424.875,,,
148116,ENFERMERÍA,315.0,,,
129642,ENFERMERÍA,680.625,,,
127753,ENFERMERÍA,691.375,,,
114967,ENFERMERÍA,666.0,,,
103786,ENFERMERÍA,891.625,,,
191254,ENFERMERÍA,753.625,,,
169028,ENFERMERÍA,753.625,,,
195673,ENFERMERÍA,605.75,,,
171187,ENFERMERÍA,395.625,,,
146390,ENFERMERÍA,437.25,,,
114955,ENFERMERÍA,563.75,,,
185459,ENFERMERÍA,333.875,,,
152653,ENFERMERÍA,689.375,,,
150371,ENFERMERÍA,881.75,,,
186441,ENFERMERÍA,592.75,,,
100319,ENFERMERÍA,464.875,,,
