id,carrera,puntaje,vacante,observacion,segunda_opcion
217238,ESTADÍSTICA,606.875,,,
214968,ESTADÍSTICA,584.625,,,
216460,ESTADÍSTICA,311.125,,,
216213,ESTADÍSTICA,817.0,,,
211309,ESTADÍSTICA,1200.625,2.0,ALCANZO VACANTE,
218721,ESTADÍSTICA,632.75,,,
214028,ESTADÍSTICA,279.25,,,
218612,ESTADÍSTICA,254.75,,,
217591,ESTADÍSTICA,753.625,,,
216669,ESTADÍSTICA,637.25,,,
212999,ESTADÍSTICA,605.75,,,
214395,ESTADÍSTICA,437.875,,,
219747,ESTADÍSTICA,646.25,,,
214112,ESTADÍSTICA,501.25,,,
215470,ESTADÍSTICA,479.0,,,
215385,ESTADÍSTICA,763.75,,,
213069,ESTADÍSTICA,732.5,,,
215922,ESTADÍSTICA,806.25,,,
210507,ESTADÍSTICA,795.875,,,
216127,ESTADÍSTICA,591.625,,,
219124,ESTADÍSTICA,397.25,,,
219158,ESTADÍSTICA,271.625,,,
216474,ESTADÍSTICA,542.375,,,
219496,ESTADÍSTICA,436.75,,,
219659,ESTADÍSTICA,483.75,,,
217188,ESTADÍSTICA,322.625,,,
217011,ESTADÍSTICA,584.625,,,
213749,ESTADÍSTICA,490.25,,,
211480,ESTADÍSTICA,964.875,7.0,ALCANZO VACANTE,
217174,ESTADÍSTICA,605.75,,,
217933,ESTADÍSTICA,656.125,,,
214074,ESTADÍSTICA,883.75,,,
219608,ESTADÍSTICA,621.5,,,
219074,ESTADÍSTICA,732.5,,,
218803,ESTADÍSTICA,701.75,,,
216760,ESTADÍSTICA,880.375,,,
217804,ESTADÍSTICA,,,AUSENTE,
217165,ESTADÍSTICA,520.375,,,
214098,ESTADÍSTICA,579.25,,,
217718,ESTADÍSTICA,543.5,,,
213968,ESTADÍSTICA,425.125,,,
211881,ESTADÍSTICA,420.625,,,
217237,ESTADÍSTICA,1366.25,1.0,ALCANZO VACANTE,
213119,ESTADÍSTICA,549.125,,,
210173,ESTADÍSTICA,,,AUSENTE,
213876,ESTADÍSTICA,595.0,,,
216619,ESTADÍSTICA,423.75,,,
218849,ESTADÍSTICA,859.25,,,
212911,ESTADÍSTICA,649.375,,,
218115,ESTADÍSTICA,637.25,,,
218342,ESTADÍSTICA,692.5,,,
217276,ESTADÍSTICA,782.0,,,
212390,ESTADÍSTICA,712.5,,,
218626,ESTADÍSTICA,1149.625,3.0,ALCANZO VACANTE,
215028,ESTADÍSTICA,683.75,,,
217411,ESTADÍSTICA,648.0,,,
215082,ESTADÍSTICA,668.5,,,
213005,ESTADÍSTICA,819.5,,,
219956,ESTADÍSTICA,986.0,6.0,ALCANZO VACANTE,
213467,ESTADÍSTICA,460.125,,,
216513,ESTADÍSTICA,447.125,,,
219984,ESTADÍSTICA,611.625,,,
217672,ESTADÍSTICA,553.875,,,
217850,ESTADÍSTICA,712.5,,,
219849,ESTADÍSTICA,669.125,,,
215745,ESTADÍSTICA,648.0,,,
216997,ESTADÍSTICA,394.5,,,
217245,ESTADÍSTICA,526.0,,,
219607,ESTADÍSTICA,644.875,,,
217944,ESTADÍSTICA,605.75,,,
219530,ESTADÍSTICA,471.625,,,
217760,ESTADÍSTICA,876.375,,,
212840,ESTADÍSTICA,480.125,,,
213158,ESTADÍSTICA,1049.375,4.0,ALCANZO VACANTE,
218672,ESTADÍSTICA,523.5,,,
213479,ESTADÍSTICA,537.0,,,
216601,ESTADÍSTICA,522.375,,,
215633,ESTADÍSTICA,847.375,,,
218560,ESTADÍSTICA,691.375,,,
212455,ESTADÍSTICA,479.0,,,
214066,ESTADÍSTICA,410.5,,,
217967,ESTADÍSTICA,410.25,,,
212731,ESTADÍSTICA,797.0,,,
213656,ESTADÍSTICA,420.375,,,
211337,ESTADÍSTICA,795.875,,,
216189,ESTADÍSTICA,403.5,,,
210190,ESTADÍSTICA,838.125,,,
216010,ESTADÍSTICA,773.875,,,
218794,ESTADÍSTICA,762.875,,,
218170,ESTADÍSTICA,523.5,,,
217543,ESTADÍSTICA,591.375,,,
218535,ESTADÍSTICA,481.25,,,
216175,ESTADÍSTICA,711.375,,,
212317,ESTADÍSTICA,444.0,,,
218828,ESTADÍSTICA,817.0,,,
215634,ESTADÍSTICA,542.375,,,
214045,ESTADÍSTICA,753.625,,,
212146,ESTADÍSTICA,753.625,,,
219821,ESTADÍSTICA,484.625,,,
212953,ESTADÍSTICA,321.75,,,
215112,ESTADÍSTICA,622.625,,,
215480,ESTADÍSTICA,666.25,,,
210835,ESTADÍSTICA,434.75,,,
215686,ESTADÍSTICA,517.0,,,
210684,ESTADÍSTICA,449.375,,,
212452,ESTADÍSTICA,826.0,,,
214650,ESTADÍSTICA,837.25,,,
216548,ESTADÍSTICA,633.625,,,
210203,ESTADÍSTICA,667.375,,,
212910,ESTADÍSTICA,154.75,,,
219419,ESTADÍSTICA,384.875,,,
213320,ESTADÍSTICA,605.75,,,
218706,ESTADÍSTICA,244.0,,,
210114,ESTADÍSTICA,464.625,,,
211849,ESTADÍSTICA,801.5,,,
210878,ESTADÍSTICA,1036.125,5.0,ALCANZO VACANTE,
219863,ESTADÍSTICA,593.875,,,
217781,ESTADÍSTICA,521.25,,,
213332,ESTADÍSTICA,380.625,,,
218181,ESTADÍSTICA,585.75,,,
214873,ESTADÍSTICA,726.0,,,
219126,ESTADÍSTICA,690.25,,,
211140,ESTADÍSTICA,714.75,,,
218121,ESTADÍSTICA,852.75,,,
215568,ESTADÍSTICA,420.625,,,
217159,ESTADÍSTICA,480.625,,,
219582,ESTADÍSTICA,281.75,,,
214467,ESTADÍSTICA,508.0,,,
217364,GENÉTICA Y BIOTECNOLOGÍA,947.125,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ESTADÍSTICA
