id,carrera,puntaje,vacante,observacion,segunda_opcion
747631,FILOSOFÍA,,,AUSENTE,
750277,FILOSOFÍA,561.5,,,
809304,FILOSOFÍA,632.75,,,
831254,FILOSOFÍA,1330.75,1.0,ALCANZO VACANTE,
802462,FILOSOFÍA,612.75,,,
717871,FILOSOFÍA,670.25,,,
796571,FILOSOFÍA,758.625,,,
754389,FILOSOFÍA,457.875,,,
697108,FILOSOFÍA,785.125,,,
828069,FILOSOFÍA,579.75,,,
812796,FILOSOFÍA,711.375,,,
760543,FILOSOFÍA,725.125,,,
748379,FILOSOFÍA,1133.875,3.0,ALCANZO VACANTE,
832827,FILOSOFÍA,670.25,,,
730506,FILOSOFÍA,663.75,,,
789024,FILOSOFÍA,774.75,,,
774657,FILOSOFÍA,673.625,,,
705966,FILOSOFÍA,922.625,10.0,ALCANZO VACANTE,
794917,FILOSOFÍA,858.375,,,
743864,FILOSOFÍA,944.875,9.0,ALCANZO VACANTE,
807734,FILOSOFÍA,,,AUSENTE,
750291,FILOSOFÍA,838.375,,,
724868,FILOSOFÍA,714.75,,,
719815,FILOSOFÍA,1092.75,4.0,ALCANZO VACANTE,
767892,FILOSOFÍA,583.75,,,
841176,FILOSOFÍA,1197.25,2.0,ALCANZO VACANTE,
776884,FILOSOFÍA,1009.375,6.0,ALCANZO VACANTE,
770214,FILOSOFÍA,839.25,,,
696305,FILOSOFÍA,903.75,11.0,ALCANZO VACANTE,
744308,FILOSOFÍA,881.5,,,
787497,FILOSOFÍA,735.875,,,
710577,FILOSOFÍA,650.25,,,
787394,FILOSOFÍA,1028.25,5.0,ALCANZO VACANTE,
838741,FILOSOFÍA,449.375,,,
769059,FILOSOFÍA,953.875,8.0,ALCANZO VACANTE,
731025,FILOSOFÍA,1008.25,7.0,ALCANZO VACANTE,
777026,FILOSOFÍA,902.625,12.0,ALCANZO VACANTE,
706074,FILOSOFÍA,375.625,,,
785233,COMUNICACIÓN SOCIAL,1176.125,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,FILOSOFÍA
755536,COMUNICACIÓN SOCIAL,1207.375,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,FILOSOFÍA
709830,DERECHO,1133.875,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,FILOSOFÍA
