id,carrera,puntaje,vacante,observacion,segunda_opcion
217407,FÍSICA,848.25,,,
217206,FÍSICA,635.0,,,
211408,FÍSICA,839.25,,,
215293,FÍSICA,859.25,,,
210150,FÍSICA,1430.75,1.0,ALCANZO VACANTE,
216340,FÍSICA,817.0,,,
212440,FÍSICA,654.75,,,
218570,FÍSICA,647.125,,,
213921,FÍSICA,469.125,,,
219765,FÍSICA,797.0,,,
215950,FÍSICA,472.5,,,
217460,FÍSICA,651.625,,,
215775,FÍSICA,475.25,,,
218779,FÍSICA,503.5,,,
211631,FÍSICA,543.5,,,
217725,FÍSICA,544.625,,,
217544,FÍSICA,439.5,,,
211466,FÍSICA,852.75,,,
216018,FÍSICA,730.5,,,
213528,FÍSICA,812.75,,,
217269,FÍSICA,415.25,,,
214508,FÍSICA,564.625,,,
216290,FÍSICA,396.75,,,
216365,FÍSICA,577.75,,,
219524,FÍSICA,809.375,,,
219528,FÍSICA,358.375,,,
212616,FÍSICA,380.625,,,
217146,FÍSICA,313.875,,,
219596,FÍSICA,1013.875,4.0,ALCANZO VACANTE,
215490,FÍSICA,238.375,,,
217659,FÍSICA,614.125,,,
214116,FÍSICA,1082.875,3.0,ALCANZO VACANTE,
214136,FÍSICA,775.0,,,
212828,FÍSICA,732.5,,,
215187,FÍSICA,735.0,,,
212782,FÍSICA,655.875,,,
214247,FÍSICA,656.375,,,
218234,FÍSICA,548.5,,,
213746,FÍSICA,420.625,,,
217541,FÍSICA,995.0,5.0,ALCANZO VACANTE,
217609,FÍSICA,965.375,6.0,ALCANZO VACANTE,
210361,FÍSICA,332.75,,,
213183,FÍSICA,1091.625,2.0,ALCANZO VACANTE,
219478,FÍSICA,795.875,,,
218305,FÍSICA,481.5,,,
211643,FÍSICA,675.875,,,
215909,FÍSICA,574.125,,,
217792,FÍSICA,843.75,,,
215343,FÍSICA,576.125,,,
215506,FÍSICA,233.875,,,
214522,FÍSICA,902.625,7.0,ALCANZO VACANTE,
210112,FÍSICA,544.0,,,
219972,FÍSICA,792.75,,,
216113,FÍSICA,819.25,,,
218337,FÍSICA,632.75,,,
217991,FÍSICA,228.25,,,
217468,FÍSICA,479.0,,,
213169,FÍSICA,495.5,,,
216528,FÍSICA,732.5,,,
216407,FÍSICA,584.625,,,
210377,FÍSICA,713.625,,,
214456,FÍSICA,621.5,,,
