id,carrera,puntaje,vacante,observacion,segunda_opcion
735981,GEOGRAFÍA,962.875,8.0,ALCANZO VACANTE,
783477,GEOGRAFÍA,1189.625,3.0,ALCANZO VACANTE,
723733,GEOGRAFÍA,468.0,,,
722855,GEOGRAFÍA,597.0,,,
816920,GEOGRAFÍA,686.25,,,
781512,GEOGRAFÍA,457.25,,,
833129,GEOGRAFÍA,711.625,,,
803440,GEOGRAFÍA,783.75,,,
733078,GEOGRAFÍA,675.0,,,
776109,GEOGRAFÍA,861.75,,,
735794,GEOGRAFÍA,459.0,,,
751578,GEOGRAFÍA,453.875,,,
734563,GEOGRAFÍA,522.375,,,
818700,GEOGRAFÍA,927.375,9.0,ALCANZO VACANTE,
702375,GEOGRAFÍA,446.25,,,
835242,GEOGRAFÍA,492.75,,,
815511,GEOGRAFÍA,882.625,,,
770577,GEOGRAFÍA,748.25,,,
767513,GEOGRAFÍA,1239.5,2.0,ALCANZO VACANTE,
729352,GEOGRAFÍA,517.25,,,
776959,GEOGRAFÍA,755.0,,,
728369,GEOGRAFÍA,964.875,7.0,ALCANZO VACANTE,
762219,GEOGRAFÍA,689.625,,,
712019,GEOGRAFÍA,1125.125,4.0,ALCANZO VACANTE,
786864,GEOGRAFÍA,923.75,10.0,ALCANZO VACANTE,
695362,GEOGRAFÍA,1065.125,5.0,ALCANZO VACANTE,
794789,GEOGRAFÍA,415.625,,,
783612,GEOGRAFÍA,784.875,,,
699294,GEOGRAFÍA,981.75,6.0,ALCANZO VACANTE,
722615,GEOGRAFÍA,717.25,,,
819784,GEOGRAFÍA,1260.625,1.0,ALCANZO VACANTE,
803199,GEOGRAFÍA,584.625,,,
766763,GEOGRAFÍA,711.375,,,
695632,GEOGRAFÍA,788.5,,,
779709,GEOGRAFÍA,757.25,,,
699969,GEOGRAFÍA,795.875,,,
696012,GEOGRAFÍA,669.125,,,
817499,GEOGRAFÍA,671.375,,,
769765,CIENCIA POLÍTICA,964.875,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
756009,CIENCIA POLÍTICA,943.75,22.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
729553,COMUNICACIÓN SOCIAL,1008.25,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
762083,COMUNICACIÓN SOCIAL,1053.875,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
722438,DERECHO,964.875,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
806472,DERECHO,952.75,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
830003,DERECHO,1041.75,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
710357,DERECHO,938.375,24.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
710811,DERECHO,1008.25,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
745831,DERECHO,943.75,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
748866,DERECHO,970.75,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
745855,DERECHO,1091.625,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
796087,EDUCACIÓN SECUNDARIA,942.875,23.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
830770,LITERATURA,943.75,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GEOGRAFÍA
