id,carrera,puntaje,vacante,observacion,segunda_opcion
231753,INGENIERÍA AGROINDUSTRIAL,329.375,,,
267030,INGENIERÍA AGROINDUSTRIAL,658.125,,,
224593,INGENIERÍA AGROINDUSTRIAL,162.875,,,
256329,INGENIERÍA AGROINDUSTRIAL,882.625,,,
243744,INGENIERÍA AGROINDUSTRIAL,509.375,,,
281177,INGENIERÍA AGROINDUSTRIAL,309.125,,,
293311,INGENIERÍA AGROINDUSTRIAL,855.0,,,
273975,INGENIERÍA AGROINDUSTRIAL,395.625,,,
223568,INGENIERÍA AGROINDUSTRIAL,521.25,,,
307265,INGENIERÍA AGROINDUSTRIAL,843.75,,,
230197,INGENIERÍA AGROINDUSTRIAL,732.5,,,
220017,INGENIERÍA AGROINDUSTRIAL,,,AUSENTE,
233398,INGENIERÍA AGROINDUSTRIAL,831.875,,,
294741,INGENIERÍA AGROINDUSTRIAL,569.375,,,
284108,INGENIERÍA AGROINDUSTRIAL,648.25,,,
239193,INGENIERÍA AGROINDUSTRIAL,360.125,,,
297568,INGENIERÍA AGROINDUSTRIAL,78.375,,,
270873,INGENIERÍA AGROINDUSTRIAL,391.875,,,
263500,INGENIERÍA AGROINDUSTRIAL,428.5,,,
300733,INGENIERÍA AGROINDUSTRIAL,298.125,,,
246443,INGENIERÍA AGROINDUSTRIAL,455.0,,,
223902,INGENIERÍA AGROINDUSTRIAL,582.625,,,
289083,INGENIERÍA AGROINDUSTRIAL,712.5,,,
240874,INGENIERÍA AGROINDUSTRIAL,459.0,,,
302143,INGENIERÍA AGROINDUSTRIAL,,,AUSENTE,
231541,INGENIERÍA AGROINDUSTRIAL,322.875,,,
260674,INGENIERÍA AGROINDUSTRIAL,669.125,,,
288943,INGENIERÍA AGROINDUSTRIAL,606.875,,,
274418,INGENIERÍA AGROINDUSTRIAL,730.5,,,
246803,INGENIERÍA AGROINDUSTRIAL,820.625,,,
236772,INGENIERÍA AGROINDUSTRIAL,986.0,2.0,ALCANZO VACANTE,
292291,INGENIERÍA AGROINDUSTRIAL,445.75,,,
287958,INGENIERÍA AGROINDUSTRIAL,549.375,,,
292785,INGENIERÍA AGROINDUSTRIAL,530.75,,,
251407,INGENIERÍA AGROINDUSTRIAL,774.75,,,
308889,INGENIERÍA AGROINDUSTRIAL,397.5,,,
245142,INGENIERÍA AGROINDUSTRIAL,430.5,,,
295002,INGENIERÍA AGROINDUSTRIAL,436.75,,,
290310,INGENIERÍA AGROINDUSTRIAL,747.125,,,
279991,INGENIERÍA AGROINDUSTRIAL,415.625,,,
221598,INGENIERÍA AGROINDUSTRIAL,542.375,,,
256941,INGENIERÍA AGROINDUSTRIAL,479.0,,,
254601,INGENIERÍA AGROINDUSTRIAL,521.25,,,
295499,INGENIERÍA AGROINDUSTRIAL,517.0,,,
261252,INGENIERÍA AGROINDUSTRIAL,369.125,,,
289360,INGENIERÍA AGROINDUSTRIAL,782.625,,,
261026,INGENIERÍA AGROINDUSTRIAL,569.125,,,
222261,INGENIERÍA AGROINDUSTRIAL,336.125,,,
269513,INGENIERÍA AGROINDUSTRIAL,517.25,,,
305699,INGENIERÍA AGROINDUSTRIAL,394.5,,,
243135,INGENIERÍA AGROINDUSTRIAL,669.125,,,
276180,INGENIERÍA AGROINDUSTRIAL,708.5,,,
239115,INGENIERÍA AGROINDUSTRIAL,525.75,,,
299118,INGENIERÍA AGROINDUSTRIAL,986.0,1.0,ALCANZO VACANTE,
257211,INGENIERÍA AGROINDUSTRIAL,479.0,,,
302398,INGENIERÍA AGROINDUSTRIAL,348.0,,,
270770,INGENIERÍA AGROINDUSTRIAL,584.625,,,
265970,INGENIERÍA AGROINDUSTRIAL,626.875,,,
251315,INGENIERÍA AGROINDUSTRIAL,558.125,,,
285091,INGENIERÍA AGROINDUSTRIAL,297.25,,,
265966,INGENIERÍA AGROINDUSTRIAL,774.75,,,
