id,carrera,puntaje,vacante,observacion,segunda_opcion
220084,INGENIERÍA BIOMÉDICA,521.25,,,
293013,INGENIERÍA BIOMÉDICA,,,AUSENTE,
299696,INGENIERÍA BIOMÉDICA,1514.125,1.0,ALCANZO VACANTE,
253381,INGENIERÍA BIOMÉDICA,919.75,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA METALÚRGICA
288049,INGENIERÍA BIOMÉDICA,861.5,,,
270286,INGENIERÍA BIOMÉDICA,748.25,,,
282805,INGENIERÍA BIOMÉDICA,543.5,,,
288320,INGENIERÍA BIOMÉDICA,460.125,,,
284857,INGENIERÍA BIOMÉDICA,429.375,,,
287931,INGENIERÍA BIOMÉDICA,556.125,,,
280898,INGENIERÍA BIOMÉDICA,756.125,,,
281506,INGENIERÍA BIOMÉDICA,991.625,,,
272327,INGENIERÍA BIOMÉDICA,760.625,,,
281024,INGENIERÍA BIOMÉDICA,1007.125,26.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA QUÍMICA
275445,INGENIERÍA BIOMÉDICA,849.375,,,
305688,INGENIERÍA BIOMÉDICA,687.125,,,
253154,INGENIERÍA BIOMÉDICA,923.75,,,
263082,INGENIERÍA BIOMÉDICA,795.875,,,
295050,INGENIERÍA BIOMÉDICA,349.125,,,
258804,INGENIERÍA BIOMÉDICA,1067.625,23.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA QUÍMICA
308001,INGENIERÍA BIOMÉDICA,1111.875,16.0,ALCANZO VACANTE,
296550,INGENIERÍA BIOMÉDICA,669.375,,,
283594,INGENIERÍA BIOMÉDICA,605.75,,,
275239,INGENIERÍA BIOMÉDICA,563.5,,,
269117,INGENIERÍA BIOMÉDICA,955.0,,,
255385,INGENIERÍA BIOMÉDICA,893.0,,,
263603,INGENIERÍA BIOMÉDICA,564.0,,,
232006,INGENIERÍA BIOMÉDICA,670.75,,,
265492,INGENIERÍA BIOMÉDICA,964.0,,,
222518,INGENIERÍA BIOMÉDICA,927.125,,,
288720,INGENIERÍA BIOMÉDICA,711.375,,,
230597,INGENIERÍA BIOMÉDICA,907.125,,,
277236,INGENIERÍA BIOMÉDICA,997.5,,,
284066,INGENIERÍA BIOMÉDICA,1019.5,,,
226167,INGENIERÍA BIOMÉDICA,550.25,,,
240070,INGENIERÍA BIOMÉDICA,669.125,,,
287119,INGENIERÍA BIOMÉDICA,817.0,,,
269968,INGENIERÍA BIOMÉDICA,744.875,,,
275511,INGENIERÍA BIOMÉDICA,1233.0,6.0,ALCANZO VACANTE,
220137,INGENIERÍA BIOMÉDICA,901.5,22.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA AGROINDUSTRIAL
281452,INGENIERÍA BIOMÉDICA,726.0,,,
293819,INGENIERÍA BIOMÉDICA,408.25,,,
274869,INGENIERÍA BIOMÉDICA,724.875,,,
222677,INGENIERÍA BIOMÉDICA,806.25,,,
305850,INGENIERÍA BIOMÉDICA,670.25,,,
300623,INGENIERÍA BIOMÉDICA,1026.25,,,
224141,INGENIERÍA BIOMÉDICA,860.375,,,
301195,INGENIERÍA BIOMÉDICA,768.25,,,
274020,INGENIERÍA BIOMÉDICA,697.25,,,
275991,INGENIERÍA BIOMÉDICA,1167.375,9.0,ALCANZO VACANTE,
239547,INGENIERÍA BIOMÉDICA,684.0,,,
251245,INGENIERÍA BIOMÉDICA,944.875,,,
270979,INGENIERÍA BIOMÉDICA,327.125,,,
292703,INGENIERÍA BIOMÉDICA,525.125,,,
276485,INGENIERÍA BIOMÉDICA,539.25,,,
261110,INGENIERÍA BIOMÉDICA,500.375,,,
250693,INGENIERÍA BIOMÉDICA,619.25,,,
278136,INGENIERÍA BIOMÉDICA,608.25,,,
236070,INGENIERÍA BIOMÉDICA,694.75,,,
281531,INGENIERÍA BIOMÉDICA,346.5,,,
261816,INGENIERÍA BIOMÉDICA,1010.5,,,
291872,INGENIERÍA BIOMÉDICA,879.5,,,
255542,INGENIERÍA BIOMÉDICA,605.75,,,
259994,INGENIERÍA BIOMÉDICA,489.375,,,
231555,INGENIERÍA BIOMÉDICA,626.875,,,
222656,INGENIERÍA BIOMÉDICA,922.625,,,
285119,INGENIERÍA BIOMÉDICA,1128.75,12.0,ALCANZO VACANTE,
278289,INGENIERÍA BIOMÉDICA,701.5,,,
236390,INGENIERÍA BIOMÉDICA,228.5,,,
298121,INGENIERÍA BIOMÉDICA,669.125,,,
226716,INGENIERÍA BIOMÉDICA,388.0,,,
247159,INGENIERÍA BIOMÉDICA,928.25,,,
301537,INGENIERÍA BIOMÉDICA,754.125,,,
300782,INGENIERÍA BIOMÉDICA,855.0,,,
292553,INGENIERÍA BIOMÉDICA,838.125,,,
267482,INGENIERÍA BIOMÉDICA,509.375,,,
235259,INGENIERÍA BIOMÉDICA,582.875,,,
301176,INGENIERÍA BIOMÉDICA,747.375,,,
231255,INGENIERÍA BIOMÉDICA,677.0,,,
253333,INGENIERÍA BIOMÉDICA,1056.375,,,
294760,INGENIERÍA BIOMÉDICA,629.625,,,
270555,INGENIERÍA BIOMÉDICA,716.125,,,
300571,INGENIERÍA BIOMÉDICA,753.625,,,
254220,INGENIERÍA BIOMÉDICA,544.625,,,
251100,INGENIERÍA BIOMÉDICA,1391.875,2.0,ALCANZO VACANTE,
306094,INGENIERÍA BIOMÉDICA,866.0,,,
246004,INGENIERÍA BIOMÉDICA,416.75,,,
287008,INGENIERÍA BIOMÉDICA,755.25,,,
275284,INGENIERÍA BIOMÉDICA,881.5,,,
231337,INGENIERÍA BIOMÉDICA,1035.25,,,
309810,INGENIERÍA BIOMÉDICA,669.375,,,
222706,INGENIERÍA BIOMÉDICA,857.25,,,
282814,INGENIERÍA BIOMÉDICA,966.25,,,
228282,INGENIERÍA BIOMÉDICA,359.25,,,
242737,INGENIERÍA BIOMÉDICA,1261.75,5.0,ALCANZO VACANTE,
294849,INGENIERÍA BIOMÉDICA,691.625,,,
303382,INGENIERÍA BIOMÉDICA,1113.875,14.0,ALCANZO VACANTE,
259610,INGENIERÍA BIOMÉDICA,352.25,,,
231553,INGENIERÍA BIOMÉDICA,542.375,,,
238598,INGENIERÍA BIOMÉDICA,454.75,,,
298083,INGENIERÍA BIOMÉDICA,768.5,,,
241023,INGENIERÍA BIOMÉDICA,597.0,,,
251253,INGENIERÍA BIOMÉDICA,644.875,,,
257443,INGENIERÍA BIOMÉDICA,780.375,,,
298636,INGENIERÍA BIOMÉDICA,922.625,,,
