id,carrera,puntaje,vacante,observacion,segunda_opcion
253157,INGENIERÍA CIVIL,1008.25,,,
247147,INGENIERÍA CIVIL,972.75,,,
220372,INGENIERÍA CIVIL,359.25,,,
309167,INGENIERÍA CIVIL,505.75,,,
306728,INGENIERÍA CIVIL,563.5,,,
296555,INGENIERÍA CIVIL,1049.375,,,
222373,INGENIERÍA CIVIL,413.875,,,
309367,INGENIERÍA CIVIL,563.75,,,
296618,INGENIERÍA CIVIL,795.875,,,
288238,INGENIERÍA CIVIL,738.125,,,
272675,INGENIERÍA CIVIL,674.75,,,
297180,INGENIERÍA CIVIL,648.0,,,
298375,INGENIERÍA CIVIL,731.625,,,
230236,INGENIERÍA CIVIL,580.625,,,
245716,INGENIERÍA CIVIL,479.0,,,
250883,INGENIERÍA CIVIL,406.0,,,
249829,INGENIERÍA CIVIL,457.875,,,
300217,INGENIERÍA CIVIL,626.875,,,
281798,INGENIERÍA CIVIL,648.0,,,
288954,INGENIERÍA CIVIL,1239.5,6.0,ALCANZO VACANTE,
281730,INGENIERÍA CIVIL,306.0,,,
234211,INGENIERÍA CIVIL,695.875,,,
247035,INGENIERÍA CIVIL,241.5,,,
303203,INGENIERÍA CIVIL,386.875,,,
226717,INGENIERÍA CIVIL,516.125,,,
300672,INGENIERÍA CIVIL,923.75,,,
299674,INGENIERÍA CIVIL,695.0,,,
271135,INGENIERÍA CIVIL,432.75,,,
232364,INGENIERÍA CIVIL,414.75,,,
229215,INGENIERÍA CIVIL,364.875,,,
263116,INGENIERÍA CIVIL,691.625,,,
221393,INGENIERÍA CIVIL,500.125,,,
305437,INGENIERÍA CIVIL,650.25,,,
263079,INGENIERÍA CIVIL,584.625,,,
272489,INGENIERÍA CIVIL,798.625,,,
260889,INGENIERÍA CIVIL,669.375,,,
309634,INGENIERÍA CIVIL,573.625,,,
240557,INGENIERÍA CIVIL,521.25,,,
246183,INGENIERÍA CIVIL,978.375,,,
296392,INGENIERÍA CIVIL,246.625,,,
305877,INGENIERÍA CIVIL,757.0,,,
254908,INGENIERÍA CIVIL,744.875,,,
247416,INGENIERÍA CIVIL,702.625,,,
261326,INGENIERÍA CIVIL,420.625,,,
307216,INGENIERÍA CIVIL,452.5,,,
278937,INGENIERÍA CIVIL,669.125,,,
224665,INGENIERÍA CIVIL,1078.375,,,
285192,INGENIERÍA CIVIL,521.25,,,
227100,INGENIERÍA CIVIL,312.25,,,
304308,INGENIERÍA CIVIL,669.125,,,
296367,INGENIERÍA CIVIL,338.125,,,
294581,INGENIERÍA CIVIL,561.5,,,
257892,INGENIERÍA CIVIL,755.875,,,
274840,INGENIERÍA CIVIL,547.375,,,
306547,INGENIERÍA CIVIL,690.25,,,
252639,INGENIERÍA CIVIL,576.125,,,
230830,INGENIERÍA CIVIL,418.375,,,
255339,INGENIERÍA CIVIL,538.625,,,
305994,INGENIERÍA CIVIL,526.25,,,
242586,INGENIERÍA CIVIL,352.25,,,
289840,INGENIERÍA CIVIL,375.625,,,
224740,INGENIERÍA CIVIL,488.25,,,
256354,INGENIERÍA CIVIL,1115.0,25.0,ALCANZO VACANTE,
281875,INGENIERÍA CIVIL,918.625,,,
230308,INGENIERÍA CIVIL,901.5,,,
241910,INGENIERÍA CIVIL,987.125,,,
234522,INGENIERÍA CIVIL,525.75,,,
220561,INGENIERÍA CIVIL,521.25,,,
255550,INGENIERÍA CIVIL,464.625,,,
306682,INGENIERÍA CIVIL,422.375,,,
294161,INGENIERÍA CIVIL,729.625,,,
280049,INGENIERÍA CIVIL,556.375,,,
301795,INGENIERÍA CIVIL,648.0,,,
239125,INGENIERÍA CIVIL,,,AUSENTE,
266675,INGENIERÍA CIVIL,198.625,,,
233654,INGENIERÍA CIVIL,691.375,,,
246493,INGENIERÍA CIVIL,364.875,,,
305867,INGENIERÍA CIVIL,437.875,,,
273964,INGENIERÍA CIVIL,122.875,,,
262465,INGENIERÍA CIVIL,964.875,31.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA QUÍMICA
265520,INGENIERÍA CIVIL,415.625,,,
283041,INGENIERÍA CIVIL,521.25,,,
302860,INGENIERÍA CIVIL,880.375,,,
240034,INGENIERÍA CIVIL,627.125,,,
293861,INGENIERÍA CIVIL,626.875,,,
221567,INGENIERÍA CIVIL,226.625,,,
258506,INGENIERÍA CIVIL,479.0,,,
229747,INGENIERÍA CIVIL,364.875,,,
293671,INGENIERÍA CIVIL,517.0,,,
263839,INGENIERÍA CIVIL,346.875,,,
233291,INGENIERÍA CIVIL,388.5,,,
267076,INGENIERÍA CIVIL,354.5,,,
287128,INGENIERÍA CIVIL,557.0,,,
297261,INGENIERÍA CIVIL,375.625,,,
274596,INGENIERÍA CIVIL,353.375,,,
236843,INGENIERÍA CIVIL,468.0,,,
259019,INGENIERÍA CIVIL,375.0,,,
286947,INGENIERÍA CIVIL,626.875,,,
296893,INGENIERÍA CIVIL,377.875,,,
275481,INGENIERÍA CIVIL,986.0,,,
300662,INGENIERÍA CIVIL,234.125,,,
294770,INGENIERÍA CIVIL,640.625,,,
307922,INGENIERÍA CIVIL,449.375,,,
301782,INGENIERÍA CIVIL,521.25,,,
308444,INGENIERÍA CIVIL,589.375,,,
288271,INGENIERÍA CIVIL,711.375,,,
287569,INGENIERÍA CIVIL,1091.625,39.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA ELECTRÓNICA
302053,INGENIERÍA CIVIL,521.25,,,
298382,INGENIERÍA CIVIL,646.25,,,
302623,INGENIERÍA CIVIL,640.625,,,
250076,INGENIERÍA CIVIL,817.0,,,
307677,INGENIERÍA CIVIL,460.875,,,
257625,INGENIERÍA CIVIL,500.125,,,
231664,INGENIERÍA CIVIL,655.25,,,
263589,INGENIERÍA CIVIL,820.375,,,
271498,INGENIERÍA CIVIL,546.875,,,
233159,INGENIERÍA CIVIL,924.875,,,
222185,INGENIERÍA CIVIL,535.875,,,
295796,INGENIERÍA CIVIL,1085.125,25.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA DE TELECOMUNICACIONES
294362,INGENIERÍA CIVIL,449.625,,,
257454,INGENIERÍA CIVIL,775.875,,,
236661,INGENIERÍA CIVIL,584.625,,,
298201,INGENIERÍA CIVIL,343.5,,,
258857,INGENIERÍA CIVIL,282.625,,,
297805,INGENIERÍA CIVIL,135.625,,,
246751,INGENIERÍA CIVIL,706.0,,,
255768,INGENIERÍA CIVIL,584.625,,,
234493,INGENIERÍA CIVIL,529.625,,,
271769,INGENIERÍA CIVIL,650.5,,,
241780,INGENIERÍA CIVIL,542.375,,,
294821,INGENIERÍA CIVIL,385.75,,,
239503,INGENIERÍA CIVIL,566.0,,,
248016,INGENIERÍA CIVIL,321.25,,,
292930,INGENIERÍA CIVIL,479.0,,,
