id,carrera,puntaje,vacante,observacion,segunda_opcion
239076,INGENIERÍA ELECTRÓNICA,486.0,,,
276974,INGENIERÍA ELECTRÓNICA,352.25,,,
243397,INGENIERÍA ELECTRÓNICA,935.25,27.0,ALCANZO VACANTE,
300444,INGENIERÍA ELECTRÓNICA,757.0,,,
221899,INGENIERÍA ELECTRÓNICA,859.25,,,
237251,INGENIERÍA ELECTRÓNICA,673.625,,,
271000,INGENIERÍA ELECTRÓNICA,628.0,,,
267237,INGENIERÍA ELECTRÓNICA,,,AUSENTE,
252701,INGENIERÍA ELECTRÓNICA,589.375,,,
263924,INGENIERÍA ELECTRÓNICA,542.375,,,
226969,INGENIERÍA ELECTRÓNICA,626.875,,,
253515,INGENIERÍA ELECTRÓNICA,382.0,,,
276341,INGENIERÍA ELECTRÓNICA,450.25,,,
269114,INGENIERÍA ELECTRÓNICA,817.0,,,
250370,INGENIERÍA ELECTRÓNICA,622.875,,,
253541,INGENIERÍA ELECTRÓNICA,,,AUSENTE,
248617,INGENIERÍA ELECTRÓNICA,460.125,,,
300128,INGENIERÍA ELECTRÓNICA,933.875,28.0,ALCANZO VACANTE,
240741,INGENIERÍA ELECTRÓNICA,549.125,,,
235362,INGENIERÍA ELECTRÓNICA,781.75,,,
231631,INGENIERÍA ELECTRÓNICA,542.375,,,
282850,INGENIERÍA ELECTRÓNICA,478.125,,,
282978,INGENIERÍA ELECTRÓNICA,564.625,,,
266267,INGENIERÍA ELECTRÓNICA,565.75,,,
269768,INGENIERÍA ELECTRÓNICA,792.75,,,
222071,INGENIERÍA ELECTRÓNICA,693.625,,,
295998,INGENIERÍA ELECTRÓNICA,292.75,,,
258479,INGENIERÍA ELECTRÓNICA,404.25,,,
282091,INGENIERÍA ELECTRÓNICA,457.875,,,
282372,INGENIERÍA ELECTRÓNICA,754.75,,,
282700,INGENIERÍA ELECTRÓNICA,824.875,,,
247777,INGENIERÍA ELECTRÓNICA,802.875,,,
279533,INGENIERÍA ELECTRÓNICA,607.125,,,
246174,INGENIERÍA ELECTRÓNICA,708.25,,,
263714,INGENIERÍA ELECTRÓNICA,792.75,,,
309549,INGENIERÍA ELECTRÓNICA,883.75,,,
276290,INGENIERÍA ELECTRÓNICA,309.375,,,
277654,INGENIERÍA ELECTRÓNICA,986.0,21.0,ALCANZO VACANTE,
291334,INGENIERÍA ELECTRÓNICA,630.5,,,
301811,INGENIERÍA ELECTRÓNICA,649.125,,,
287618,INGENIERÍA ELECTRÓNICA,639.5,,,
259734,INGENIERÍA ELECTRÓNICA,732.5,,,
266505,INGENIERÍA ELECTRÓNICA,423.125,,,
294353,INGENIERÍA ELECTRÓNICA,711.375,,,
232661,INGENIERÍA ELECTRÓNICA,254.125,,,
243065,INGENIERÍA ELECTRÓNICA,874.125,,,
244490,INGENIERÍA ELECTRÓNICA,902.875,34.0,ALCANZO VACANTE,
291096,INGENIERÍA ELECTRÓNICA,564.625,,,
258161,INGENIERÍA ELECTRÓNICA,597.25,,,
249708,INGENIERÍA ELECTRÓNICA,670.25,,,
258261,INGENIERÍA ELECTRÓNICA,860.375,,,
297169,INGENIERÍA ELECTRÓNICA,795.875,,,
270958,INGENIERÍA ELECTRÓNICA,829.375,,,
285995,INGENIERÍA ELECTRÓNICA,521.25,,,
258553,INGENIERÍA ELECTRÓNICA,734.75,,,
262626,INGENIERÍA ELECTRÓNICA,626.875,,,
237567,INGENIERÍA ELECTRÓNICA,681.75,,,
233844,INGENIERÍA ELECTRÓNICA,605.75,,,
309414,INGENIERÍA ELECTRÓNICA,481.25,,,
252148,INGENIERÍA ELECTRÓNICA,859.25,,,
266968,INGENIERÍA ELECTRÓNICA,479.0,,,
253905,INGENIERÍA ELECTRÓNICA,565.125,,,
291212,INGENIERÍA ELECTRÓNICA,821.5,,,
261348,INGENIERÍA ELECTRÓNICA,467.125,,,
249779,INGENIERÍA ELECTRÓNICA,489.125,,,
295066,INGENIERÍA ELECTRÓNICA,542.375,,,
307076,INGENIERÍA ELECTRÓNICA,500.125,,,
292689,INGENIERÍA ELECTRÓNICA,697.0,,,
299357,INGENIERÍA ELECTRÓNICA,563.5,,,
258598,INGENIERÍA ELECTRÓNICA,339.5,,,
289464,INGENIERÍA ELECTRÓNICA,422.375,,,
234900,INGENIERÍA ELECTRÓNICA,712.75,,,
284459,INGENIERÍA ELECTRÓNICA,880.625,,,
234921,INGENIERÍA ELECTRÓNICA,565.75,,,
294357,INGENIERÍA ELECTRÓNICA,902.625,35.0,ALCANZO VACANTE,
262330,INGENIERÍA ELECTRÓNICA,524.625,,,
249148,INGENIERÍA ELECTRÓNICA,669.125,,,
245508,INGENIERÍA ELECTRÓNICA,753.625,,,
242412,INGENIERÍA ELECTRÓNICA,535.875,,,
264722,INGENIERÍA ELECTRÓNICA,,,AUSENTE,
223794,INGENIERÍA ELECTRÓNICA,778.125,,,
272075,INGENIERÍA ELECTRÓNICA,610.5,,,
229610,INGENIERÍA ELECTRÓNICA,446.25,,,
249185,INGENIERÍA ELECTRÓNICA,690.25,,,
250921,INGENIERÍA ELECTRÓNICA,500.125,,,
249007,INGENIERÍA ELECTRÓNICA,,,AUSENTE,
262625,INGENIERÍA ELECTRÓNICA,847.125,,,
285499,INGENIERÍA ELECTRÓNICA,880.375,,,
239133,INGENIERÍA ELECTRÓNICA,479.0,,,
253525,INGENIERÍA ELECTRÓNICA,398.125,,,
239347,INGENIERÍA ELECTRÓNICA,506.0,,,
242408,INGENIERÍA ELECTRÓNICA,29.875,,,
224349,INGENIERÍA ELECTRÓNICA,588.0,,,
294243,INGENIERÍA ELECTRÓNICA,626.875,,,
255294,INGENIERÍA ELECTRÓNICA,652.5,,,
267854,INGENIERÍA ELECTRÓNICA,692.5,,,
243481,INGENIERÍA ELECTRÓNICA,795.875,,,
259478,INGENIERÍA ELECTRÓNICA,648.25,,,
273468,INGENIERÍA ELECTRÓNICA,650.25,,,
269472,INGENIERÍA ELECTRÓNICA,648.0,,,
267292,INGENIERÍA ELECTRÓNICA,948.5,26.0,ALCANZO VACANTE,
246889,INGENIERÍA ELECTRÓNICA,628.0,,,
271153,INGENIERÍA ELECTRÓNICA,373.375,,,
283798,INGENIERÍA ELECTRÓNICA,255.25,,,
240242,INGENIERÍA ELECTRÓNICA,838.125,,,
266525,INGENIERÍA ELECTRÓNICA,755.875,,,
306097,INGENIERÍA ELECTRÓNICA,683.75,,,
282353,INGENIERÍA ELECTRÓNICA,479.25,,,
235100,INGENIERÍA ELECTRÓNICA,639.75,,,
287928,INGENIERÍA ELECTRÓNICA,524.875,,,
295634,INGENIERÍA ELECTRÓNICA,333.375,,,
293609,INGENIERÍA ELECTRÓNICA,300.625,,,
252662,INGENIERÍA ELECTRÓNICA,699.5,,,
295814,INGENIERÍA ELECTRÓNICA,391.375,,,
264833,INGENIERÍA ELECTRÓNICA,711.375,,,
284248,INGENIERÍA ELECTRÓNICA,502.0,,,
293074,INGENIERÍA ELECTRÓNICA,651.375,,,
250676,INGENIERÍA ELECTRÓNICA,690.5,,,
278727,INGENIERÍA ELECTRÓNICA,690.25,,,
260478,INGENIERÍA ELECTRÓNICA,540.375,,,
240943,INGENIERÍA ELECTRÓNICA,793.875,,,
286151,INGENIERÍA ELECTRÓNICA,662.625,,,
229711,INGENIERÍA ELECTRÓNICA,479.0,,,
269734,INGENIERÍA ELECTRÓNICA,567.125,,,
289444,INGENIERÍA ELECTRÓNICA,1091.625,8.0,ALCANZO VACANTE,
224342,INGENIERÍA ELECTRÓNICA,423.5,,,
258973,INGENIERÍA ELECTRÓNICA,753.625,,,
309304,INGENIERÍA ELECTRÓNICA,1070.5,11.0,ALCANZO VACANTE,
299837,INGENIERÍA ELECTRÓNICA,521.25,,,
288756,INGENIERÍA ELECTRÓNICA,436.75,,,
270366,INGENIERÍA ELECTRÓNICA,384.0,,,
231718,INGENIERÍA ELECTRÓNICA,712.5,,,
285258,INGENIERÍA ELECTRÓNICA,929.375,29.0,ALCANZO VACANTE,
301992,INGENIERÍA ELECTRÓNICA,584.625,,,
307865,INGENIERÍA ELECTRÓNICA,486.875,,,
248674,INGENIERÍA ELECTRÓNICA,1176.125,2.0,ALCANZO VACANTE,
225796,INGENIERÍA ELECTRÓNICA,924.0,32.0,ALCANZO VACANTE,
272774,INGENIERÍA ELECTRÓNICA,690.25,,,
252154,INGENIERÍA ELECTRÓNICA,817.0,,,
297307,INGENIERÍA ELECTRÓNICA,759.5,,,
283467,INGENIERÍA ELECTRÓNICA,821.5,,,
226220,INGENIERÍA ELECTRÓNICA,839.25,,,
275121,INGENIERÍA ELECTRÓNICA,479.0,,,
264208,INGENIERÍA ELECTRÓNICA,551.625,,,
252556,INGENIERÍA ELECTRÓNICA,744.875,,,
263307,INGENIERÍA ELECTRÓNICA,418.125,,,
228110,INGENIERÍA ELECTRÓNICA,958.375,24.0,ALCANZO VACANTE,
288145,INGENIERÍA ELECTRÓNICA,331.125,,,
250326,INGENIERÍA ELECTRÓNICA,216.375,,,
290476,INGENIERÍA ELECTRÓNICA,506.25,,,
244662,INGENIERÍA ELECTRÓNICA,538.125,,,
302089,INGENIERÍA ELECTRÓNICA,444.0,,,
268021,INGENIERÍA ELECTRÓNICA,246.0,,,
295614,INGENIERÍA ELECTRÓNICA,457.875,,,
307125,INGENIERÍA ELECTRÓNICA,859.25,,,
308812,INGENIERÍA ELECTRÓNICA,804.25,,,
230743,INGENIERÍA ELECTRÓNICA,521.25,,,
305629,INGENIERÍA ELECTRÓNICA,859.25,,,
291721,INGENIERÍA ELECTRÓNICA,711.375,,,
252388,INGENIERÍA ELECTRÓNICA,586.875,,,
285237,INGENIERÍA ELECTRÓNICA,479.0,,,
279397,INGENIERÍA ELECTRÓNICA,373.375,,,
249336,INGENIERÍA ELECTRÓNICA,553.0,,,
308698,INGENIERÍA ELECTRÓNICA,372.5,,,
298374,INGENIERÍA ELECTRÓNICA,859.25,,,
269373,INGENIERÍA ELECTRÓNICA,433.625,,,
