id,carrera,puntaje,vacante,observacion,segunda_opcion
218500,MATEMÁTICA,434.375,,,
219952,MATEMÁTICA,690.25,,,
213762,MATEMÁTICA,739.25,,,
218351,MATEMÁTICA,391.625,,,
212882,MATEMÁTICA,521.25,,,
218821,MATEMÁTICA,544.0,,,
211391,MATEMÁTICA,448.25,,,
214851,MATEMÁTICA,795.875,,,
218369,MATEMÁTICA,630.25,,,
215815,MATEMÁTICA,373.375,,,
213794,MATEMÁTICA,827.375,,,
212985,MATEMÁTICA,673.0,,,
217304,MATEMÁTICA,817.0,,,
210120,MATEMÁTICA,850.5,,,
217828,MATEMÁTICA,542.375,,,
210544,MATEMÁTICA,769.375,,,
217092,MATEMÁTICA,397.875,,,
212963,MATEMÁTICA,859.25,,,
215654,MATEMÁTICA,824.875,,,
213791,MATEMÁTICA,,,AUSENTE,
215672,MATEMÁTICA,394.5,,,
212448,MATEMÁTICA,563.5,,,
213182,MATEMÁTICA,373.375,,,
218542,MATEMÁTICA,1028.25,4.0,ALCANZO VACANTE,
216862,MATEMÁTICA,880.375,,,
215229,MATEMÁTICA,1387.375,1.0,ALCANZO VACANTE,
213011,MATEMÁTICA,521.75,,,
212893,MATEMÁTICA,839.25,,,
215014,MATEMÁTICA,280.875,,,
218740,MATEMÁTICA,,,AUSENTE,
219305,MATEMÁTICA,711.375,,,
210598,MATEMÁTICA,882.625,,,
218761,MATEMÁTICA,413.625,,,
216930,MATEMÁTICA,759.75,,,
214335,MATEMÁTICA,706.0,,,
212632,MATEMÁTICA,543.5,,,
212378,MATEMÁTICA,307.125,,,
210214,MATEMÁTICA,643.75,,,
216276,MATEMÁTICA,944.875,5.0,ALCANZO VACANTE,
216229,MATEMÁTICA,479.0,,,
217627,MATEMÁTICA,670.25,,,
214584,MATEMÁTICA,592.5,,,
215117,MATEMÁTICA,1267.375,2.0,ALCANZO VACANTE,
210683,MATEMÁTICA,,,AUSENTE,
215094,MATEMÁTICA,542.375,,,
213544,MATEMÁTICA,617.5,,,
210740,MATEMÁTICA,579.5,,,
215873,MATEMÁTICA,711.375,,,
218465,MATEMÁTICA,525.75,,,
217979,MATEMÁTICA,586.875,,,
212351,MATEMÁTICA,510.75,,,
214632,MATEMÁTICA,,,AUSENTE,
214614,MATEMÁTICA,563.5,,,
218323,MATEMÁTICA,838.125,,,
217425,MATEMÁTICA,711.375,,,
213851,MATEMÁTICA,458.625,,,
210841,MATEMÁTICA,564.625,,,
216277,MATEMÁTICA,817.0,,,
218644,MATEMÁTICA,922.625,7.0,ALCANZO VACANTE,
214634,MATEMÁTICA,,,AUSENTE,
213172,MATEMÁTICA,,,AUSENTE,
210670,MATEMÁTICA,564.625,,,
214007,MATEMÁTICA,713.625,,,
213670,MATEMÁTICA,732.5,,,
212844,MATEMÁTICA,440.625,,,
210554,MATEMÁTICA,676.125,,,
211414,MATEMÁTICA,479.0,,,
215810,MATEMÁTICA,711.375,,,
216615,MATEMÁTICA,943.75,6.0,ALCANZO VACANTE,
214783,MATEMÁTICA,380.625,,,
213063,MATEMÁTICA,709.375,,,
216265,MATEMÁTICA,740.875,,,
217533,MATEMÁTICA,459.0,,,
215024,MATEMÁTICA,732.5,,,
217400,MATEMÁTICA,482.375,,,
214544,MATEMÁTICA,740.375,,,
210379,MATEMÁTICA,553.875,,,
213216,MATEMÁTICA,481.25,,,
213278,MATEMÁTICA,463.75,,,
214696,MATEMÁTICA,818.125,,,
214674,MATEMÁTICA,715.0,,,
215124,MATEMÁTICA,609.375,,,
210373,MATEMÁTICA,1031.625,3.0,ALCANZO VACANTE,
214105,MATEMÁTICA,563.75,,,
215440,MATEMÁTICA,722.625,,,
