id,carrera,puntaje,vacante,observacion,segunda_opcion
856189,MEDICINA HUMANA,649.125,,,
898954,MEDICINA HUMANA,505.75,,,
846646,MEDICINA HUMANA,860.375,,,
894020,MEDICINA HUMANA,563.5,,,
860198,MEDICINA HUMANA,561.5,,,
867745,MEDICINA HUMANA,490.25,,,
846271,MEDICINA HUMANA,345.75,,,
856356,MEDICINA HUMANA,415.625,,,
872290,MEDICINA HUMANA,399.5,,,
878955,MEDICINA HUMANA,648.0,,,
874309,MEDICINA HUMANA,261.75,,,
870496,MEDICINA HUMANA,804.0,,,
898049,MEDICINA HUMANA,420.625,,,
884485,MEDICINA HUMANA,411.625,,,
863164,MEDICINA HUMANA,288.875,,,
887463,MEDICINA HUMANA,563.5,,,
873835,MEDICINA HUMANA,419.5,,,
882026,MEDICINA HUMANA,520.875,,,
878253,MEDICINA HUMANA,589.625,,,
848817,MEDICINA HUMANA,675.0,,,
886476,MEDICINA HUMANA,584.625,,,
866323,MEDICINA HUMANA,905.125,,,
868460,MEDICINA HUMANA,626.875,,,
852970,MEDICINA HUMANA,382.625,,,
892120,MEDICINA HUMANA,288.875,,,
864859,MEDICINA HUMANA,1193.0,,,
893040,MEDICINA HUMANA,1176.125,34.0,ALCANZO VACANTE SEGUNDA OPCIÓN,OBSTETRICIA
888719,MEDICINA HUMANA,849.375,,,
879096,MEDICINA HUMANA,838.125,,,
863749,MEDICINA HUMANA,838.125,,,
859669,MEDICINA HUMANA,479.0,,,
883830,MEDICINA HUMANA,531.875,,,
884037,MEDICINA HUMANA,661.75,,,
878511,MEDICINA HUMANA,690.25,,,
860414,MEDICINA HUMANA,240.875,,,
870242,MEDICINA HUMANA,460.375,,,
894757,MEDICINA HUMANA,353.375,,,
875024,MEDICINA HUMANA,602.875,,,
885582,MEDICINA HUMANA,526.875,,,
846705,MEDICINA HUMANA,839.25,,,
849942,MEDICINA HUMANA,549.125,,,
882655,MEDICINA HUMANA,416.75,,,
866373,MEDICINA HUMANA,838.125,,,
861152,MEDICINA HUMANA,538.125,,,
858455,MEDICINA HUMANA,479.0,,,
863251,MEDICINA HUMANA,479.0,,,
853093,MEDICINA HUMANA,690.25,,,
881435,MEDICINA HUMANA,567.125,,,
897700,MEDICINA HUMANA,543.5,,,
868767,MEDICINA HUMANA,902.625,,,
854374,MEDICINA HUMANA,546.5,,,
874645,MEDICINA HUMANA,633.875,,,
866913,MEDICINA HUMANA,558.375,,,
879549,MEDICINA HUMANA,574.75,,,
867386,MEDICINA HUMANA,437.25,,,
891021,MEDICINA HUMANA,440.375,,,
892851,MEDICINA HUMANA,717.0,,,
886643,MEDICINA HUMANA,728.25,,,
866748,MEDICINA HUMANA,711.375,,,
845904,MEDICINA HUMANA,523.75,,,
890726,MEDICINA HUMANA,252.75,,,
891893,MEDICINA HUMANA,818.125,,,
878239,MEDICINA HUMANA,967.375,,,
880313,MEDICINA HUMANA,463.5,,,
850675,MEDICINA HUMANA,871.625,,,
876869,MEDICINA HUMANA,395.0,,,
845916,MEDICINA HUMANA,573.625,,,
890165,MEDICINA HUMANA,605.75,,,
896610,MEDICINA HUMANA,764.875,,,
846925,MEDICINA HUMANA,577.25,,,
873646,MEDICINA HUMANA,472.5,,,
855926,MEDICINA HUMANA,815.25,,,
