id,carrera,puntaje,vacante,observacion,segunda_opcion
169216,MEDICINA VETERINARIA,547.125,,,
105321,MEDICINA VETERINARIA,441.75,,,
158881,MEDICINA VETERINARIA,577.0,,,
164125,MEDICINA VETERINARIA,691.375,,,
153602,MEDICINA VETERINARIA,542.375,,,
199441,MEDICINA VETERINARIA,584.625,,,
139413,MEDICINA VETERINARIA,675.0,,,
188302,MEDICINA VETERINARIA,502.625,,,
181317,MEDICINA VETERINARIA,601.5,,,
134480,MEDICINA VETERINARIA,522.0,,,
117262,MEDICINA VETERINARIA,754.75,,,
108639,MEDICINA VETERINARIA,739.5,,,
153346,MEDICINA VETERINARIA,415.625,,,
160629,MEDICINA VETERINARIA,901.5,,,
190415,MEDICINA VETERINARIA,434.75,,,
166866,MEDICINA VETERINARIA,490.75,,,
195247,MEDICINA VETERINARIA,612.75,,,
135781,MEDICINA VETERINARIA,778.125,,,
165287,MEDICINA VETERINARIA,577.0,,,
181683,MEDICINA VETERINARIA,672.5,,,
109208,MEDICINA VETERINARIA,436.75,,,
184253,MEDICINA VETERINARIA,880.375,,,
147746,MEDICINA VETERINARIA,711.625,,,
161398,MEDICINA VETERINARIA,324.625,,,
109399,MEDICINA VETERINARIA,218.375,,,
120177,MEDICINA VETERINARIA,690.25,,,
114491,MEDICINA VETERINARIA,677.0,,,
133551,MEDICINA VETERINARIA,648.0,,,
187205,MEDICINA VETERINARIA,623.125,,,
147740,MEDICINA VETERINARIA,653.625,,,
108375,MEDICINA VETERINARIA,859.25,,,
151466,MEDICINA VETERINARIA,717.5,,,
145369,MEDICINA VETERINARIA,601.5,,,
176872,MEDICINA VETERINARIA,584.625,,,
118357,MEDICINA VETERINARIA,897.25,,,
128413,MEDICINA VETERINARIA,468.5,,,
166335,MEDICINA VETERINARIA,1030.5,14.0,ALCANZO VACANTE,
136992,MEDICINA VETERINARIA,448.0,,,
187962,MEDICINA VETERINARIA,585.75,,,
194690,MEDICINA VETERINARIA,317.875,,,
154393,MEDICINA VETERINARIA,815.0,,,
175636,MEDICINA VETERINARIA,778.125,,,
187291,MEDICINA VETERINARIA,758.125,,,
173496,MEDICINA VETERINARIA,671.375,,,
109169,MEDICINA VETERINARIA,424.625,,,
195935,MEDICINA VETERINARIA,849.625,,,
162910,MEDICINA VETERINARIA,296.125,,,
193835,MEDICINA VETERINARIA,552.75,,,
192388,MEDICINA VETERINARIA,504.625,,,
194251,MEDICINA VETERINARIA,521.25,,,
198949,MEDICINA VETERINARIA,564.625,,,
144051,MEDICINA VETERINARIA,577.25,,,
199235,MEDICINA VETERINARIA,352.75,,,
193435,MEDICINA VETERINARIA,342.875,,,
192018,MEDICINA VETERINARIA,288.875,,,
101002,MEDICINA VETERINARIA,569.125,,,
141995,MEDICINA VETERINARIA,579.25,,,
172803,MEDICINA VETERINARIA,473.625,,,
157051,MEDICINA VETERINARIA,575.0,,,
136464,MEDICINA VETERINARIA,641.75,,,
123461,MEDICINA VETERINARIA,334.75,,,
140814,MEDICINA VETERINARIA,386.0,,,
167664,MEDICINA VETERINARIA,1015.0,20.0,ALCANZO VACANTE,
160046,MEDICINA VETERINARIA,403.5,,,
114941,MEDICINA VETERINARIA,567.125,,,
156022,MEDICINA VETERINARIA,796.125,,,
194510,MEDICINA VETERINARIA,922.625,,,
162376,MEDICINA VETERINARIA,951.625,,,
102539,MEDICINA VETERINARIA,648.0,,,
145550,MEDICINA VETERINARIA,423.125,,,
141383,MEDICINA VETERINARIA,436.75,,,
128083,MEDICINA VETERINARIA,922.625,,,
152041,MEDICINA VETERINARIA,612.5,,,
185200,MEDICINA VETERINARIA,570.5,,,
193738,MEDICINA VETERINARIA,393.0,,,
161057,MEDICINA VETERINARIA,904.0,,,
120056,MEDICINA VETERINARIA,684.0,,,
189040,MEDICINA VETERINARIA,459.0,,,
108333,MEDICINA VETERINARIA,621.5,,,
100089,MEDICINA VETERINARIA,680.625,,,
121725,MEDICINA VETERINARIA,773.875,,,
165659,MEDICINA VETERINARIA,713.875,,,
171567,MEDICINA VETERINARIA,517.25,,,
173405,MEDICINA VETERINARIA,980.625,,,
143232,MEDICINA VETERINARIA,324.625,,,
158560,MEDICINA VETERINARIA,320.625,,,
151236,MEDICINA VETERINARIA,587.125,,,
115844,MEDICINA VETERINARIA,943.75,,,
191126,MEDICINA VETERINARIA,1174.125,2.0,ALCANZO VACANTE,
173853,MEDICINA VETERINARIA,653.625,,,
197462,MEDICINA VETERINARIA,620.625,,,
196431,MEDICINA VETERINARIA,509.125,,,
181009,MEDICINA VETERINARIA,378.375,,,
177866,MEDICINA VETERINARIA,510.5,,,
182129,MEDICINA VETERINARIA,859.25,,,
197323,MEDICINA VETERINARIA,943.75,,,
168058,MEDICINA VETERINARIA,563.5,,,
118914,MEDICINA VETERINARIA,759.5,,,
135946,MEDICINA VETERINARIA,672.5,,,
107188,MEDICINA VETERINARIA,310.0,,,
113706,MEDICINA VETERINARIA,377.875,,,
112744,MEDICINA VETERINARIA,1007.125,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TOXICOLOGÍA
195953,MEDICINA VETERINARIA,720.375,,,
151767,MEDICINA VETERINARIA,684.875,,,
187662,MEDICINA VETERINARIA,678.125,,,
197535,MEDICINA VETERINARIA,630.25,,,
150704,MEDICINA VETERINARIA,838.125,,,
133598,MEDICINA VETERINARIA,562.625,,,
158331,MEDICINA VETERINARIA,359.5,,,
172123,MEDICINA VETERINARIA,720.625,,,
167036,MEDICINA VETERINARIA,884.0,,,
166185,MEDICINA VETERINARIA,831.625,,,
189668,MEDICINA VETERINARIA,585.75,,,
173700,MEDICINA VETERINARIA,819.25,,,
110775,MEDICINA VETERINARIA,631.375,,,
106615,MEDICINA VETERINARIA,503.75,,,
176811,MEDICINA VETERINARIA,859.25,,,
179594,MEDICINA VETERINARIA,910.5,,,
161956,MEDICINA VETERINARIA,642.875,,,
164748,MEDICINA VETERINARIA,489.125,,,
130201,MEDICINA VETERINARIA,653.625,,,
197012,MEDICINA VETERINARIA,680.375,,,
192769,MEDICINA VETERINARIA,650.5,,,
168654,MEDICINA VETERINARIA,838.125,,,
199647,MEDICINA VETERINARIA,780.375,,,
136831,MEDICINA VETERINARIA,609.375,,,
174561,MEDICINA VETERINARIA,517.0,,,
133760,MEDICINA VETERINARIA,918.375,,,
106838,MEDICINA VETERINARIA,909.375,,,
104698,MEDICINA VETERINARIA,470.5,,,
101070,MEDICINA VETERINARIA,436.75,,,
102542,MEDICINA VETERINARIA,552.5,,,
148483,MEDICINA VETERINARIA,775.875,,,
100002,MEDICINA VETERINARIA,521.25,,,
107651,MEDICINA VETERINARIA,535.875,,,
184784,MEDICINA VETERINARIA,535.0,,,
137626,MEDICINA VETERINARIA,817.0,,,
107394,MEDICINA VETERINARIA,500.625,,,
165075,MEDICINA VETERINARIA,706.25,,,
148153,MEDICINA VETERINARIA,511.375,,,
167007,MEDICINA VETERINARIA,210.0,,,
103954,MEDICINA VETERINARIA,597.25,,,
113889,MEDICINA VETERINARIA,881.5,,,
181503,MEDICINA VETERINARIA,440.375,,,
158279,MEDICINA VETERINARIA,585.75,,,
181152,MEDICINA VETERINARIA,749.375,,,
182578,MEDICINA VETERINARIA,194.75,,,
112354,MEDICINA VETERINARIA,626.875,,,
190548,MEDICINA VETERINARIA,799.25,,,
162629,MEDICINA VETERINARIA,165.375,,,
171452,MEDICINA VETERINARIA,753.625,,,
132504,MEDICINA VETERINARIA,510.75,,,
195739,MEDICINA VETERINARIA,626.875,,,
168729,MEDICINA VETERINARIA,1112.75,5.0,ALCANZO VACANTE,
179100,MEDICINA VETERINARIA,708.5,,,
191228,MEDICINA VETERINARIA,416.75,,,
161747,MEDICINA VETERINARIA,880.375,,,
174913,MEDICINA VETERINARIA,462.875,,,
173773,MEDICINA VETERINARIA,349.125,,,
144155,MEDICINA VETERINARIA,544.875,,,
195464,MEDICINA VETERINARIA,1038.375,12.0,ALCANZO VACANTE,
166696,MEDICINA VETERINARIA,539.25,,,
120457,MEDICINA VETERINARIA,798.625,,,
194663,MEDICINA VETERINARIA,379.25,,,
174333,MEDICINA VETERINARIA,299.0,,,
117215,MEDICINA VETERINARIA,541.5,,,
181157,MEDICINA VETERINARIA,440.125,,,
109538,MEDICINA VETERINARIA,648.0,,,
