id,carrera,puntaje,vacante,observacion,segunda_opcion
180268,NUTRICION,729.625,,,
155422,NUTRICION,566.0,,,
175177,NUTRICION,649.125,,,
190109,NUTRICION,268.875,,,
165264,NUTRICION,605.75,,,
194925,NUTRICION,1013.0,9.0,ALCANZO VACANTE,
189534,NUTRICION,331.875,,,
147769,NUTRICION,492.5,,,
198049,NUTRICION,884.0,,,
108403,NUTRICION,479.0,,,
164326,NUTRICION,451.625,,,
104045,NUTRICION,732.5,,,
132454,NUTRICION,693.625,,,
155767,NUTRICION,1028.25,7.0,ALCANZO VACANTE,
165869,NUTRICION,371.625,,,
191203,NUTRICION,461.75,,,
198850,NUTRICION,571.375,,,
175798,NUTRICION,564.0,,,
160912,NUTRICION,410.5,,,
189197,NUTRICION,838.125,,,
150836,NUTRICION,1012.75,10.0,ALCANZO VACANTE,
169102,NUTRICION,1007.125,11.0,ALCANZO VACANTE,
121707,NUTRICION,322.625,,,
150231,NUTRICION,397.25,,,
155489,NUTRICION,384.875,,,
128130,NUTRICION,591.375,,,
116864,NUTRICION,669.625,,,
161122,NUTRICION,810.5,,,
147413,NUTRICION,375.625,,,
135646,NUTRICION,609.375,,,
180875,NUTRICION,632.75,,,
133371,NUTRICION,605.75,,,
170851,NUTRICION,666.0,,,
154974,NUTRICION,878.625,,,
106677,NUTRICION,521.5,,,
185570,NUTRICION,368.5,,,
166219,NUTRICION,724.25,,,
157331,NUTRICION,797.0,,,
145973,NUTRICION,313.375,,,
194556,NUTRICION,943.75,19.0,ALCANZO VACANTE,
116129,NUTRICION,435.0,,,
115115,NUTRICION,501.5,,,
162170,NUTRICION,540.625,,,
199883,NUTRICION,755.875,,,
196855,NUTRICION,793.875,,,
101185,NUTRICION,509.125,,,
174449,NUTRICION,584.625,,,
140744,NUTRICION,663.75,,,
145042,NUTRICION,838.125,,,
186384,NUTRICION,298.375,,,
127685,NUTRICION,,,AUSENTE,
151319,NUTRICION,798.125,,,
144093,NUTRICION,669.125,,,
177502,NUTRICION,385.75,,,
165564,NUTRICION,875.0,,,
185525,NUTRICION,768.5,,,
115326,NUTRICION,624.0,,,
114050,NUTRICION,422.875,,,
167152,NUTRICION,610.5,,,
190081,NUTRICION,565.75,,,
185759,NUTRICION,439.5,,,
108720,NUTRICION,986.0,14.0,ALCANZO VACANTE,
117565,NUTRICION,546.875,,,
165300,NUTRICION,739.5,,,
100604,NUTRICION,543.5,,,
106660,NUTRICION,504.0,,,
161673,NUTRICION,544.0,,,
116723,NUTRICION,669.125,,,
120734,NUTRICION,712.5,,,
104026,NUTRICION,443.75,,,
166733,NUTRICION,579.5,,,
157590,NUTRICION,453.625,,,
151021,NUTRICION,599.25,,,
190293,NUTRICION,479.0,,,
123282,NUTRICION,943.75,18.0,ALCANZO VACANTE,
189299,NUTRICION,844.25,,,
150232,NUTRICION,609.125,,,
171195,NUTRICION,666.0,,,
125291,NUTRICION,817.0,,,
129942,NUTRICION,713.875,,,
123103,NUTRICION,553.625,,,
194249,NUTRICION,693.875,,,
194413,NUTRICION,760.375,,,
142207,NUTRICION,615.0,,,
143158,NUTRICION,352.25,,,
174943,NUTRICION,648.5,,,
180824,NUTRICION,503.5,,,
165912,NUTRICION,852.75,,,
198351,NUTRICION,268.0,,,
190392,NUTRICION,352.25,,,
187437,NUTRICION,758.375,,,
176130,NUTRICION,643.75,,,
177340,NUTRICION,852.75,,,
165478,NUTRICION,312.75,,,
191605,NUTRICION,817.0,,,
167729,NUTRICION,735.0,,,
172034,NUTRICION,402.375,,,
141671,NUTRICION,423.5,,,
105797,NUTRICION,455.875,,,
179941,NUTRICION,583.75,,,
179152,NUTRICION,355.875,,,
165841,NUTRICION,797.0,,,
104936,NUTRICION,903.75,24.0,ALCANZO VACANTE,
196509,NUTRICION,739.75,,,
131388,NUTRICION,484.625,,,
142067,NUTRICION,774.75,,,
118199,NUTRICION,373.375,,,
172866,NUTRICION,469.375,,,
107750,NUTRICION,767.125,,,
156630,NUTRICION,292.125,,,
199447,NUTRICION,487.625,,,
119706,NUTRICION,690.25,,,
163352,NUTRICION,923.75,21.0,ALCANZO VACANTE,
194903,NUTRICION,460.375,,,
176106,NUTRICION,663.75,,,
133576,NUTRICION,829.625,,,
158519,NUTRICION,743.75,,,
158959,NUTRICION,902.625,,,
161890,NUTRICION,1091.625,4.0,ALCANZO VACANTE,
144317,NUTRICION,605.125,,,
145813,NUTRICION,331.125,,,
156845,NUTRICION,806.0,,,
133940,NUTRICION,439.25,,,
137742,NUTRICION,614.75,,,
166173,NUTRICION,733.625,,,
103134,NUTRICION,926.25,20.0,ALCANZO VACANTE,
193952,NUTRICION,615.0,,,
141559,NUTRICION,459.0,,,
152051,NUTRICION,578.375,,,
195070,NUTRICION,501.25,,,
179714,NUTRICION,826.0,,,
163009,NUTRICION,689.625,,,
162519,NUTRICION,469.625,,,
154609,NUTRICION,690.25,,,
159348,NUTRICION,817.0,,,
185348,NUTRICION,753.625,,,
160701,NUTRICION,563.5,,,
174083,NUTRICION,860.375,,,
185881,NUTRICION,644.875,,,
173130,NUTRICION,575.25,,,
186917,NUTRICION,229.375,,,
198186,NUTRICION,782.625,,,
191878,NUTRICION,563.5,,,
120243,NUTRICION,735.25,,,
166270,NUTRICION,479.0,,,
184687,NUTRICION,777.0,,,
114823,NUTRICION,402.375,,,
161054,NUTRICION,624.0,,,
168571,NUTRICION,585.75,,,
198468,NUTRICION,901.5,,,
197438,NUTRICION,416.75,,,
195297,NUTRICION,564.625,,,
132685,NUTRICION,321.25,,,
192300,NUTRICION,605.75,,,
125827,NUTRICION,690.25,,,
106442,NUTRICION,732.5,,,
188363,NUTRICION,337.875,,,
177988,NUTRICION,522.375,,,
110660,NUTRICION,747.125,,,
194259,NUTRICION,526.875,,,
197491,NUTRICION,965.125,16.0,ALCANZO VACANTE,
144510,NUTRICION,305.125,,,
181544,NUTRICION,,,AUSENTE,
191441,NUTRICION,548.0,,,
175611,NUTRICION,322.875,,,
193552,NUTRICION,468.25,,,
181151,NUTRICION,648.0,,,
117980,NUTRICION,478.625,,,
171502,NUTRICION,969.375,15.0,ALCANZO VACANTE,
182622,NUTRICION,798.125,,,
191373,NUTRICION,449.125,,,
138881,NUTRICION,761.5,,,
103611,NUTRICION,728.25,,,
146093,NUTRICION,523.5,,,
128300,NUTRICION,666.0,,,
165449,NUTRICION,713.625,,,
135624,NUTRICION,509.125,,,
150814,NUTRICION,822.875,,,
123524,NUTRICION,571.625,,,
174085,NUTRICION,542.375,,,
148514,NUTRICION,774.75,,,
163119,NUTRICION,348.5,,,
153212,NUTRICION,1093.875,3.0,ALCANZO VACANTE,
113244,NUTRICION,1022.875,8.0,ALCANZO VACANTE,
184801,NUTRICION,957.25,17.0,ALCANZO VACANTE,
101793,NUTRICION,922.625,22.0,ALCANZO VACANTE,
158419,NUTRICION,,,AUSENTE,
146857,NUTRICION,369.375,,,
175359,NUTRICION,892.75,,,
139833,NUTRICION,859.25,,,
131551,NUTRICION,810.75,,,
121011,NUTRICION,546.875,,,
102587,NUTRICION,904.0,23.0,ALCANZO VACANTE,
157141,NUTRICION,521.25,,,
185036,NUTRICION,555.875,,,
153050,NUTRICION,692.5,,,
198276,NUTRICION,692.75,,,
100834,NUTRICION,493.625,,,
199251,NUTRICION,466.875,,,
152720,NUTRICION,872.75,,,
176801,NUTRICION,587.125,,,
117095,NUTRICION,521.25,,,
155303,NUTRICION,842.625,,,
188692,NUTRICION,550.75,,,
194372,NUTRICION,502.375,,,
116406,NUTRICION,880.375,,,
177688,NUTRICION,310.0,,,
129248,NUTRICION,618.375,,,
172217,NUTRICION,669.125,,,
174871,NUTRICION,797.0,,,
113238,NUTRICION,366.0,,,
172965,NUTRICION,563.5,,,
192675,NUTRICION,901.5,,,
