id,carrera,puntaje,vacante,observacion,segunda_opcion
109812,OBSTETRICIA,370.75,,,
176056,OBSTETRICIA,354.75,,,
121797,OBSTETRICIA,332.25,,,
183222,OBSTETRICIA,333.375,,,
176036,OBSTETRICIA,329.375,,,
166916,OBSTETRICIA,774.75,,,
136413,OBSTETRICIA,449.125,,,
110892,OBSTETRICIA,797.0,,,
133892,OBSTETRICIA,797.5,,,
150925,OBSTETRICIA,,,AUSENTE,
199373,OBSTETRICIA,535.0,,,
160327,OBSTETRICIA,930.5,25.0,ALCANZO VACANTE,
124101,OBSTETRICIA,693.0,,,
114030,OBSTETRICIA,506.875,,,
183201,OBSTETRICIA,1049.375,6.0,ALCANZO VACANTE,
146155,OBSTETRICIA,404.0,,,
111889,OBSTETRICIA,789.625,,,
177424,OBSTETRICIA,433.625,,,
104507,OBSTETRICIA,373.375,,,
156445,OBSTETRICIA,752.75,,,
163751,OBSTETRICIA,573.625,,,
122498,OBSTETRICIA,469.375,,,
183523,OBSTETRICIA,515.0,,,
155698,OBSTETRICIA,502.875,,,
120519,OBSTETRICIA,770.5,,,
180018,OBSTETRICIA,519.25,,,
196859,OBSTETRICIA,593.625,,,
166233,OBSTETRICIA,837.5,,,
124788,OBSTETRICIA,769.375,,,
197702,OBSTETRICIA,442.875,,,
197279,OBSTETRICIA,729.625,,,
192949,OBSTETRICIA,610.5,,,
196019,OBSTETRICIA,669.125,,,
108982,OBSTETRICIA,578.375,,,
161125,OBSTETRICIA,974.125,15.0,ALCANZO VACANTE,
179013,OBSTETRICIA,486.875,,,
186253,OBSTETRICIA,789.625,,,
156444,OBSTETRICIA,341.25,,,
116441,OBSTETRICIA,,,ANULADO,
156977,OBSTETRICIA,637.25,,,
182568,OBSTETRICIA,521.25,,,
196782,OBSTETRICIA,479.0,,,
197208,OBSTETRICIA,631.375,,,
177034,OBSTETRICIA,339.5,,,
121685,OBSTETRICIA,499.25,,,
109332,OBSTETRICIA,420.625,,,
184867,OBSTETRICIA,566.25,,,
142049,OBSTETRICIA,610.25,,,
157097,OBSTETRICIA,1052.75,5.0,ALCANZO VACANTE,
170822,OBSTETRICIA,711.375,,,
168843,OBSTETRICIA,506.0,,,
174336,OBSTETRICIA,542.375,,,
188834,OBSTETRICIA,992.75,9.0,ALCANZO VACANTE,
128503,OBSTETRICIA,969.375,17.0,ALCANZO VACANTE,
152560,OBSTETRICIA,734.75,,,
123895,OBSTETRICIA,779.25,,,
129694,OBSTETRICIA,506.0,,,
175782,OBSTETRICIA,727.125,,,
177705,OBSTETRICIA,421.25,,,
152003,OBSTETRICIA,466.25,,,
197896,OBSTETRICIA,336.75,,,
174529,OBSTETRICIA,609.375,,,
156217,OBSTETRICIA,467.125,,,
191396,OBSTETRICIA,601.75,,,
174032,OBSTETRICIA,520.625,,,
181529,OBSTETRICIA,728.5,,,
178872,OBSTETRICIA,636.125,,,
194973,OBSTETRICIA,459.5,,,
133224,OBSTETRICIA,,,AUSENTE,
175755,OBSTETRICIA,701.75,,,
159542,OBSTETRICIA,250.5,,,
148932,OBSTETRICIA,235.25,,,
147319,OBSTETRICIA,542.375,,,
190158,OBSTETRICIA,732.5,,,
166766,OBSTETRICIA,543.125,,,
133529,OBSTETRICIA,387.375,,,
172037,OBSTETRICIA,795.875,,,
101275,OBSTETRICIA,226.0,,,
193179,OBSTETRICIA,521.25,,,
131740,OBSTETRICIA,859.25,,,
147551,OBSTETRICIA,619.25,,,
179454,OBSTETRICIA,488.25,,,
162746,OBSTETRICIA,,,AUSENTE,
131180,OBSTETRICIA,640.375,,,
169629,OBSTETRICIA,499.25,,,
100517,OBSTETRICIA,683.75,,,
155045,OBSTETRICIA,366.25,,,
154308,OBSTETRICIA,198.625,,,
181432,OBSTETRICIA,778.125,,,
193113,OBSTETRICIA,572.5,,,
151146,OBSTETRICIA,386.0,,,
112492,OBSTETRICIA,304.625,,,
128714,OBSTETRICIA,607.125,,,
164347,OBSTETRICIA,442.375,,,
106515,OBSTETRICIA,546.25,,,
171540,OBSTETRICIA,584.625,,,
196674,OBSTETRICIA,515.875,,,
173426,OBSTETRICIA,393.625,,,
130342,OBSTETRICIA,337.0,,,
156141,OBSTETRICIA,547.375,,,
129613,OBSTETRICIA,256.75,,,
162348,OBSTETRICIA,535.0,,,
195354,OBSTETRICIA,337.25,,,
156517,OBSTETRICIA,525.125,,,
110073,OBSTETRICIA,562.625,,,
119040,OBSTETRICIA,368.5,,,
130876,OBSTETRICIA,584.625,,,
188473,OBSTETRICIA,489.125,,,
157114,OBSTETRICIA,761.5,,,
124681,OBSTETRICIA,526.25,,,
119938,OBSTETRICIA,832.75,,,
175524,OBSTETRICIA,263.125,,,
137904,OBSTETRICIA,666.25,,,
163190,OBSTETRICIA,739.25,,,
141833,OBSTETRICIA,236.125,,,
156953,OBSTETRICIA,416.75,,,
164494,OBSTETRICIA,502.375,,,
178577,OBSTETRICIA,957.25,22.0,ALCANZO VACANTE,
142456,OBSTETRICIA,547.375,,,
181667,OBSTETRICIA,56.375,,,
128708,OBSTETRICIA,379.25,,,
134038,OBSTETRICIA,392.75,,,
128224,OBSTETRICIA,563.5,,,
154169,OBSTETRICIA,499.5,,,
175897,OBSTETRICIA,960.625,21.0,ALCANZO VACANTE,
141883,OBSTETRICIA,1008.25,8.0,ALCANZO VACANTE,
187717,OBSTETRICIA,967.125,18.0,ALCANZO VACANTE,
134861,OBSTETRICIA,712.75,,,
198136,OBSTETRICIA,648.0,,,
199509,OBSTETRICIA,309.375,,,
128105,OBSTETRICIA,795.875,,,
199295,OBSTETRICIA,513.625,,,
163022,OBSTETRICIA,598.125,,,
166304,OBSTETRICIA,586.875,,,
119108,OBSTETRICIA,460.125,,,
101563,OBSTETRICIA,574.75,,,
169567,OBSTETRICIA,753.625,,,
140343,OBSTETRICIA,352.25,,,
133694,OBSTETRICIA,649.125,,,
165351,OBSTETRICIA,562.875,,,
162186,OBSTETRICIA,396.75,,,
111776,OBSTETRICIA,804.0,,,
137672,OBSTETRICIA,735.0,,,
181041,OBSTETRICIA,626.875,,,
188389,OBSTETRICIA,335.0,,,
190118,OBSTETRICIA,489.375,,,
183079,OBSTETRICIA,842.875,,,
178503,OBSTETRICIA,471.625,,,
190091,OBSTETRICIA,786.25,,,
144186,OBSTETRICIA,931.875,24.0,ALCANZO VACANTE,
106305,OBSTETRICIA,547.625,,,
152167,OBSTETRICIA,632.5,,,
114546,OBSTETRICIA,443.75,,,
178710,OBSTETRICIA,415.625,,,
102638,OBSTETRICIA,489.625,,,
189876,OBSTETRICIA,355.625,,,
148976,OBSTETRICIA,543.5,,,
179340,OBSTETRICIA,717.25,,,
124203,OBSTETRICIA,670.25,,,
103870,OBSTETRICIA,553.875,,,
194062,OBSTETRICIA,521.25,,,
181037,OBSTETRICIA,479.0,,,
114056,OBSTETRICIA,461.5,,,
163007,OBSTETRICIA,711.375,,,
164426,OBSTETRICIA,564.625,,,
163675,OBSTETRICIA,544.625,,,
105792,OBSTETRICIA,457.875,,,
113980,OBSTETRICIA,474.75,,,
165684,OBSTETRICIA,,,AUSENTE,
198304,OBSTETRICIA,357.25,,,
147444,OBSTETRICIA,633.875,,,
118707,OBSTETRICIA,760.375,,,
185022,OBSTETRICIA,590.5,,,
129601,OBSTETRICIA,669.125,,,
128601,OBSTETRICIA,860.375,,,
135205,OBSTETRICIA,484.625,,,
163817,OBSTETRICIA,,,AUSENTE,
