id,carrera,puntaje,vacante,observacion,segunda_opcion
115355,ODONTOLOGÍA,833.875,,,
165038,ODONTOLOGÍA,770.75,,,
145530,ODONTOLOGÍA,298.375,,,
153952,ODONTOLOGÍA,187.625,,,
152490,ODONTOLOGÍA,608.0,,,
154679,ODONTOLOGÍA,532.75,,,
152812,ODONTOLOGÍA,669.125,,,
136013,ODONTOLOGÍA,1075.0,12.0,ALCANZO VACANTE,
183970,ODONTOLOGÍA,495.0,,,
185967,ODONTOLOGÍA,605.125,,,
104677,ODONTOLOGÍA,302.375,,,
159657,ODONTOLOGÍA,517.0,,,
178448,ODONTOLOGÍA,496.125,,,
157264,ODONTOLOGÍA,690.25,,,
170845,ODONTOLOGÍA,160.625,,,
125283,ODONTOLOGÍA,690.25,,,
154451,ODONTOLOGÍA,694.75,,,
103283,ODONTOLOGÍA,753.625,,,
124728,ODONTOLOGÍA,326.0,,,
187338,ODONTOLOGÍA,589.125,,,
122478,ODONTOLOGÍA,797.0,,,
171780,ODONTOLOGÍA,417.0,,,
172592,ODONTOLOGÍA,585.125,,,
199321,ODONTOLOGÍA,384.625,,,
161168,ODONTOLOGÍA,655.0,,,
161835,ODONTOLOGÍA,355.0,,,
161092,ODONTOLOGÍA,457.875,,,
160376,ODONTOLOGÍA,548.25,,,
151418,ODONTOLOGÍA,846.0,,,
104627,ODONTOLOGÍA,711.375,,,
117264,ODONTOLOGÍA,881.5,,,
179458,ODONTOLOGÍA,955.0,,,
171807,ODONTOLOGÍA,649.125,,,
112676,ODONTOLOGÍA,838.125,,,
195766,ODONTOLOGÍA,457.875,,,
135848,ODONTOLOGÍA,521.25,,,
183687,ODONTOLOGÍA,249.125,,,
185971,ODONTOLOGÍA,492.75,,,
134926,ODONTOLOGÍA,233.875,,,
102447,ODONTOLOGÍA,648.0,,,
151144,ODONTOLOGÍA,629.375,,,
145439,ODONTOLOGÍA,753.625,,,
182218,ODONTOLOGÍA,682.0,,,
172681,ODONTOLOGÍA,580.375,,,
188112,ODONTOLOGÍA,480.125,,,
160421,ODONTOLOGÍA,634.75,,,
195535,ODONTOLOGÍA,968.5,,,
141715,ODONTOLOGÍA,584.625,,,
102207,ODONTOLOGÍA,464.0,,,
185205,ODONTOLOGÍA,849.625,,,
159042,ODONTOLOGÍA,610.5,,,
125134,ODONTOLOGÍA,1028.25,17.0,ALCANZO VACANTE,
113488,ODONTOLOGÍA,753.625,,,
187505,ODONTOLOGÍA,564.875,,,
120104,ODONTOLOGÍA,393.875,,,
166557,ODONTOLOGÍA,733.625,,,
105841,ODONTOLOGÍA,550.5,,,
170332,ODONTOLOGÍA,842.625,,,
