id,carrera,puntaje,vacante,observacion,segunda_opcion
168584,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,686.0,,,
163891,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1070.5,2.0,ALCANZO VACANTE,
158849,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,367.125,,,
191969,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,443.75,,,
156026,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,995.0,7.0,ALCANZO VACANTE,
152202,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,748.25,,,
127752,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,676.125,,,
102657,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,471.875,,,
186938,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1028.25,5.0,ALCANZO VACANTE,
120027,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,703.125,,,
193778,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,510.5,,,
179944,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,949.375,14.0,ALCANZO VACANTE,
183705,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,648.0,,,
111329,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,387.125,,,
104368,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,679.5,,,
149420,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,986.0,8.0,ALCANZO VACANTE,
165512,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,868.25,,,
134923,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,639.5,,,
132018,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,936.375,17.0,ALCANZO VACANTE,
189441,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,746.0,,,
175828,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,629.125,,,
169684,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,801.5,,,
158308,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,824.25,,,
146113,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,656.125,,,
123492,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,648.0,,,
190693,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,956.375,11.0,ALCANZO VACANTE,
157887,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,543.5,,,
150559,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,473.875,,,
138016,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,428.5,,,
120598,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,793.0,,,
164236,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,548.0,,,
174060,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,496.375,,,
128058,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,898.375,,,
160007,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,964.875,9.0,ALCANZO VACANTE,
160880,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,859.25,,,
185482,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,901.5,,,
112470,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,501.5,,,
193639,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,800.375,,,
163380,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,389.625,,,
192280,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,408.5,,,
175499,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,320.625,,,
123851,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,327.125,,,
155599,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,288.875,,,
147418,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,943.75,16.0,ALCANZO VACANTE,
161934,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,353.875,,,
102722,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,634.75,,,
151317,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,563.5,,,
198649,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,448.5,,,
117173,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,901.5,,,
182478,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,838.125,,,
175055,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,511.875,,,
106356,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,241.75,,,
165260,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,669.375,,,
144296,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,753.625,,,
197835,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,328.5,,,
174401,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,363.75,,,
155771,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,932.75,18.0,ALCANZO VACANTE,
134270,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,691.375,,,
154998,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,696.125,,,
199552,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,644.875,,,
100910,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,949.375,13.0,ALCANZO VACANTE,
141853,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,606.875,,,
172990,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,691.375,,,
152535,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,694.75,,,
191482,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,317.875,,,
101213,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,800.375,,,
134722,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,670.25,,,
191994,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,859.25,,,
146761,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,652.75,,,
130453,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,479.0,,,
119756,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1162.875,1.0,ALCANZO VACANTE,
144716,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,533.625,,,
139757,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,774.75,,,
162286,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,753.625,,,
197811,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,332.75,,,
169660,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,588.25,,,
161703,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,527.125,,,
198283,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,772.75,,,
128941,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,521.25,,,
113306,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,535.875,,,
186605,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,653.625,,,
168312,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,374.75,,,
151931,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1008.25,6.0,ALCANZO VACANTE,
109403,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,711.375,,,
190416,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,819.25,,,
183952,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,285.75,,,
117354,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,795.875,,,
182125,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,457.25,,,
124921,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,869.375,,,
184483,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,490.5,,,
102374,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,374.5,,,
127219,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,317.25,,,
195618,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,424.875,,,
110838,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,631.375,,,
192279,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,493.875,,,
133275,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1052.75,3.0,ALCANZO VACANTE,
160687,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,703.75,,,
136068,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,774.125,,,
167125,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,425.375,,,
169468,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,526.0,,,
140500,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,395.625,,,
159493,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,403.5,,,
159984,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,892.75,,,
115011,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,804.0,,,
193696,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,368.5,,,
169012,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,599.25,,,
176294,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1028.25,4.0,ALCANZO VACANTE,
160220,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,609.625,,,
158569,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,521.25,,,
129576,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,550.25,,,
149929,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,444.875,,,
150240,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,847.125,,,
104406,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,467.125,,,
163521,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,687.125,,,
168733,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,691.375,,,
123217,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,334.75,,,
169048,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,542.375,,,
189574,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,285.75,,,
176843,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,746.25,,,
116422,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,779.5,,,
152026,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,840.375,,,
156520,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,519.25,,,
116710,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,637.0,,,
111005,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,775.875,,,
139203,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,443.75,,,
129900,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,759.25,,,
141114,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,637.0,,,
166241,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,950.5,12.0,ALCANZO VACANTE,
166517,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,566.875,,,
165636,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,712.75,,,
191809,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,591.875,,,
155098,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,906.0,19.0,ALCANZO VACANTE,
122994,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,838.125,,,
179037,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,902.875,,,
141206,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,726.0,,,
192081,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,678.375,,,
181387,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,588.0,,,
179291,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,859.25,,,
167056,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,690.25,,,
159100,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,653.625,,,
155539,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,634.75,,,
109546,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,644.875,,,
177523,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,711.375,,,
164193,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,586.0,,,
120479,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,903.75,21.0,ALCANZO VACANTE,
108471,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,815.0,,,
125297,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,681.75,,,
100887,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,543.5,,,
155868,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,423.5,,,
163472,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,343.75,,,
157142,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,563.5,,,
198716,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,521.25,,,
105816,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,649.625,,,
194834,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,,,AUSENTE,
163238,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,795.875,,,
184455,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,670.25,,,
163259,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,584.625,,,
184063,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,946.25,15.0,ALCANZO VACANTE,
160257,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,252.5,,,
150560,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,313.875,,,
140441,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,548.0,,,
145116,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,344.25,,,
125147,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,583.75,,,
172802,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,493.625,,,
189455,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,750.75,,,
131709,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,789.375,,,
128756,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,904.875,20.0,ALCANZO VACANTE,
190229,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,538.375,,,
165379,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,881.5,,,
104305,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,477.25,,,
178057,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,667.125,,,
162676,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,479.0,,,
168962,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,441.75,,,
173099,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,648.0,,,
177684,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,612.75,,,
181760,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,628.0,,,
116960,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,543.5,,,
183621,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,353.625,,,
194340,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,671.625,,,
113404,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,388.0,,,
189457,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,846.0,,,
191531,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,597.25,,,
127947,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,441.5,,,
180175,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,838.125,,,
163398,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,794.125,,,
117937,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,747.125,,,
