id,carrera,puntaje,vacante,observacion,segunda_opcion
173761,TEC. MED. TERAPIA OCUPACIONAL,944.875,4.0,ALCANZO VACANTE,
138691,TEC. MED. TERAPIA OCUPACIONAL,352.25,,,
167541,TEC. MED. TERAPIA OCUPACIONAL,542.375,,,
132175,TEC. MED. TERAPIA OCUPACIONAL,444.625,,,
156424,TEC. MED. TERAPIA OCUPACIONAL,883.75,,,
182154,TEC. MED. TERAPIA OCUPACIONAL,713.625,,,
116582,TEC. MED. TERAPIA OCUPACIONAL,601.75,,,
191903,TEC. MED. TERAPIA OCUPACIONAL,733.625,,,
164931,TEC. MED. TERAPIA OCUPACIONAL,412.75,,,
187411,TEC. MED. TERAPIA OCUPACIONAL,817.25,,,
101838,TEC. MED. TERAPIA OCUPACIONAL,853.0,,,
173428,TEC. MED. TERAPIA OCUPACIONAL,670.25,,,
134965,TEC. MED. TERAPIA OCUPACIONAL,458.375,,,
150139,TEC. MED. TERAPIA OCUPACIONAL,840.625,,,
156797,TEC. MED. TERAPIA OCUPACIONAL,331.125,,,
185148,TEC. MED. TERAPIA OCUPACIONAL,986.0,3.0,ALCANZO VACANTE,
197283,TEC. MED. TERAPIA OCUPACIONAL,479.0,,,
147438,TEC. MED. TERAPIA OCUPACIONAL,527.375,,,
195203,TEC. MED. TERAPIA OCUPACIONAL,,,AUSENTE,
110333,TEC. MED. TERAPIA OCUPACIONAL,1008.25,2.0,ALCANZO VACANTE,
128264,TEC. MED. TERAPIA OCUPACIONAL,605.75,,,
165177,TEC. MED. TERAPIA OCUPACIONAL,540.625,,,
161309,TEC. MED. TERAPIA OCUPACIONAL,457.0,,,
140578,TEC. MED. TERAPIA OCUPACIONAL,401.25,,,
102165,TEC. MED. TERAPIA OCUPACIONAL,585.75,,,
196483,TEC. MED. TERAPIA OCUPACIONAL,610.5,,,
188482,TEC. MED. TERAPIA OCUPACIONAL,663.75,,,
163077,TEC. MED. TERAPIA OCUPACIONAL,433.875,,,
109282,TEC. MED. TERAPIA OCUPACIONAL,319.5,,,
149931,TEC. MED. TERAPIA OCUPACIONAL,753.625,,,
128434,TEC. MED. TERAPIA OCUPACIONAL,416.75,,,
191785,TEC. MED. TERAPIA OCUPACIONAL,398.375,,,
175194,TEC. MED. TERAPIA OCUPACIONAL,405.75,,,
155565,TEC. MED. TERAPIA OCUPACIONAL,252.75,,,
108220,TEC. MED. TERAPIA OCUPACIONAL,621.5,,,
173734,TEC. MED. TERAPIA OCUPACIONAL,394.5,,,
197578,TEC. MED. TERAPIA OCUPACIONAL,943.75,5.0,ALCANZO VACANTE,
153136,TEC. MED. TERAPIA OCUPACIONAL,500.125,,,
169058,TEC. MED. TERAPIA OCUPACIONAL,819.25,,,
143554,TEC. MED. TERAPIA OCUPACIONAL,821.5,,,
131106,TEC. MED. TERAPIA OCUPACIONAL,745.375,,,
172150,TEC. MED. TERAPIA OCUPACIONAL,694.75,,,
152091,TEC. MED. TERAPIA OCUPACIONAL,660.625,,,
151668,TEC. MED. TERAPIA OCUPACIONAL,784.875,,,
181086,TEC. MED. TERAPIA OCUPACIONAL,1010.75,1.0,ALCANZO VACANTE,
171595,TEC. MED. TERAPIA OCUPACIONAL,658.125,,,
160236,TEC. MED. TERAPIA OCUPACIONAL,600.375,,,
197488,TEC. MED. TERAPIA OCUPACIONAL,504.0,,,
140973,TEC. MED. TERAPIA OCUPACIONAL,933.875,6.0,ALCANZO VACANTE,
197436,TEC. MED. TERAPIA OCUPACIONAL,564.875,,,
186999,TEC. MED. TERAPIA OCUPACIONAL,353.375,,,
161240,TEC. MED. TERAPIA OCUPACIONAL,571.875,,,
186573,TEC. MED. TERAPIA OCUPACIONAL,648.0,,,
127292,TEC. MED. TERAPIA OCUPACIONAL,478.125,,,
166240,TEC. MED. TERAPIA OCUPACIONAL,451.625,,,
118286,TEC. MED. TERAPIA OCUPACIONAL,534.75,,,
185763,TEC. MED. TERAPIA OCUPACIONAL,841.5,,,
174171,TEC. MED. TERAPIA OCUPACIONAL,561.75,,,
173008,TEC. MED. TERAPIA OCUPACIONAL,563.5,,,
131923,TEC. MED. TERAPIA OCUPACIONAL,616.375,,,
138411,TEC. MED. TERAPIA OCUPACIONAL,495.0,,,
187503,TEC. MED. TERAPIA OCUPACIONAL,550.75,,,
198071,TEC. MED. TERAPIA OCUPACIONAL,352.25,,,
878125,MEDICINA HUMANA,1056.125,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
869143,MEDICINA HUMANA,932.75,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
885557,MEDICINA HUMANA,987.625,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
857882,MEDICINA HUMANA,946.25,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
870615,MEDICINA HUMANA,1211.875,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
150977,PSICOLOGÍA,1008.25,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
193697,PSICOLOGÍA,955.0,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
193655,PSICOLOGÍA,922.625,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
191108,PSICOLOGÍA,1010.5,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
141554,PSICOLOGÍA,1023.125,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
141224,PSICOLOGÍA,922.625,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,TEC. MED. TERAPIA OCUPACIONAL
