id,carrera,puntaje,vacante,observacion,segunda_opcion
726658,TRABAJO SOCIAL,648.0,,,
793947,TRABAJO SOCIAL,791.625,,,
762681,TRABAJO SOCIAL,638.375,,,
705100,TRABAJO SOCIAL,406.0,,,
835037,TRABAJO SOCIAL,593.625,,,
774921,TRABAJO SOCIAL,384.625,,,
813908,TRABAJO SOCIAL,732.75,,,
791161,TRABAJO SOCIAL,521.25,,,
704403,TRABAJO SOCIAL,471.375,,,
695423,TRABAJO SOCIAL,444.875,,,
828118,TRABAJO SOCIAL,598.375,,,
705407,TRABAJO SOCIAL,661.5,,,
712601,TRABAJO SOCIAL,708.25,,,
834669,TRABAJO SOCIAL,1018.375,15.0,ALCANZO VACANTE,
770493,TRABAJO SOCIAL,967.125,28.0,ALCANZO VACANTE,
741919,TRABAJO SOCIAL,732.5,,,
742852,TRABAJO SOCIAL,342.625,,,
780895,TRABAJO SOCIAL,495.0,,,
745918,TRABAJO SOCIAL,716.125,,,
716175,TRABAJO SOCIAL,868.25,,,
748716,TRABAJO SOCIAL,774.75,,,
747708,TRABAJO SOCIAL,902.625,,,
695805,TRABAJO SOCIAL,695.0,,,
834814,TRABAJO SOCIAL,940.625,,,
702157,TRABAJO SOCIAL,741.5,,,
707355,TRABAJO SOCIAL,957.25,32.0,ALCANZO VACANTE,
782884,TRABAJO SOCIAL,996.125,20.0,ALCANZO VACANTE,
828435,TRABAJO SOCIAL,818.375,,,
719403,TRABAJO SOCIAL,752.75,,,
716430,TRABAJO SOCIAL,512.75,,,
780857,TRABAJO SOCIAL,986.0,22.0,ALCANZO VACANTE,
735423,TRABAJO SOCIAL,838.125,,,
745933,TRABAJO SOCIAL,1112.75,5.0,ALCANZO VACANTE,
829341,TRABAJO SOCIAL,797.25,,,
814476,TRABAJO SOCIAL,521.25,,,
804053,TRABAJO SOCIAL,774.75,,,
738811,TRABAJO SOCIAL,770.75,,,
767669,TRABAJO SOCIAL,608.25,,,
788262,TRABAJO SOCIAL,646.0,,,
732183,TRABAJO SOCIAL,521.25,,,
710114,TRABAJO SOCIAL,698.375,,,
790857,TRABAJO SOCIAL,753.625,,,
697632,TRABAJO SOCIAL,895.0,,,
784793,TRABAJO SOCIAL,964.875,30.0,ALCANZO VACANTE,
730984,TRABAJO SOCIAL,1049.375,10.0,ALCANZO VACANTE,
825949,TRABAJO SOCIAL,246.5,,,
708902,TRABAJO SOCIAL,1129.625,4.0,ALCANZO VACANTE,
746940,TRABAJO SOCIAL,840.375,,,
812163,TRABAJO SOCIAL,575.0,,,
739695,TRABAJO SOCIAL,869.375,,,
722470,TRABAJO SOCIAL,820.375,,,
754988,TRABAJO SOCIAL,754.125,,,
768640,TRABAJO SOCIAL,943.75,36.0,ALCANZO VACANTE,
812058,TRABAJO SOCIAL,832.75,,,
782123,TRABAJO SOCIAL,755.0,,,
819026,TRABAJO SOCIAL,719.25,,,
826094,TRABAJO SOCIAL,972.75,26.0,ALCANZO VACANTE,
724419,TRABAJO SOCIAL,770.5,,,
747065,TRABAJO SOCIAL,1039.5,13.0,ALCANZO VACANTE,
713209,TRABAJO SOCIAL,366.0,,,
797830,TRABAJO SOCIAL,901.5,,,
768404,TRABAJO SOCIAL,398.125,,,
792394,TRABAJO SOCIAL,439.5,,,
786413,TRABAJO SOCIAL,640.625,,,
810358,TRABAJO SOCIAL,738.125,,,
750109,TRABAJO SOCIAL,684.0,,,
782277,TRABAJO SOCIAL,608.0,,,
710779,TRABAJO SOCIAL,606.875,,,
817605,TRABAJO SOCIAL,795.875,,,
777338,TRABAJO SOCIAL,774.75,,,
700493,TRABAJO SOCIAL,743.75,,,
805611,TRABAJO SOCIAL,869.375,,,
712737,TRABAJO SOCIAL,500.375,,,
758211,TRABAJO SOCIAL,859.25,,,
715274,TRABAJO SOCIAL,656.125,,,
842204,TRABAJO SOCIAL,902.625,,,
780101,TRABAJO SOCIAL,372.5,,,
729695,TRABAJO SOCIAL,795.875,,,
790776,TRABAJO SOCIAL,605.75,,,
706725,TRABAJO SOCIAL,844.875,,,
719409,TRABAJO SOCIAL,542.375,,,
715473,TRABAJO SOCIAL,652.75,,,
809234,TRABAJO SOCIAL,981.75,23.0,ALCANZO VACANTE,
823268,TRABAJO SOCIAL,439.25,,,
