id,carrera,puntaje,vacante,observacion,segunda_opcion
559683,ADMINISTRACIÓN - LIMA,993.0,,,
567129,ADMINISTRACIÓN - LIMA,355.875,,,
574686,ADMINISTRACIÓN - LIMA,650.5,,,
564229,ADMINISTRACIÓN - LIMA,483.5,,,
560642,ADMINISTRACIÓN - LIMA,1029.375,80.0,ALCANZO VACANTE PRIMERA OPCIÓN,
566374,ADMINISTRACIÓN - LIMA,689.625,,,
592923,ADMINISTRACIÓN - LIMA,548.5,,,
577542,ADMINISTRACIÓN - LIMA,943.75,,,
590402,ADMINISTRACIÓN - LIMA,625.125,,,
588682,ADMINISTRACIÓN - LIMA,338.375,,,
592344,ADMINISTRACIÓN - LIMA,765.125,,,
583844,ADMINISTRACIÓN - LIMA,310.0,,,
558293,ADMINISTRACIÓN - LIMA,1007.125,,,
573245,ADMINISTRACIÓN - LIMA,632.5,,,
555696,ADMINISTRACIÓN - LIMA,823.75,,,
587736,ADMINISTRACIÓN - LIMA,585.75,,,
557509,ADMINISTRACIÓN - LIMA,1199.5,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556602,ADMINISTRACIÓN - LIMA,328.5,,,
567581,ADMINISTRACIÓN - LIMA,572.5,,,
564733,ADMINISTRACIÓN - LIMA,1156.125,32.0,ALCANZO VACANTE PRIMERA OPCIÓN,
560294,ADMINISTRACIÓN - LIMA,1159.5,31.0,ALCANZO VACANTE PRIMERA OPCIÓN,
589935,ADMINISTRACIÓN - LIMA,1036.375,76.0,ALCANZO VACANTE PRIMERA OPCIÓN,
567155,ADMINISTRACIÓN - LIMA,791.625,,,
562594,ADMINISTRACIÓN - LIMA,733.625,,,
565554,ADMINISTRACIÓN - LIMA,754.75,,,
557237,ADMINISTRACIÓN - LIMA,606.875,,,
572357,ADMINISTRACIÓN - LIMA,280.375,,,
563309,ADMINISTRACIÓN - LIMA,1367.375,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
591022,ADMINISTRACIÓN - LIMA,619.5,,,
584230,ADMINISTRACIÓN - LIMA,511.625,,,
581206,ADMINISTRACIÓN - LIMA,413.0,,,
591681,ADMINISTRACIÓN - LIMA,943.75,,,
571372,ADMINISTRACIÓN - LIMA,482.375,,,
587835,ADMINISTRACIÓN - LIMA,895.0,,,
588808,ADMINISTRACIÓN - LIMA,1282.875,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
583629,ADMINISTRACIÓN - LIMA,853.0,,,
569686,ADMINISTRACIÓN - LIMA,750.5,,,
591653,ADMINISTRACIÓN - LIMA,1049.375,73.0,ALCANZO VACANTE PRIMERA OPCIÓN,
590593,ADMINISTRACIÓN - LIMA,774.75,,,
592999,ADMINISTRACIÓN - LIMA,774.75,,,
569991,ADMINISTRACIÓN - LIMA,903.75,,,
553743,ADMINISTRACIÓN - LIMA,565.75,,,
557653,ADMINISTRACIÓN - LIMA,987.125,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
562574,ADMINISTRACIÓN - LIMA,948.25,43.0,ALCANZO VACANTE SEGUNDA OPCIÓN,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA
577798,ADMINISTRACIÓN - LIMA,691.625,,,
590822,ADMINISTRACIÓN - LIMA,578.375,,,
563753,ADMINISTRACIÓN - LIMA,879.5,,,
585624,ADMINISTRACIÓN - LIMA,1198.375,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
583676,ADMINISTRACIÓN - LIMA,977.5,,,
558608,ADMINISTRACIÓN - LIMA,1239.5,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
567349,ADMINISTRACIÓN - LIMA,793.875,,,
558800,ADMINISTRACIÓN - LIMA,363.75,,,
593734,ADMINISTRACIÓN - LIMA,887.125,,,
570985,ADMINISTRACIÓN - LIMA,1178.375,24.0,ALCANZO VACANTE PRIMERA OPCIÓN,
558983,ADMINISTRACIÓN - LIMA,713.875,,,
557931,ADMINISTRACIÓN - LIMA,488.0,,,
570759,ADMINISTRACIÓN - LIMA,587.125,,,
585102,ADMINISTRACIÓN - LIMA,571.875,,,
554364,ADMINISTRACIÓN - LIMA,775.875,,,
580403,ADMINISTRACIÓN - LIMA,787.375,,,
552881,ADMINISTRACIÓN - LIMA,1050.5,69.0,ALCANZO VACANTE PRIMERA OPCIÓN,
573246,ADMINISTRACIÓN - LIMA,1184.0,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
565973,ADMINISTRACIÓN - LIMA,550.25,,,
585204,ADMINISTRACIÓN - LIMA,609.375,,,
550146,ADMINISTRACIÓN - LIMA,429.125,,,
