id,carrera,puntaje,vacante,observacion,segunda_opcion
771150,ANTROPOLOGÍA,392.5,,,
731329,ANTROPOLOGÍA,1093.875,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
835054,ANTROPOLOGÍA,929.625,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
734269,ANTROPOLOGÍA,655.0,,,
752346,ANTROPOLOGÍA,633.875,,,
757606,ANTROPOLOGÍA,964.875,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
753218,ANTROPOLOGÍA,922.625,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
790979,ANTROPOLOGÍA,860.625,,,
722363,ANTROPOLOGÍA,1033.875,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
701736,ANTROPOLOGÍA,464.0,,,
707704,ANTROPOLOGÍA,1057.5,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
842557,ANTROPOLOGÍA,838.125,,,
822350,ANTROPOLOGÍA,846.0,,,
766136,ANTROPOLOGÍA,824.875,,,
750456,ANTROPOLOGÍA,773.875,,,
749694,ANTROPOLOGÍA,335.25,,,
698980,ANTROPOLOGÍA,901.5,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
699633,ANTROPOLOGÍA,748.25,,,
825247,ANTROPOLOGÍA,901.5,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
746053,ANTROPOLOGÍA,617.5,,,
732668,ANTROPOLOGÍA,851.875,,,
759563,ANTROPOLOGÍA,967.125,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
801378,ANTROPOLOGÍA,577.0,,,
720314,ANTROPOLOGÍA,431.375,,,
700549,ANTROPOLOGÍA,585.75,,,
724836,ANTROPOLOGÍA,710.5,,,
731875,ANTROPOLOGÍA,943.75,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
725111,ANTROPOLOGÍA,851.625,,,
833336,ANTROPOLOGÍA,293.875,,,
840665,ANTROPOLOGÍA,821.5,,,
828410,ANTROPOLOGÍA,352.5,,,
717034,ANTROPOLOGÍA,702.0,,,
744064,ANTROPOLOGÍA,890.5,,,
731600,ANTROPOLOGÍA,770.75,,,
695277,ANTROPOLOGÍA,871.625,,,
763785,ANTROPOLOGÍA,569.125,,,
695546,ANTROPOLOGÍA,615.875,,,
829468,ANTROPOLOGÍA,964.875,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
772198,CIENCIA POLÍTICA,1012.75,26.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
771394,COMUNICACIÓN SOCIAL,1031.625,23.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
833172,COMUNICACIÓN SOCIAL,1159.5,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
832673,COMUNICACIÓN SOCIAL,1155.0,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
810032,COMUNICACIÓN SOCIAL,1028.25,25.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
695694,DERECHO - LIMA,1050.5,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
836725,DERECHO - LIMA,1012.75,27.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
760654,DERECHO - LIMA,1046.25,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
717692,DERECHO - LIMA,1076.125,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
792994,DERECHO - LIMA,1070.5,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
800851,DERECHO - LIMA,1135.0,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
827649,DERECHO - LIMA,1007.125,31.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
776913,DERECHO - LIMA,1008.25,30.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
765984,DERECHO - LIMA,1030.5,24.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
751087,DERECHO - LIMA,1128.5,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
837694,DERECHO - LIMA,1070.5,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
697852,DERECHO - LIMA,1010.5,28.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
715407,DERECHO - LIMA,1136.125,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
705531,DERECHO - LIMA,1010.5,29.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
729486,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1033.0,22.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
