id,carrera,puntaje,vacante,observacion,segunda_opcion
211407,COMPUTACIÓN CIENTÍFICA,1007.125,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
210075,COMPUTACIÓN CIENTÍFICA,477.5,,,
212303,COMPUTACIÓN CIENTÍFICA,864.875,,,
212168,COMPUTACIÓN CIENTÍFICA,538.125,,,
215816,COMPUTACIÓN CIENTÍFICA,,,AUSENTE,
211587,COMPUTACIÓN CIENTÍFICA,798.125,,,
218687,COMPUTACIÓN CIENTÍFICA,631.625,,,
210467,COMPUTACIÓN CIENTÍFICA,563.5,,,
215831,COMPUTACIÓN CIENTÍFICA,396.125,,,
212835,COMPUTACIÓN CIENTÍFICA,564.0,,,
211597,COMPUTACIÓN CIENTÍFICA,768.25,,,
217813,COMPUTACIÓN CIENTÍFICA,632.5,,,
214924,COMPUTACIÓN CIENTÍFICA,396.75,,,
211569,COMPUTACIÓN CIENTÍFICA,860.375,,,
216725,COMPUTACIÓN CIENTÍFICA,715.0,,,
210457,COMPUTACIÓN CIENTÍFICA,202.625,,,
213713,COMPUTACIÓN CIENTÍFICA,1001.75,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
213494,COMPUTACIÓN CIENTÍFICA,856.375,,,
210215,COMPUTACIÓN CIENTÍFICA,769.375,,,
216459,COMPUTACIÓN CIENTÍFICA,753.625,,,
214054,GENÉTICA Y BIOTECNOLOGÍA,901.5,3.0,ALCANZO VACANTE SEGUNDA OPCIÓN,COMPUTACIÓN CIENTÍFICA
