id,carrera,puntaje,vacante,observacion,segunda_opcion
723260,COMUNICACIÓN SOCIAL,506.0,,,
737025,COMUNICACIÓN SOCIAL,673.625,,,
704644,COMUNICACIÓN SOCIAL,787.375,,,
710744,COMUNICACIÓN SOCIAL,631.375,,,
785042,COMUNICACIÓN SOCIAL,1260.625,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
820683,COMUNICACIÓN SOCIAL,1206.25,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
735202,COMUNICACIÓN SOCIAL,662.625,,,
774712,COMUNICACIÓN SOCIAL,469.375,,,
828046,COMUNICACIÓN SOCIAL,651.375,,,
779582,COMUNICACIÓN SOCIAL,1029.625,,,
762777,COMUNICACIÓN SOCIAL,774.75,,,
700684,COMUNICACIÓN SOCIAL,573.625,,,
842003,COMUNICACIÓN SOCIAL,922.625,,,
796492,COMUNICACIÓN SOCIAL,581.75,,,
794151,COMUNICACIÓN SOCIAL,966.25,,,
774880,COMUNICACIÓN SOCIAL,986.0,,,
747134,COMUNICACIÓN SOCIAL,656.125,,,
737162,COMUNICACIÓN SOCIAL,457.25,,,
823676,COMUNICACIÓN SOCIAL,866.0,,,
728603,COMUNICACIÓN SOCIAL,,,AUSENTE,
782047,COMUNICACIÓN SOCIAL,740.875,,,
840672,COMUNICACIÓN SOCIAL,538.375,,,
819625,COMUNICACIÓN SOCIAL,664.875,,,
696266,COMUNICACIÓN SOCIAL,1075.0,,,
742811,COMUNICACIÓN SOCIAL,947.125,,,
705334,COMUNICACIÓN SOCIAL,838.125,,,
837941,COMUNICACIÓN SOCIAL,962.875,,,
761344,COMUNICACIÓN SOCIAL,1264.0,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
843852,COMUNICACIÓN SOCIAL,629.125,,,
829058,COMUNICACIÓN SOCIAL,972.75,,,
783475,COMUNICACIÓN SOCIAL,551.875,,,
726523,COMUNICACIÓN SOCIAL,880.375,,,
809925,COMUNICACIÓN SOCIAL,855.0,,,
735621,COMUNICACIÓN SOCIAL,1116.375,,,
836206,COMUNICACIÓN SOCIAL,906.25,,,
731885,COMUNICACIÓN SOCIAL,496.125,,,
842770,COMUNICACIÓN SOCIAL,605.75,,,
709209,COMUNICACIÓN SOCIAL,684.0,,,
767806,COMUNICACIÓN SOCIAL,888.25,,,
806885,COMUNICACIÓN SOCIAL,666.25,,,
727908,COMUNICACIÓN SOCIAL,1243.125,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
697478,COMUNICACIÓN SOCIAL,381.75,,,
743971,COMUNICACIÓN SOCIAL,373.875,,,
721772,COMUNICACIÓN SOCIAL,810.75,,,
696917,COMUNICACIÓN SOCIAL,732.5,,,
745782,COMUNICACIÓN SOCIAL,1049.375,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
711063,COMUNICACIÓN SOCIAL,944.875,,,
714197,COMUNICACIÓN SOCIAL,653.875,,,
724913,COMUNICACIÓN SOCIAL,471.375,,,
715801,COMUNICACIÓN SOCIAL,439.0,,,
757059,COMUNICACIÓN SOCIAL,753.625,,,
818121,COMUNICACIÓN SOCIAL,484.625,,,
786088,COMUNICACIÓN SOCIAL,479.0,,,
819554,COMUNICACIÓN SOCIAL,760.625,,,
787559,COMUNICACIÓN SOCIAL,394.75,,,
771394,COMUNICACIÓN SOCIAL,1031.625,23.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
774188,COMUNICACIÓN SOCIAL,563.5,,,
780637,COMUNICACIÓN SOCIAL,904.0,,,
819764,COMUNICACIÓN SOCIAL,1070.5,,,
833172,COMUNICACIÓN SOCIAL,1159.5,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
779948,COMUNICACIÓN SOCIAL,522.875,,,
696885,COMUNICACIÓN SOCIAL,1113.875,,,
731932,COMUNICACIÓN SOCIAL,754.75,,,
753280,COMUNICACIÓN SOCIAL,638.125,,,
834315,COMUNICACIÓN SOCIAL,1239.5,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
723866,COMUNICACIÓN SOCIAL,1281.75,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
743338,COMUNICACIÓN SOCIAL,1239.5,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
730140,COMUNICACIÓN SOCIAL,611.625,,,
720445,COMUNICACIÓN SOCIAL,953.875,,,
729358,COMUNICACIÓN SOCIAL,1281.75,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
731603,COMUNICACIÓN SOCIAL,922.625,,,
799213,COMUNICACIÓN SOCIAL,631.375,,,
805281,COMUNICACIÓN SOCIAL,509.375,,,
735547,COMUNICACIÓN SOCIAL,889.375,,,
806157,COMUNICACIÓN SOCIAL,982.875,,,
822101,COMUNICACIÓN SOCIAL,744.875,,,
742918,COMUNICACIÓN SOCIAL,690.25,,,
781205,COMUNICACIÓN SOCIAL,1199.5,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
786437,COMUNICACIÓN SOCIAL,670.5,,,
814817,COMUNICACIÓN SOCIAL,859.5,,,
738564,COMUNICACIÓN SOCIAL,713.625,,,
810600,COMUNICACIÓN SOCIAL,986.0,,,
772509,COMUNICACIÓN SOCIAL,1115.0,,,
755242,COMUNICACIÓN SOCIAL,500.375,,,
767146,COMUNICACIÓN SOCIAL,638.375,,,
829296,COMUNICACIÓN SOCIAL,339.25,,,
759250,COMUNICACIÓN SOCIAL,1130.75,,,
697836,COMUNICACIÓN SOCIAL,472.75,,,
738411,COMUNICACIÓN SOCIAL,317.0,,,
742963,COMUNICACIÓN SOCIAL,589.375,,,
821450,COMUNICACIÓN SOCIAL,561.75,,,
752934,COMUNICACIÓN SOCIAL,310.75,,,
812577,COMUNICACIÓN SOCIAL,546.0,,,
761174,COMUNICACIÓN SOCIAL,352.25,,,
773370,COMUNICACIÓN SOCIAL,753.875,,,
699490,COMUNICACIÓN SOCIAL,497.0,,,
736990,COMUNICACIÓN SOCIAL,812.75,,,
832823,COMUNICACIÓN SOCIAL,,,AUSENTE,
699162,COMUNICACIÓN SOCIAL,889.625,,,
838158,COMUNICACIÓN SOCIAL,935.25,,,
801653,COMUNICACIÓN SOCIAL,922.625,,,
783287,COMUNICACIÓN SOCIAL,898.375,,,
766994,COMUNICACIÓN SOCIAL,1049.375,,,
819772,COMUNICACIÓN SOCIAL,648.0,,,
736994,COMUNICACIÓN SOCIAL,471.625,,,
835430,COMUNICACIÓN SOCIAL,829.625,,,
705128,COMUNICACIÓN SOCIAL,880.375,,,
700650,COMUNICACIÓN SOCIAL,882.625,,,
785111,COMUNICACIÓN SOCIAL,753.625,,,
716326,COMUNICACIÓN SOCIAL,875.25,,,
797537,COMUNICACIÓN SOCIAL,989.375,,,
711544,COMUNICACIÓN SOCIAL,913.875,,,
807132,COMUNICACIÓN SOCIAL,569.625,,,
749958,COMUNICACIÓN SOCIAL,1049.375,,,
706030,COMUNICACIÓN SOCIAL,844.0,,,
827172,COMUNICACIÓN SOCIAL,1028.25,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ARTE
785623,COMUNICACIÓN SOCIAL,726.0,,,
696162,COMUNICACIÓN SOCIAL,632.75,,,
775618,COMUNICACIÓN SOCIAL,931.625,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
833655,COMUNICACIÓN SOCIAL,283.75,,,
771637,COMUNICACIÓN SOCIAL,861.5,,,
701859,COMUNICACIÓN SOCIAL,775.0,,,
763436,COMUNICACIÓN SOCIAL,1136.375,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
812409,COMUNICACIÓN SOCIAL,461.25,,,
764130,COMUNICACIÓN SOCIAL,199.5,,,
