id,carrera,puntaje,vacante,observacion,segunda_opcion
702235,CONSERVACIÓN Y RESTAURACIÓN,596.125,,,
746566,CONSERVACIÓN Y RESTAURACIÓN,944.875,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
827580,CONSERVACIÓN Y RESTAURACIÓN,732.5,,,
832360,CONSERVACIÓN Y RESTAURACIÓN,669.125,,,
783855,CONSERVACIÓN Y RESTAURACIÓN,584.625,,,
815901,CONSERVACIÓN Y RESTAURACIÓN,774.75,,,
698451,CONSERVACIÓN Y RESTAURACIÓN,537.5,,,
784038,CONSERVACIÓN Y RESTAURACIÓN,801.5,,,
699645,CONSERVACIÓN Y RESTAURACIÓN,480.375,,,
696152,CONSERVACIÓN Y RESTAURACIÓN,1006.25,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
764765,CONSERVACIÓN Y RESTAURACIÓN,1028.25,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
751628,CONSERVACIÓN Y RESTAURACIÓN,1007.125,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
795249,CONSERVACIÓN Y RESTAURACIÓN,760.625,,,
815229,CIENCIA POLÍTICA,922.625,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
738683,CIENCIA POLÍTICA,947.125,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
829253,CIENCIA POLÍTICA,944.875,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
775618,COMUNICACIÓN SOCIAL,931.625,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
763436,COMUNICACIÓN SOCIAL,1136.375,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
758891,COMUNICACIÓN SOCIAL,1120.625,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
785007,DERECHO - LIMA,1028.25,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
767420,DERECHO - LIMA,1156.125,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
813764,DERECHO - LIMA,1096.125,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
740161,DERECHO - LIMA,987.125,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
827176,DERECHO - LIMA,1078.375,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
824045,DERECHO - LIMA,975.0,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
770932,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",986.0,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,CONSERVACIÓN Y RESTAURACIÓN
