id,carrera,puntaje,vacante,observacion,segunda_opcion
800917,DERECHO - VILLA RICA,566.875,,,
732856,DERECHO - VILLA RICA,802.875,,,
773690,DERECHO - VILLA RICA,626.25,,,
795198,DERECHO - VILLA RICA,353.0,,,
792756,DERECHO - VILLA RICA,,,AUSENTE,
805912,DERECHO - VILLA RICA,614.125,,,
805243,DERECHO - VILLA RICA,732.5,,,
735805,DERECHO - VILLA RICA,373.375,,,
755938,DERECHO - VILLA RICA,394.5,,,
729095,DERECHO - VILLA RICA,508.0,,,
708254,DERECHO - VILLA RICA,419.25,,,
734157,DERECHO - VILLA RICA,459.0,,,
746057,DERECHO - VILLA RICA,681.5,,,
798897,DERECHO - VILLA RICA,160.625,,,
750090,DERECHO - VILLA RICA,415.625,,,
843319,DERECHO - VILLA RICA,369.125,,,
713141,DERECHO - VILLA RICA,461.25,,,
717231,DERECHO - VILLA RICA,605.75,,,
708851,DERECHO - VILLA RICA,649.125,,,
810858,DERECHO - VILLA RICA,427.375,,,
718194,DERECHO - VILLA RICA,626.875,,,
735263,DERECHO - VILLA RICA,628.0,,,
823953,DERECHO - VILLA RICA,313.375,,,
778311,DERECHO - VILLA RICA,406.875,,,
791256,DERECHO - VILLA RICA,424.25,,,
815077,DERECHO - VILLA RICA,567.125,,,
818802,DERECHO - VILLA RICA,643.75,,,
821373,DERECHO - VILLA RICA,483.5,,,
774992,DERECHO - VILLA RICA,1239.5,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
784370,DERECHO - VILLA RICA,556.125,,,
818509,DERECHO - LIMA,1091.625,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
697377,DERECHO - LIMA,1042.875,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
761214,DERECHO - LIMA,1092.75,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
820367,DERECHO - LIMA,1008.25,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
729449,DERECHO - LIMA,1113.875,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
775027,DERECHO - LIMA,1049.375,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
746276,DERECHO - LIMA,998.375,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
819877,DERECHO - LIMA,1028.25,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
712313,DERECHO - LIMA,1071.875,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
712039,DERECHO - LIMA,987.125,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
763922,DERECHO - LIMA,901.5,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
707628,DERECHO - LIMA,1157.5,2.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
804303,DERECHO - LIMA,1091.625,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
766195,DERECHO - LIMA,922.625,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
733106,DERECHO - LIMA,986.0,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
834390,DERECHO - LIMA,1150.75,3.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
752454,DERECHO - LIMA,1116.125,4.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
762731,DERECHO - LIMA,1075.0,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
