id,carrera,puntaje,vacante,observacion,segunda_opcion
581512,ECONOMÍA INTERNACIONAL,627.125,,,
585927,ECONOMÍA INTERNACIONAL,593.875,,,
578553,ECONOMÍA INTERNACIONAL,1049.625,,,
571415,ECONOMÍA INTERNACIONAL,753.625,,,
572575,ECONOMÍA INTERNACIONAL,1327.375,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
592647,ECONOMÍA INTERNACIONAL,922.625,,,
574351,ECONOMÍA INTERNACIONAL,1260.625,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
573218,ECONOMÍA INTERNACIONAL,1008.25,26.0,ALCANZO VACANTE SEGUNDA OPCIÓN,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA
553567,ECONOMÍA INTERNACIONAL,967.125,,,
575563,ECONOMÍA INTERNACIONAL,1133.875,40.0,ALCANZO VACANTE PRIMERA OPCIÓN,
566548,ECONOMÍA INTERNACIONAL,784.0,,,
554561,ECONOMÍA INTERNACIONAL,922.625,,,
563443,ECONOMÍA INTERNACIONAL,670.25,,,
557370,ECONOMÍA INTERNACIONAL,488.5,,,
553356,ECONOMÍA INTERNACIONAL,1133.875,38.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556308,ECONOMÍA INTERNACIONAL,565.75,,,
557777,ECONOMÍA INTERNACIONAL,1091.625,54.0,ALCANZO VACANTE PRIMERA OPCIÓN,
581539,ECONOMÍA INTERNACIONAL,141.75,,,
555975,ECONOMÍA INTERNACIONAL,930.5,,,
585578,ECONOMÍA INTERNACIONAL,647.125,,,
551533,ECONOMÍA INTERNACIONAL,678.375,,,
558045,ECONOMÍA INTERNACIONAL,615.875,,,
579923,ECONOMÍA INTERNACIONAL,1155.0,28.0,ALCANZO VACANTE PRIMERA OPCIÓN,
569200,ECONOMÍA INTERNACIONAL,513.625,,,
586816,ECONOMÍA INTERNACIONAL,1155.0,33.0,ALCANZO VACANTE PRIMERA OPCIÓN,
576344,ECONOMÍA INTERNACIONAL,1028.25,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN - S.J.L
578187,ECONOMÍA INTERNACIONAL,605.75,,,
583475,ECONOMÍA INTERNACIONAL,838.125,,,
568792,ECONOMÍA INTERNACIONAL,1112.75,48.0,ALCANZO VACANTE PRIMERA OPCIÓN,
577749,ECONOMÍA INTERNACIONAL,713.625,,,
575146,ECONOMÍA INTERNACIONAL,967.125,,,
576760,ECONOMÍA INTERNACIONAL,527.125,,,
566059,ECONOMÍA INTERNACIONAL,1131.875,42.0,ALCANZO VACANTE PRIMERA OPCIÓN,
567177,ECONOMÍA INTERNACIONAL,797.0,,,
591280,ECONOMÍA INTERNACIONAL,567.375,,,
564397,ECONOMÍA INTERNACIONAL,1281.75,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
554329,ECONOMÍA INTERNACIONAL,966.0,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GESTIÓN TRIBUTARIA - LIMA
594525,ECONOMÍA INTERNACIONAL,1193.0,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
554693,ECONOMÍA INTERNACIONAL,1160.625,25.0,ALCANZO VACANTE PRIMERA OPCIÓN,
590636,ECONOMÍA INTERNACIONAL,893.875,,,
585434,ECONOMÍA INTERNACIONAL,563.5,,,
578789,ECONOMÍA INTERNACIONAL,1082.875,57.0,ALCANZO VACANTE PRIMERA OPCIÓN,
575489,ECONOMÍA INTERNACIONAL,966.0,,,
554062,ECONOMÍA INTERNACIONAL,669.125,,,
585347,ECONOMÍA INTERNACIONAL,362.875,,,
580076,ECONOMÍA INTERNACIONAL,755.875,,,
564837,ECONOMÍA INTERNACIONAL,527.125,,,
564377,ECONOMÍA INTERNACIONAL,901.5,,,
594248,ECONOMÍA INTERNACIONAL,751.625,,,
553408,ECONOMÍA INTERNACIONAL,817.0,,,
589651,ECONOMÍA INTERNACIONAL,690.25,,,
593307,ECONOMÍA INTERNACIONAL,1049.375,,,
556883,ECONOMÍA INTERNACIONAL,437.25,,,
557376,ECONOMÍA INTERNACIONAL,1091.625,52.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556516,ECONOMÍA INTERNACIONAL,1049.375,,,
590413,ECONOMÍA INTERNACIONAL,542.375,,,
551603,ECONOMÍA INTERNACIONAL,669.125,,,
579935,ECONOMÍA INTERNACIONAL,384.0,,,
569512,ECONOMÍA INTERNACIONAL,1302.875,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
560879,ECONOMÍA INTERNACIONAL,922.625,31.0,ALCANZO VACANTE SEGUNDA OPCIÓN,GESTIÓN TRIBUTARIA - LIMA
594439,ECONOMÍA INTERNACIONAL,964.875,,,
571766,ECONOMÍA INTERNACIONAL,542.375,,,
589553,ECONOMÍA INTERNACIONAL,843.75,,,
560670,ECONOMÍA INTERNACIONAL,755.875,,,
558808,ECONOMÍA INTERNACIONAL,1304.0,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
579592,ECONOMÍA INTERNACIONAL,1099.5,50.0,ALCANZO VACANTE PRIMERA OPCIÓN,
