id,carrera,puntaje,vacante,observacion,segunda_opcion
580363,ECONOMÍA PÚBLICA,1118.625,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
557767,ECONOMÍA PÚBLICA,1061.75,28.0,ALCANZO VACANTE PRIMERA OPCIÓN,
558748,ECONOMÍA PÚBLICA,1091.625,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
594019,ECONOMÍA PÚBLICA,1091.625,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
565100,ECONOMÍA PÚBLICA,1009.375,39.0,ALCANZO VACANTE PRIMERA OPCIÓN,
572377,ECONOMÍA PÚBLICA,1030.5,36.0,ALCANZO VACANTE PRIMERA OPCIÓN,
579672,ECONOMÍA PÚBLICA,927.125,58.0,ALCANZO VACANTE PRIMERA OPCIÓN,
590528,ECONOMÍA PÚBLICA,630.25,,,
559430,ECONOMÍA PÚBLICA,595.875,,,
590259,ECONOMÍA PÚBLICA,633.875,,,
564885,ECONOMÍA PÚBLICA,904.875,63.0,ALCANZO VACANTE PRIMERA OPCIÓN,
573459,ECONOMÍA PÚBLICA,1065.125,27.0,ALCANZO VACANTE PRIMERA OPCIÓN,
567425,ECONOMÍA PÚBLICA,1010.5,38.0,ALCANZO VACANTE PRIMERA OPCIÓN,
566765,ECONOMÍA PÚBLICA,991.625,40.0,ALCANZO VACANTE PRIMERA OPCIÓN,
593048,ECONOMÍA PÚBLICA,780.875,,,
565039,ECONOMÍA PÚBLICA,922.875,59.0,ALCANZO VACANTE PRIMERA OPCIÓN,
564553,ECONOMÍA PÚBLICA,498.375,,,
556201,ECONOMÍA PÚBLICA,945.125,51.0,ALCANZO VACANTE PRIMERA OPCIÓN,
594945,ECONOMÍA PÚBLICA,602.625,,,
564799,ECONOMÍA PÚBLICA,711.375,,,
594270,ECONOMÍA PÚBLICA,626.875,,,
570011,ECONOMÍA PÚBLICA,1071.625,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
580843,ECONOMÍA PÚBLICA,818.125,,,
555223,ECONOMÍA PÚBLICA,690.25,,,
572387,ECONOMÍA PÚBLICA,609.625,,,
568162,ECONOMÍA PÚBLICA,1291.875,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
571566,ECONOMÍA PÚBLICA,1085.125,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
581738,ECONOMÍA PÚBLICA,564.875,,,
594723,ECONOMÍA PÚBLICA,803.75,,,
564929,ECONOMÍA PÚBLICA,966.0,47.0,ALCANZO VACANTE PRIMERA OPCIÓN,
575273,ECONOMÍA PÚBLICA,542.375,,,
570646,ECONOMÍA PÚBLICA,675.0,,,
571260,ECONOMÍA PÚBLICA,782.625,,,
571326,ECONOMÍA PÚBLICA,,,AUSENTE,
561474,ECONOMÍA PÚBLICA,752.75,,,
557911,ECONOMÍA PÚBLICA,719.25,,,
557794,ECONOMÍA PÚBLICA,1091.625,20.0,ALCANZO VACANTE PRIMERA OPCIÓN,
565697,ECONOMÍA PÚBLICA,750.5,,,
592120,ECONOMÍA PÚBLICA,1112.75,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
589324,ECONOMÍA PÚBLICA,1038.375,30.0,ALCANZO VACANTE PRIMERA OPCIÓN,
581263,ECONOMÍA PÚBLICA,893.0,,,
580740,ECONOMÍA PÚBLICA,942.0,55.0,ALCANZO VACANTE PRIMERA OPCIÓN,
577664,ECONOMÍA PÚBLICA,1112.75,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
570165,ECONOMÍA PÚBLICA,881.5,,,
573590,ECONOMÍA PÚBLICA,1070.5,26.0,ALCANZO VACANTE PRIMERA OPCIÓN,
583789,ECONOMÍA PÚBLICA,744.875,,,
584330,ECONOMÍA PÚBLICA,721.75,,,
579469,ECONOMÍA PÚBLICA,782.625,,,
557167,ECONOMÍA PÚBLICA,711.625,,,
564494,ECONOMÍA PÚBLICA,658.125,,,
560263,ECONOMÍA PÚBLICA,580.375,,,
586501,ECONOMÍA PÚBLICA,922.625,61.0,ALCANZO VACANTE PRIMERA OPCIÓN,
587482,ECONOMÍA PÚBLICA,784.875,,,
570009,ECONOMÍA PÚBLICA,819.25,,,
582279,ECONOMÍA PÚBLICA,416.125,,,
564725,ECONOMÍA PÚBLICA,504.875,,,
583009,ECONOMÍA PÚBLICA,944.875,52.0,ALCANZO VACANTE PRIMERA OPCIÓN,
560951,ECONOMÍA PÚBLICA,927.125,57.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556910,ECONOMÍA PÚBLICA,1021.75,37.0,ALCANZO VACANTE PRIMERA OPCIÓN,
574189,ECONOMÍA PÚBLICA,955.0,50.0,ALCANZO VACANTE PRIMERA OPCIÓN,
581451,ECONOMÍA PÚBLICA,1218.375,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
593067,ECONOMÍA PÚBLICA,817.0,,,
561977,ECONOMÍA PÚBLICA,692.75,,,
558939,ECONOMÍA PÚBLICA,862.625,,,
586270,ECONOMÍA PÚBLICA,988.25,43.0,ALCANZO VACANTE PRIMERA OPCIÓN,
573852,ECONOMÍA PÚBLICA,1077.25,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
573879,ECONOMÍA PÚBLICA,345.75,,,
590626,ECONOMÍA PÚBLICA,810.5,,,
565842,ECONOMÍA PÚBLICA,966.0,46.0,ALCANZO VACANTE PRIMERA OPCIÓN,
594202,ECONOMÍA PÚBLICA,690.5,,,
558971,ECONOMÍA PÚBLICA,902.875,64.0,ALCANZO VACANTE PRIMERA OPCIÓN,
562817,ECONOMÍA PÚBLICA,828.25,,,
565709,ECONOMÍA PÚBLICA,714.75,,,
580975,ECONOMÍA PÚBLICA,851.625,,,
564617,ECONOMÍA PÚBLICA,822.875,,,
582118,ECONOMÍA PÚBLICA,1155.0,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
578732,ECONOMÍA PÚBLICA,661.5,,,
564635,ECONOMÍA PÚBLICA,820.625,,,
562968,ECONOMÍA PÚBLICA,546.25,,,
582008,ECONOMÍA PÚBLICA,1155.0,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556670,ECONOMÍA PÚBLICA,1070.5,25.0,ALCANZO VACANTE PRIMERA OPCIÓN,
570299,ECONOMÍA PÚBLICA,492.5,,,
558625,ECONOMÍA PÚBLICA,986.0,44.0,ALCANZO VACANTE PRIMERA OPCIÓN,
556424,ECONOMÍA PÚBLICA,844.875,,,
575823,ECONOMÍA PÚBLICA,606.875,,,
592830,ECONOMÍA PÚBLICA,1035.25,32.0,ALCANZO VACANTE PRIMERA OPCIÓN,
561235,ECONOMÍA PÚBLICA,788.5,,,
586941,ECONOMÍA PÚBLICA,1035.0,33.0,ALCANZO VACANTE PRIMERA OPCIÓN,
574191,ECONOMÍA PÚBLICA,741.75,,,
573244,ECONOMÍA PÚBLICA,421.75,,,
578849,ECONOMÍA PÚBLICA,818.125,,,
550439,ECONOMÍA PÚBLICA,638.125,,,
594593,ECONOMÍA PÚBLICA,487.125,,,
588074,ECONOMÍA PÚBLICA,1037.25,31.0,ALCANZO VACANTE PRIMERA OPCIÓN,
563465,ECONOMÍA PÚBLICA,688.25,,,
587587,ECONOMÍA PÚBLICA,1186.25,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
561902,ECONOMÍA PÚBLICA,887.125,,,
575044,ECONOMÍA PÚBLICA,788.25,,,
592729,ECONOMÍA PÚBLICA,624.0,,,
577041,ECONOMÍA PÚBLICA,697.0,,,
562788,ECONOMÍA PÚBLICA,943.75,54.0,ALCANZO VACANTE PRIMERA OPCIÓN,
562829,ECONOMÍA PÚBLICA,1326.25,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
561079,ECONOMÍA PÚBLICA,988.25,42.0,ALCANZO VACANTE PRIMERA OPCIÓN,
563713,ECONOMÍA PÚBLICA,584.625,,,
552947,ECONOMÍA PÚBLICA,,,AUSENTE,
551628,ECONOMÍA PÚBLICA,864.875,,,
592220,ECONOMÍA PÚBLICA,563.5,,,
581153,ECONOMÍA PÚBLICA,531.375,,,
583124,ECONOMÍA PÚBLICA,817.0,,,
589107,ECONOMÍA PÚBLICA,1070.5,24.0,ALCANZO VACANTE PRIMERA OPCIÓN,
588401,ECONOMÍA PÚBLICA,1269.625,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
551202,ECONOMÍA PÚBLICA,1091.625,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
594042,ECONOMÍA PÚBLICA,486.875,,,
579957,ECONOMÍA PÚBLICA,1324.0,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
583136,ECONOMÍA PÚBLICA,908.25,62.0,ALCANZO VACANTE PRIMERA OPCIÓN,
581018,ECONOMÍA PÚBLICA,817.0,,,
568724,ECONOMÍA PÚBLICA,605.75,,,
560354,ECONOMÍA PÚBLICA,943.75,53.0,ALCANZO VACANTE PRIMERA OPCIÓN,
552110,ECONOMÍA PÚBLICA,931.625,56.0,ALCANZO VACANTE PRIMERA OPCIÓN,
553436,ECONOMÍA PÚBLICA,1159.5,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
