id,carrera,puntaje,vacante,observacion,segunda_opcion
729237,EDUCACIÓN FÍSICA - LIMA,666.333,,,
754914,EDUCACIÓN FÍSICA - LIMA,1202.129,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
803502,EDUCACIÓN FÍSICA - LIMA,1092.504,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
841082,EDUCACIÓN FÍSICA - LIMA,597.363,,,
820423,EDUCACIÓN FÍSICA - LIMA,789.663,,,
816900,EDUCACIÓN FÍSICA - LIMA,487.408,,,
757999,EDUCACIÓN FÍSICA - LIMA,709.108,,,
739451,EDUCACIÓN FÍSICA - LIMA,954.629,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
752970,EDUCACIÓN FÍSICA - LIMA,1184.138,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
747349,EDUCACIÓN FÍSICA - LIMA,937.538,30.0,ALCANZO VACANTE PRIMERA OPCIÓN,
745044,EDUCACIÓN FÍSICA - LIMA,765.483,,,
791423,EDUCACIÓN FÍSICA - LIMA,660.992,,,
811691,EDUCACIÓN FÍSICA - LIMA,858.5,,,
795188,EDUCACIÓN FÍSICA - LIMA,1050.258,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
732593,EDUCACIÓN FÍSICA - LIMA,926.508,35.0,ALCANZO VACANTE PRIMERA OPCIÓN,
719003,EDUCACIÓN FÍSICA - LIMA,1055.533,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
749502,EDUCACIÓN FÍSICA - LIMA,752.996,,,
802139,EDUCACIÓN FÍSICA - LIMA,783.354,,,
770550,EDUCACIÓN FÍSICA - LIMA,535.546,,,
742706,EDUCACIÓN FÍSICA - LIMA,605.725,,,
707567,EDUCACIÓN FÍSICA - LIMA,946.737,26.0,ALCANZO VACANTE PRIMERA OPCIÓN,
805900,EDUCACIÓN FÍSICA - LIMA,810.692,,,
767616,EDUCACIÓN FÍSICA - LIMA,902.571,42.0,ALCANZO VACANTE PRIMERA OPCIÓN,
834773,EDUCACIÓN FÍSICA - LIMA,700.271,,,
769258,EDUCACIÓN FÍSICA - LIMA,676.013,,,
753102,EDUCACIÓN FÍSICA - LIMA,712.15,,,
705326,EDUCACIÓN FÍSICA - LIMA,1033.779,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
843492,EDUCACIÓN FÍSICA - LIMA,511.183,,,
801829,EDUCACIÓN FÍSICA - LIMA,705.717,,,
825703,EDUCACIÓN FÍSICA - LIMA,603.842,,,
763457,EDUCACIÓN FÍSICA - LIMA,1211.642,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
814944,EDUCACIÓN FÍSICA - LIMA,779.542,,,
711502,EDUCACIÓN FÍSICA - LIMA,541.288,,,
766094,EDUCACIÓN FÍSICA - LIMA,1087.229,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
830916,EDUCACIÓN FÍSICA - LIMA,485.729,,,
781448,EDUCACIÓN FÍSICA - LIMA,629.833,,,
813406,EDUCACIÓN FÍSICA - LIMA,688.879,,,
793897,EDUCACIÓN FÍSICA - LIMA,992.325,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
806847,EDUCACIÓN FÍSICA - LIMA,910.267,39.0,ALCANZO VACANTE PRIMERA OPCIÓN,
736410,EDUCACIÓN FÍSICA - LIMA,683.408,,,
704527,EDUCACIÓN FÍSICA - LIMA,814.383,,,
795463,EDUCACIÓN FÍSICA - LIMA,951.296,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
794843,EDUCACIÓN FÍSICA - LIMA,729.663,,,
835120,EDUCACIÓN FÍSICA - LIMA,1003.962,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
696496,EDUCACIÓN FÍSICA - LIMA,944.742,28.0,ALCANZO VACANTE PRIMERA OPCIÓN,
737979,EDUCACIÓN FÍSICA - LIMA,723.242,,,
737012,EDUCACIÓN FÍSICA - LIMA,829.238,,,
760988,EDUCACIÓN FÍSICA - LIMA,489.842,,,
789176,EDUCACIÓN FÍSICA - LIMA,759.654,,,
775687,EDUCACIÓN FÍSICA - LIMA,863.113,,,
760534,EDUCACIÓN FÍSICA - LIMA,994.629,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
819644,EDUCACIÓN FÍSICA - LIMA,829.421,,,
738124,EDUCACIÓN FÍSICA - LIMA,829.663,,,
748798,EDUCACIÓN FÍSICA - LIMA,813.896,,,
758170,EDUCACIÓN FÍSICA - LIMA,830.8,,,
772164,EDUCACIÓN FÍSICA - LIMA,915.113,36.0,ALCANZO VACANTE PRIMERA OPCIÓN,
779834,EDUCACIÓN FÍSICA - LIMA,878.142,,,
711216,EDUCACIÓN FÍSICA - LIMA,651.788,,,
765835,EDUCACIÓN FÍSICA - LIMA,1016.383,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
799769,EDUCACIÓN FÍSICA - LIMA,800.088,,,
723090,EDUCACIÓN FÍSICA - LIMA,756.15,,,
822103,EDUCACIÓN FÍSICA - LIMA,,,AUSENTE,
717926,EDUCACIÓN FÍSICA - LIMA,817.783,,,
775896,EDUCACIÓN FÍSICA - LIMA,911.479,38.0,ALCANZO VACANTE PRIMERA OPCIÓN,
834063,EDUCACIÓN FÍSICA - LIMA,836.867,,,
729011,EDUCACIÓN FÍSICA - LIMA,708.454,,,
