id,carrera,puntaje,vacante,observacion,segunda_opcion
696853,EDUCACIÓN INICIAL,601.5,,,
766690,EDUCACIÓN INICIAL,299.0,,,
811910,EDUCACIÓN INICIAL,964.875,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
747454,EDUCACIÓN INICIAL,829.375,,,
830144,EDUCACIÓN INICIAL,420.125,,,
748224,EDUCACIÓN INICIAL,635.0,,,
736647,EDUCACIÓN INICIAL,626.875,,,
763470,EDUCACIÓN INICIAL,743.75,,,
763783,EDUCACIÓN INICIAL,837.25,,,
721314,EDUCACIÓN INICIAL,629.125,,,
748671,EDUCACIÓN INICIAL,436.75,,,
707226,EDUCACIÓN INICIAL,542.375,,,
812165,EDUCACIÓN INICIAL,991.625,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
753434,EDUCACIÓN INICIAL,986.0,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
700580,EDUCACIÓN INICIAL,468.0,,,
729649,EDUCACIÓN INICIAL,409.375,,,
707139,EDUCACIÓN INICIAL,500.125,,,
796495,EDUCACIÓN INICIAL,930.5,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
738036,EDUCACIÓN INICIAL,628.0,,,
806743,EDUCACIÓN INICIAL,525.125,,,
832162,EDUCACIÓN INICIAL,838.125,,,
705083,EDUCACIÓN INICIAL,788.25,,,
830896,EDUCACIÓN INICIAL,795.875,,,
825354,EDUCACIÓN INICIAL,765.125,,,
716922,EDUCACIÓN INICIAL,660.375,,,
760683,EDUCACIÓN INICIAL,827.375,,,
780680,EDUCACIÓN INICIAL,657.5,,,
838421,EDUCACIÓN INICIAL,901.5,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
785221,EDUCACIÓN INICIAL,437.875,,,
808563,EDUCACIÓN INICIAL,671.375,,,
777721,EDUCACIÓN INICIAL,973.0,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
768993,EDUCACIÓN INICIAL,772.75,,,
730036,EDUCACIÓN INICIAL,593.625,,,
709482,EDUCACIÓN INICIAL,1001.75,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
721670,EDUCACIÓN INICIAL,641.5,,,
811111,EDUCACIÓN INICIAL,678.375,,,
791678,EDUCACIÓN INICIAL,406.0,,,
695803,EDUCACIÓN INICIAL,922.625,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
820120,EDUCACIÓN INICIAL,681.5,,,
813840,EDUCACIÓN INICIAL,394.5,,,
718703,EDUCACIÓN INICIAL,869.625,,,
764946,EDUCACIÓN INICIAL,669.125,,,
798729,EDUCACIÓN INICIAL,487.375,,,
799979,EDUCACIÓN INICIAL,396.125,,,
745012,EDUCACIÓN INICIAL,414.75,,,
771650,EDUCACIÓN INICIAL,666.25,,,
759225,EDUCACIÓN INICIAL,352.25,,,
787699,EDUCACIÓN INICIAL,639.5,,,
783689,EDUCACIÓN INICIAL,459.25,,,
756601,EDUCACIÓN INICIAL,819.25,,,
778686,EDUCACIÓN INICIAL,562.625,,,
729382,EDUCACIÓN INICIAL,382.625,,,
795887,EDUCACIÓN INICIAL,348.25,,,
