id,carrera,puntaje,vacante,observacion,segunda_opcion
217733,GENÉTICA Y BIOTECNOLOGÍA,713.0,,,
211481,GENÉTICA Y BIOTECNOLOGÍA,838.375,,,
219382,GENÉTICA Y BIOTECNOLOGÍA,988.25,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
218018,GENÉTICA Y BIOTECNOLOGÍA,977.25,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
216906,GENÉTICA Y BIOTECNOLOGÍA,896.125,,,
211113,GENÉTICA Y BIOTECNOLOGÍA,621.5,,,
212612,GENÉTICA Y BIOTECNOLOGÍA,964.875,25.0,ALCANZO VACANTE PRIMERA OPCIÓN,
211318,GENÉTICA Y BIOTECNOLOGÍA,818.125,,,
217645,GENÉTICA Y BIOTECNOLOGÍA,754.75,,,
211951,GENÉTICA Y BIOTECNOLOGÍA,941.75,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,MICROBIOLOGÍA Y PARASITOLOGÍA
213918,GENÉTICA Y BIOTECNOLOGÍA,541.5,,,
219196,GENÉTICA Y BIOTECNOLOGÍA,880.375,,,
211387,GENÉTICA Y BIOTECNOLOGÍA,,,AUSENTE,
219065,GENÉTICA Y BIOTECNOLOGÍA,986.0,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
214398,GENÉTICA Y BIOTECNOLOGÍA,1011.625,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
219698,GENÉTICA Y BIOTECNOLOGÍA,1070.5,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
212700,GENÉTICA Y BIOTECNOLOGÍA,635.0,,,
219712,GENÉTICA Y BIOTECNOLOGÍA,382.0,,,
218521,GENÉTICA Y BIOTECNOLOGÍA,894.125,,,
211503,GENÉTICA Y BIOTECNOLOGÍA,1335.25,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
211252,GENÉTICA Y BIOTECNOLOGÍA,920.875,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,MICROBIOLOGÍA Y PARASITOLOGÍA
219605,GENÉTICA Y BIOTECNOLOGÍA,508.25,,,
215408,GENÉTICA Y BIOTECNOLOGÍA,838.125,,,
212433,GENÉTICA Y BIOTECNOLOGÍA,,,AUSENTE,
215314,GENÉTICA Y BIOTECNOLOGÍA,861.5,,,
213271,GENÉTICA Y BIOTECNOLOGÍA,739.25,,,
210862,GENÉTICA Y BIOTECNOLOGÍA,611.625,,,
