id,carrera,puntaje,vacante,observacion,segunda_opcion
772407,HISTORIA,605.75,,,
703981,HISTORIA,674.75,,,
800673,HISTORIA,690.25,,,
739065,HISTORIA,1155.0,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
751988,HISTORIA,759.5,,,
742044,HISTORIA,827.375,,,
715029,HISTORIA,922.625,20.0,ALCANZO VACANTE PRIMERA OPCIÓN,
797571,HISTORIA,1049.375,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
833898,HISTORIA,1166.25,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
718872,HISTORIA,249.875,,,
702556,HISTORIA,912.75,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
753589,HISTORIA,533.625,,,
804580,HISTORIA,732.5,,,
702577,HISTORIA,711.375,,,
827132,HISTORIA,964.875,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
739567,HISTORIA,732.5,,,
818434,HISTORIA,975.0,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
705504,HISTORIA,626.875,,,
707181,HISTORIA,600.375,,,
794358,HISTORIA,774.75,,,
803473,HISTORIA,694.75,,,
743262,HISTORIA,659.5,,,
814462,HISTORIA,887.125,,,
794398,HISTORIA,808.25,,,
832406,HISTORIA,867.375,,,
746853,HISTORIA,1091.625,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
780109,HISTORIA,1176.125,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
735901,HISTORIA,479.5,,,
800670,HISTORIA,783.75,,,
778066,HISTORIA,860.625,,,
829617,HISTORIA,381.75,,,
768575,HISTORIA,817.0,,,
797007,HISTORIA,880.375,,,
698873,HISTORIA,832.75,,,
744946,HISTORIA,944.875,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
722467,HISTORIA,719.25,,,
800778,HISTORIA,701.5,,,
755452,HISTORIA,542.375,,,
807419,HISTORIA,679.5,,,
813657,HISTORIA,585.75,,,
701043,HISTORIA,1007.125,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
806642,HISTORIA,754.75,,,
761840,HISTORIA,1084.0,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
802357,HISTORIA,564.625,,,
755724,HISTORIA,858.375,,,
778624,HISTORIA,1060.625,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
789926,HISTORIA,1070.5,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
809169,HISTORIA,563.5,,,
744481,HISTORIA,802.875,,,
701196,HISTORIA,741.75,,,
808809,HISTORIA,902.0,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
772300,HISTORIA,1091.875,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
772725,HISTORIA,777.25,,,
792011,HISTORIA,943.75,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
697192,HISTORIA,1091.625,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
771045,HISTORIA,964.875,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
732781,HISTORIA,1044.0,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
728120,HISTORIA,667.125,,,
742321,HISTORIA,584.625,,,
819827,HISTORIA,922.625,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
741620,HISTORIA,670.25,,,
756658,HISTORIA,923.75,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
820487,HISTORIA,753.625,,,
767901,HISTORIA,817.0,,,
821055,HISTORIA,839.25,,,
834147,HISTORIA,670.25,,,
748388,HISTORIA,652.5,,,
763374,HISTORIA,986.0,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
830851,DERECHO - LIMA,1190.75,24.0,ALCANZO VACANTE SEGUNDA OPCIÓN,HISTORIA
