id,carrera,puntaje,vacante,observacion,segunda_opcion
259959,INGENIERÍA AGROINDUSTRIAL - LIMA,460.375,,,
237794,INGENIERÍA AGROINDUSTRIAL - LIMA,665.125,,,
266751,INGENIERÍA AGROINDUSTRIAL - LIMA,885.125,,,
295395,INGENIERÍA AGROINDUSTRIAL - LIMA,584.625,,,
264198,INGENIERÍA AGROINDUSTRIAL - LIMA,390.25,,,
232276,INGENIERÍA AGROINDUSTRIAL - LIMA,1085.125,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
257193,INGENIERÍA AGROINDUSTRIAL - LIMA,1076.125,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
230952,INGENIERÍA AGROINDUSTRIAL - LIMA,1113.875,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
233940,INGENIERÍA AGROINDUSTRIAL - LIMA,379.0,,,
279454,INGENIERÍA AGROINDUSTRIAL - LIMA,711.375,,,
279936,INGENIERÍA AGROINDUSTRIAL - LIMA,819.5,,,
296539,INGENIERÍA AGROINDUSTRIAL - LIMA,844.875,,,
235548,INGENIERÍA AGROINDUSTRIAL - LIMA,475.875,,,
309962,INGENIERÍA AGROINDUSTRIAL - LIMA,310.25,,,
241008,INGENIERÍA AGROINDUSTRIAL - LIMA,687.375,,,
227623,INGENIERÍA AGROINDUSTRIAL - LIMA,267.75,,,
251541,INGENIERÍA AGROINDUSTRIAL - LIMA,262.0,,,
235061,INGENIERÍA AGROINDUSTRIAL - LIMA,501.25,,,
283856,INGENIERÍA AGROINDUSTRIAL - LIMA,475.875,,,
250306,INGENIERÍA AGROINDUSTRIAL - LIMA,943.75,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
285822,INGENIERÍA AGROINDUSTRIAL - LIMA,650.25,,,
302207,INGENIERÍA AGROINDUSTRIAL - LIMA,669.125,,,
261130,INGENIERÍA AGROINDUSTRIAL - LIMA,618.125,,,
230433,INGENIERÍA AGROINDUSTRIAL - LIMA,574.75,,,
274296,INGENIERÍA AGROINDUSTRIAL - LIMA,737.0,,,
307224,INGENIERÍA AGROINDUSTRIAL - LIMA,542.375,,,
302070,INGENIERÍA AGROINDUSTRIAL - LIMA,782.625,,,
235749,INGENIERÍA AGROINDUSTRIAL - LIMA,693.625,,,
231950,INGENIERÍA AGROINDUSTRIAL - LIMA,690.25,,,
290165,INGENIERÍA AGROINDUSTRIAL - LIMA,479.0,,,
301771,INGENIERÍA AGROINDUSTRIAL - LIMA,673.0,,,
281376,INGENIERÍA AGROINDUSTRIAL - LIMA,838.125,,,
225221,INGENIERÍA AGROINDUSTRIAL - LIMA,427.375,,,
267554,INGENIERÍA AGROINDUSTRIAL - LIMA,436.75,,,
298246,INGENIERÍA AGROINDUSTRIAL - LIMA,708.25,,,
