id,carrera,puntaje,vacante,observacion,segunda_opcion
288981,INGENIERÍA AMBIENTAL,480.125,,,
289966,INGENIERÍA AMBIENTAL,542.375,,,
221249,INGENIERÍA AMBIENTAL,500.125,,,
228982,INGENIERÍA AMBIENTAL,404.875,,,
286054,INGENIERÍA AMBIENTAL,401.5,,,
231561,INGENIERÍA AMBIENTAL,955.0,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
225386,INGENIERÍA AMBIENTAL,618.125,,,
225117,INGENIERÍA AMBIENTAL,943.75,,,
297288,INGENIERÍA AMBIENTAL,631.625,,,
233264,INGENIERÍA AMBIENTAL,447.375,,,
303691,INGENIERÍA AMBIENTAL,781.5,,,
299279,INGENIERÍA AMBIENTAL,356.125,,,
294142,INGENIERÍA AMBIENTAL,669.125,,,
274982,INGENIERÍA AMBIENTAL,782.625,,,
281233,INGENIERÍA AMBIENTAL,648.0,,,
302671,INGENIERÍA AMBIENTAL,907.125,,,
301651,INGENIERÍA AMBIENTAL,680.375,,,
227799,INGENIERÍA AMBIENTAL,666.0,,,
232038,INGENIERÍA AMBIENTAL,739.75,,,
298504,INGENIERÍA AMBIENTAL,986.0,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
281135,INGENIERÍA AMBIENTAL,314.5,,,
231496,INGENIERÍA AMBIENTAL,542.375,,,
293117,INGENIERÍA AMBIENTAL,576.125,,,
238621,INGENIERÍA AMBIENTAL,900.625,,,
229994,INGENIERÍA AMBIENTAL,444.875,,,
281491,INGENIERÍA AMBIENTAL,628.0,,,
252804,INGENIERÍA AMBIENTAL,896.125,,,
270230,INGENIERÍA AMBIENTAL,441.5,,,
293483,INGENIERÍA AMBIENTAL,1007.125,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
238039,INGENIERÍA AMBIENTAL,644.875,,,
289330,INGENIERÍA AMBIENTAL,397.875,,,
231442,INGENIERÍA AMBIENTAL,548.0,,,
251062,INGENIERÍA AMBIENTAL,870.5,,,
229390,INGENIERÍA AMBIENTAL,721.5,,,
225803,INGENIERÍA AMBIENTAL,633.625,,,
281770,INGENIERÍA AMBIENTAL,715.0,,,
233669,INGENIERÍA AMBIENTAL,1010.5,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
275792,INGENIERÍA AMBIENTAL,795.875,,,
284736,INGENIERÍA AMBIENTAL,682.875,,,
290713,INGENIERÍA AMBIENTAL,758.375,,,
229782,INGENIERÍA AMBIENTAL,1040.625,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
264416,INGENIERÍA AMBIENTAL,626.0,,,
226572,INGENIERÍA AMBIENTAL,,,AUSENTE,
286870,INGENIERÍA AMBIENTAL,484.0,,,
274318,INGENIERÍA AMBIENTAL,395.625,,,
223102,INGENIERÍA AMBIENTAL,839.25,,,
281843,INGENIERÍA AMBIENTAL,927.125,,,
247751,INGENIERÍA AMBIENTAL,586.875,,,
271578,INGENIERÍA AMBIENTAL,906.25,,,
292540,INGENIERÍA AMBIENTAL,1201.75,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
248023,INGENIERÍA AMBIENTAL,334.125,,,
236937,INGENIERÍA AMBIENTAL,1096.125,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
299690,INGENIERÍA AMBIENTAL,789.375,,,
239189,INGENIERÍA AMBIENTAL,700.625,,,
267443,INGENIERÍA AMBIENTAL,838.125,,,
282770,INGENIERÍA AMBIENTAL,631.375,,,
248485,INGENIERÍA AMBIENTAL,859.5,,,
303683,INGENIERÍA AMBIENTAL,310.0,,,
293104,INGENIERÍA AMBIENTAL,563.5,,,
285018,INGENIERÍA AMBIENTAL,626.875,,,
281464,INGENIERÍA AMBIENTAL,1049.375,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
266655,INGENIERÍA AMBIENTAL,605.75,,,
301599,INGENIERÍA AMBIENTAL,563.5,,,
220740,INGENIERÍA AMBIENTAL,374.5,,,
223835,INGENIERÍA AMBIENTAL,,,AUSENTE,
284286,INGENIERÍA AMBIENTAL,526.875,,,
220039,INGENIERÍA AMBIENTAL,416.75,,,
237400,INGENIERÍA AMBIENTAL,782.875,,,
243969,INGENIERÍA AMBIENTAL,524.875,,,
232989,INGENIERÍA AMBIENTAL,798.625,,,
227900,INGENIERÍA AMBIENTAL,901.5,,,
225927,INGENIERÍA AMBIENTAL,522.0,,,
248371,INGENIERÍA AMBIENTAL,534.125,,,
244229,INGENIERÍA AMBIENTAL,437.875,,,
233804,INGENIERÍA AMBIENTAL,595.875,,,
293394,INGENIERÍA AMBIENTAL,560.375,,,
278732,INGENIERÍA AMBIENTAL,542.375,,,
299000,INGENIERÍA AMBIENTAL,754.75,,,
251385,INGENIERÍA AMBIENTAL,317.5,,,
299959,INGENIERÍA AMBIENTAL,670.25,,,
267408,INGENIERÍA AMBIENTAL,450.25,,,
279701,INGENIERÍA AMBIENTAL,522.375,,,
224926,INGENIERÍA AMBIENTAL,839.5,,,
234049,INGENIERÍA AMBIENTAL,479.75,,,
289587,INGENIERÍA AMBIENTAL,697.0,,,
243775,INGENIERÍA AMBIENTAL,835.0,,,
230380,INGENIERÍA AMBIENTAL,459.5,,,
239038,INGENIERÍA AMBIENTAL,455.875,,,
227288,INGENIERÍA AMBIENTAL,701.5,,,
248422,INGENIERÍA AMBIENTAL,990.5,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
280139,INGENIERÍA AMBIENTAL,542.375,,,
303781,INGENIERÍA AMBIENTAL,480.375,,,
300937,INGENIERÍA AMBIENTAL,671.625,,,
282992,INGENIERÍA AMBIENTAL,428.25,,,
244845,INGENIERÍA AMBIENTAL,628.0,,,
304871,INGENIERÍA AMBIENTAL,539.5,,,
226765,INGENIERÍA AMBIENTAL,804.0,,,
285683,INGENIERÍA AMBIENTAL,1070.5,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
305118,INGENIERÍA AMBIENTAL,859.25,,,
261797,INGENIERÍA AMBIENTAL,943.75,,,
288021,INGENIERÍA AMBIENTAL,490.5,,,
300795,INGENIERÍA AMBIENTAL,667.375,,,
291466,INGENIERÍA AMBIENTAL,741.5,,,
289042,INGENIERÍA AMBIENTAL,1159.5,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
224700,INGENIERÍA AMBIENTAL,622.875,,,
260981,INGENIERÍA AMBIENTAL,503.5,,,
307702,INGENIERÍA AMBIENTAL,457.875,,,
282596,INGENIERÍA AMBIENTAL,718.125,,,
291820,INGENIERÍA AMBIENTAL,1001.75,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
229448,INGENIERÍA AMBIENTAL,569.375,,,
243333,INGENIERÍA AMBIENTAL,669.125,,,
268030,INGENIERÍA AMBIENTAL,555.0,,,
238158,INGENIERÍA AMBIENTAL,615.25,,,
280956,INGENIERÍA AMBIENTAL,546.875,,,
281647,INGENIERÍA AMBIENTAL,893.0,,,
221989,INGENIERÍA AMBIENTAL,847.125,,,
293996,INGENIERÍA AMBIENTAL,662.625,,,
282215,INGENIERÍA AMBIENTAL,871.625,,,
247810,INGENIERÍA AMBIENTAL,795.875,,,
294007,INGENIERÍA AMBIENTAL,564.625,,,
247308,INGENIERÍA AMBIENTAL,700.375,,,
224110,INGENIERÍA AMBIENTAL,456.125,,,
250840,INGENIERÍA AMBIENTAL,847.375,,,
303408,INGENIERÍA AMBIENTAL,626.875,,,
223959,INGENIERÍA AMBIENTAL,736.375,,,
248073,INGENIERÍA AMBIENTAL,415.625,,,
289231,INGENIERÍA AMBIENTAL,501.25,,,
248648,INGENIERÍA AMBIENTAL,657.25,,,
281951,INGENIERÍA AMBIENTAL,1118.375,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
266951,INGENIERÍA AMBIENTAL,670.25,,,
277772,INGENIERÍA AMBIENTAL,267.75,,,
240608,INGENIERÍA AMBIENTAL,479.0,,,
241522,INGENIERÍA AMBIENTAL,711.375,,,
243228,INGENIERÍA AMBIENTAL,906.0,32.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA AGROINDUSTRIAL - LIMA
280144,INGENIERÍA AMBIENTAL,380.125,,,
281711,INGENIERÍA AMBIENTAL,818.125,,,
240606,INGENIERÍA AMBIENTAL,584.625,,,
260209,INGENIERÍA AMBIENTAL,653.0,,,
227625,INGENIERÍA AMBIENTAL,1010.5,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
292871,INGENIERÍA AMBIENTAL,888.25,,,
303927,INGENIERÍA AMBIENTAL,653.625,,,
230261,INGENIERÍA AMBIENTAL,890.75,,,
279993,INGENIERÍA AMBIENTAL,823.75,,,
283955,INGENIERÍA AMBIENTAL,795.875,,,
239483,INGENIERÍA AMBIENTAL,732.5,,,
240567,INGENIERÍA AMBIENTAL,606.875,,,
308683,INGENIERÍA AMBIENTAL,543.5,,,
225801,INGENIERÍA AMBIENTAL,395.625,,,
256031,INGENIERÍA AMBIENTAL,352.25,,,
230075,INGENIERÍA AMBIENTAL,700.375,,,
260119,INGENIERÍA AMBIENTAL,321.25,,,
302749,INGENIERÍA AMBIENTAL,460.375,,,
231121,INGENIERÍA AMBIENTAL,384.25,,,
226263,INGENIERÍA AMBIENTAL,,,AUSENTE,
227751,INGENIERÍA AMBIENTAL,429.375,,,
286673,INGENIERÍA AMBIENTAL,732.5,,,
276182,INGENIERÍA AMBIENTAL,691.375,,,
