id,carrera,puntaje,vacante,observacion,segunda_opcion
241078,INGENIERÍA DE TELECOMUNICACIONES,605.75,,,
274261,INGENIERÍA DE TELECOMUNICACIONES,906.25,,,
241838,INGENIERÍA DE TELECOMUNICACIONES,431.875,,,
248456,INGENIERÍA DE TELECOMUNICACIONES,726.0,,,
231401,INGENIERÍA DE TELECOMUNICACIONES,669.125,,,
302319,INGENIERÍA DE TELECOMUNICACIONES,480.125,,,
258701,INGENIERÍA DE TELECOMUNICACIONES,775.875,,,
265683,INGENIERÍA DE TELECOMUNICACIONES,777.0,,,
309974,INGENIERÍA DE TELECOMUNICACIONES,859.25,,,
241883,INGENIERÍA DE TELECOMUNICACIONES,688.25,,,
255087,INGENIERÍA DE TELECOMUNICACIONES,1071.625,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
280163,INGENIERÍA DE TELECOMUNICACIONES,986.0,27.0,ALCANZO VACANTE PRIMERA OPCIÓN,
264251,INGENIERÍA DE TELECOMUNICACIONES,1343.125,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
300125,INGENIERÍA DE TELECOMUNICACIONES,511.625,,,
303409,INGENIERÍA DE TELECOMUNICACIONES,859.25,,,
274395,INGENIERÍA DE TELECOMUNICACIONES,519.25,,,
240532,INGENIERÍA DE TELECOMUNICACIONES,901.5,,,
274151,INGENIERÍA DE TELECOMUNICACIONES,1064.0,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
256378,INGENIERÍA DE TELECOMUNICACIONES,750.5,,,
252064,INGENIERÍA DE TELECOMUNICACIONES,453.875,,,
241798,INGENIERÍA DE TELECOMUNICACIONES,847.375,,,
298093,INGENIERÍA DE TELECOMUNICACIONES,,,AUSENTE,
257759,INGENIERÍA DE TELECOMUNICACIONES,496.125,,,
237296,INGENIERÍA DE TELECOMUNICACIONES,1207.375,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
266250,INGENIERÍA DE TELECOMUNICACIONES,774.75,,,
267089,INGENIERÍA DE TELECOMUNICACIONES,310.25,,,
240354,INGENIERÍA DE TELECOMUNICACIONES,422.375,,,
230614,INGENIERÍA DE TELECOMUNICACIONES,388.0,,,
257369,INGENIERÍA DE TELECOMUNICACIONES,880.375,,,
246364,INGENIERÍA DE TELECOMUNICACIONES,690.25,,,
223176,INGENIERÍA DE TELECOMUNICACIONES,753.625,,,
301311,INGENIERÍA DE TELECOMUNICACIONES,901.5,,,
308185,INGENIERÍA DE TELECOMUNICACIONES,404.0,,,
298678,INGENIERÍA DE TELECOMUNICACIONES,817.0,,,
251496,INGENIERÍA DE TELECOMUNICACIONES,844.0,,,
269649,INGENIERÍA DE TELECOMUNICACIONES,753.625,,,
238324,INGENIERÍA DE TELECOMUNICACIONES,928.25,38.0,ALCANZO VACANTE PRIMERA OPCIÓN,
268022,INGENIERÍA DE TELECOMUNICACIONES,821.5,,,
284778,INGENIERÍA DE TELECOMUNICACIONES,732.5,,,
292051,INGENIERÍA DE TELECOMUNICACIONES,457.25,,,
308731,INGENIERÍA DE TELECOMUNICACIONES,648.0,,,
251620,INGENIERÍA DE TELECOMUNICACIONES,667.125,,,
237578,INGENIERÍA DE TELECOMUNICACIONES,1269.625,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
253672,INGENIERÍA DE TELECOMUNICACIONES,690.25,,,
244716,INGENIERÍA DE TELECOMUNICACIONES,410.25,,,
273248,INGENIERÍA DE TELECOMUNICACIONES,644.875,,,
306367,INGENIERÍA DE TELECOMUNICACIONES,1198.375,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
240370,INGENIERÍA DE TELECOMUNICACIONES,846.0,,,
274874,INGENIERÍA DE TELECOMUNICACIONES,545.125,,,
304824,INGENIERÍA DE TELECOMUNICACIONES,754.75,,,
237103,INGENIERÍA DE TELECOMUNICACIONES,333.375,,,
281969,INGENIERÍA DE TELECOMUNICACIONES,968.25,30.0,ALCANZO VACANTE PRIMERA OPCIÓN,
255371,INGENIERÍA DE TELECOMUNICACIONES,859.25,,,
268513,INGENIERÍA DE TELECOMUNICACIONES,542.375,,,
301335,INGENIERÍA DE TELECOMUNICACIONES,774.125,,,
278845,INGENIERÍA DE TELECOMUNICACIONES,1218.375,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
264233,INGENIERÍA DE TELECOMUNICACIONES,889.375,,,
281655,INGENIERÍA DE TELECOMUNICACIONES,690.25,,,
220957,INGENIERÍA DE TELECOMUNICACIONES,790.5,,,
234344,INGENIERÍA DE TELECOMUNICACIONES,732.5,,,
295800,INGENIERÍA DE TELECOMUNICACIONES,996.125,26.0,ALCANZO VACANTE PRIMERA OPCIÓN,
263942,INGENIERÍA DE TELECOMUNICACIONES,943.125,35.0,ALCANZO VACANTE PRIMERA OPCIÓN,
253398,INGENIERÍA DE TELECOMUNICACIONES,443.5,,,
237008,INGENIERÍA DE TELECOMUNICACIONES,931.875,36.0,ALCANZO VACANTE PRIMERA OPCIÓN,
247272,INGENIERÍA DE TELECOMUNICACIONES,712.5,,,
255408,INGENIERÍA DE TELECOMUNICACIONES,1150.75,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
250396,INGENIERÍA DE TELECOMUNICACIONES,504.0,,,
257362,INGENIERÍA DE TELECOMUNICACIONES,1065.125,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
268621,INGENIERÍA DE TELECOMUNICACIONES,492.5,,,
292289,INGENIERÍA DE TELECOMUNICACIONES,1113.875,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
234537,INGENIERÍA DE TELECOMUNICACIONES,368.0,,,
270703,INGENIERÍA DE TELECOMUNICACIONES,1137.25,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
255649,INGENIERÍA DE TELECOMUNICACIONES,891.875,,,
235773,INGENIERÍA DE TELECOMUNICACIONES,533.625,,,
291725,INGENIERÍA DE TELECOMUNICACIONES,817.0,,,
285218,INGENIERÍA DE TELECOMUNICACIONES,603.75,,,
301352,INGENIERÍA DE TELECOMUNICACIONES,446.0,,,
221263,INGENIERÍA DE TELECOMUNICACIONES,753.625,,,
265646,INGENIERÍA DE TELECOMUNICACIONES,860.375,,,
238986,INGENIERÍA DE TELECOMUNICACIONES,901.5,,,
