id,carrera,puntaje,vacante,observacion,segunda_opcion
259705,INGENIERÍA ELÉCTRICA - LIMA,542.375,,,
302531,INGENIERÍA ELÉCTRICA - LIMA,829.375,,,
274793,INGENIERÍA ELÉCTRICA - LIMA,745.125,,,
233172,INGENIERÍA ELÉCTRICA - LIMA,810.5,,,
280290,INGENIERÍA ELÉCTRICA - LIMA,774.75,,,
238787,INGENIERÍA ELÉCTRICA - LIMA,673.625,,,
307707,INGENIERÍA ELÉCTRICA - LIMA,951.625,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
221111,INGENIERÍA ELÉCTRICA - LIMA,478.625,,,
296983,INGENIERÍA ELÉCTRICA - LIMA,493.625,,,
292136,INGENIERÍA ELÉCTRICA - LIMA,444.625,,,
273522,INGENIERÍA ELÉCTRICA - LIMA,478.375,,,
245879,INGENIERÍA ELÉCTRICA - LIMA,362.625,,,
220960,INGENIERÍA ELÉCTRICA - LIMA,526.875,,,
239303,INGENIERÍA ELÉCTRICA - LIMA,500.375,,,
267377,INGENIERÍA ELÉCTRICA - LIMA,588.0,,,
246703,INGENIERÍA ELÉCTRICA - LIMA,817.0,,,
308554,INGENIERÍA ELÉCTRICA - LIMA,647.125,,,
269518,INGENIERÍA ELÉCTRICA - LIMA,664.0,,,
267711,INGENIERÍA ELÉCTRICA - LIMA,611.375,,,
278280,INGENIERÍA ELÉCTRICA - LIMA,779.5,,,
294844,INGENIERÍA ELÉCTRICA - LIMA,859.5,,,
265172,INGENIERÍA ELÉCTRICA - LIMA,464.875,,,
282469,INGENIERÍA ELÉCTRICA - LIMA,724.0,,,
242080,INGENIERÍA ELÉCTRICA - LIMA,584.625,,,
226590,INGENIERÍA ELÉCTRICA - LIMA,813.875,,,
298444,INGENIERÍA ELÉCTRICA - LIMA,735.875,,,
242575,INGENIERÍA ELÉCTRICA - LIMA,795.875,,,
264803,INGENIERÍA ELÉCTRICA - LIMA,715.0,,,
296918,INGENIERÍA ELÉCTRICA - LIMA,1009.375,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
263796,INGENIERÍA ELÉCTRICA - LIMA,826.0,,,
278403,INGENIERÍA ELÉCTRICA - LIMA,552.5,,,
244646,INGENIERÍA ELÉCTRICA - LIMA,943.75,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
233173,INGENIERÍA ELÉCTRICA - LIMA,415.875,,,
226923,INGENIERÍA ELÉCTRICA - LIMA,614.125,,,
281338,INGENIERÍA ELÉCTRICA - LIMA,511.375,,,
235085,INGENIERÍA ELÉCTRICA - LIMA,637.0,,,
