id,carrera,puntaje,vacante,observacion,segunda_opcion
223253,INGENIERÍA GEOGRÁFICA,772.75,,,
261719,INGENIERÍA GEOGRÁFICA,545.75,,,
255005,INGENIERÍA GEOGRÁFICA,754.75,,,
253985,INGENIERÍA GEOGRÁFICA,,,AUSENTE,
290455,INGENIERÍA GEOGRÁFICA,1100.875,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
305603,INGENIERÍA GEOGRÁFICA,711.375,,,
236730,INGENIERÍA GEOGRÁFICA,946.0,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
220254,INGENIERÍA GEOGRÁFICA,610.5,,,
220264,INGENIERÍA GEOGRÁFICA,240.625,,,
306502,INGENIERÍA GEOGRÁFICA,579.5,,,
307614,INGENIERÍA GEOGRÁFICA,720.625,,,
283409,INGENIERÍA GEOGRÁFICA,521.25,,,
258177,INGENIERÍA GEOGRÁFICA,678.125,,,
266453,INGENIERÍA GEOGRÁFICA,546.875,,,
248883,INGENIERÍA GEOGRÁFICA,549.125,,,
251831,INGENIERÍA GEOGRÁFICA,605.75,,,
257619,INGENIERÍA GEOGRÁFICA,863.75,,,
250221,INGENIERÍA GEOGRÁFICA,510.5,,,
261087,INGENIERÍA GEOGRÁFICA,479.0,,,
223608,INGENIERÍA GEOGRÁFICA,618.375,,,
224063,INGENIERÍA GEOGRÁFICA,469.125,,,
289977,INGENIERÍA GEOGRÁFICA,637.25,,,
284644,INGENIERÍA GEOGRÁFICA,733.625,,,
235071,INGENIERÍA GEOGRÁFICA,669.125,,,
291649,INGENIERÍA GEOGRÁFICA,848.25,,,
251821,INGENIERÍA GEOGRÁFICA,780.375,,,
267079,INGENIERÍA GEOGRÁFICA,904.875,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
224286,INGENIERÍA GEOGRÁFICA,1155.0,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
276487,INGENIERÍA GEOGRÁFICA,774.75,,,
287219,INGENIERÍA GEOGRÁFICA,839.25,,,
300911,INGENIERÍA GEOGRÁFICA,923.75,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
287946,INGENIERÍA GEOGRÁFICA,884.875,,,
228063,INGENIERÍA GEOGRÁFICA,1044.0,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
235721,INGENIERÍA GEOGRÁFICA,620.625,,,
264432,INGENIERÍA GEOGRÁFICA,668.5,,,
229838,CIENCIAS DE LA COMPUTACIÓN,931.625,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
266567,INGENIERÍA BIOMÉDICA,964.875,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
296792,INGENIERÍA CIVIL,1008.5,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
244989,INGENIERÍA CIVIL,1133.875,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
271837,INGENIERÍA CIVIL,1157.25,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
267289,INGENIERÍA CIVIL,1007.125,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
258739,INGENIERÍA CIVIL,960.625,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
269533,INGENIERÍA DE SISTEMAS,1124.0,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
270875,INGENIERÍA GEOLÓGICA - LIMA,901.5,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
257216,INGENIERÍA GEOLÓGICA - LIMA,901.5,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
298515,INGENIERÍA INDUSTRIAL,924.875,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
249393,INGENIERÍA INDUSTRIAL,984.25,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
249392,INGENIERÍA INDUSTRIAL,944.875,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
231278,INGENIERÍA INDUSTRIAL,940.625,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
233499,INGENIERÍA INDUSTRIAL,933.875,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
