id,carrera,puntaje,vacante,observacion,segunda_opcion
271172,INGENIERÍA TEXTIL Y CONFECCIONES,605.75,,,
308372,INGENIERÍA TEXTIL Y CONFECCIONES,441.25,,,
223182,INGENIERÍA TEXTIL Y CONFECCIONES,584.625,,,
234999,INGENIERÍA TEXTIL Y CONFECCIONES,574.75,,,
272680,INGENIERÍA TEXTIL Y CONFECCIONES,514.75,,,
234814,INGENIERÍA TEXTIL Y CONFECCIONES,792.75,,,
237961,INGENIERÍA TEXTIL Y CONFECCIONES,880.375,,,
255743,INGENIERÍA TEXTIL Y CONFECCIONES,,,AUSENTE,
230763,INGENIERÍA TEXTIL Y CONFECCIONES,637.5,,,
298953,INGENIERÍA TEXTIL Y CONFECCIONES,1057.25,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
224641,INGENIERÍA TEXTIL Y CONFECCIONES,298.375,,,
246777,INGENIERÍA TEXTIL Y CONFECCIONES,537.25,,,
255018,INGENIERÍA TEXTIL Y CONFECCIONES,635.875,,,
230513,INGENIERÍA TEXTIL Y CONFECCIONES,732.5,,,
227792,INGENIERÍA TEXTIL Y CONFECCIONES,693.625,,,
268008,INGENIERÍA TEXTIL Y CONFECCIONES,414.75,,,
293266,INGENIERÍA TEXTIL Y CONFECCIONES,669.125,,,
269099,INGENIERÍA TEXTIL Y CONFECCIONES,444.875,,,
246802,INGENIERÍA TEXTIL Y CONFECCIONES,862.875,,,
257024,INGENIERÍA TEXTIL Y CONFECCIONES,304.875,,,
274973,INGENIERÍA CIVIL,901.5,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
228199,INGENIERÍA CIVIL,1117.25,2.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
285027,INGENIERÍA CIVIL,1007.125,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
232340,INGENIERÍA DE SISTEMAS,1033.875,7.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
271394,INGENIERÍA DE SISTEMAS,1050.5,4.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
257750,INGENIERÍA DE SISTEMAS,1028.25,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
269359,INGENIERÍA DE SISTEMAS,1049.375,6.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
286704,INGENIERÍA DE SOFTWARE,993.875,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
244582,INGENIERÍA ELECTRÓNICA,964.875,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
241456,INGENIERÍA INDUSTRIAL,1030.5,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
263052,INGENIERÍA INDUSTRIAL,1050.5,5.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
283484,INGENIERÍA INDUSTRIAL,922.625,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
284411,INGENIERÍA INDUSTRIAL,1070.5,3.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
240775,INGENIERÍA INDUSTRIAL,1016.125,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA TEXTIL Y CONFECCIONES
