id,carrera,puntaje,vacante,observacion,segunda_opcion
753838,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",,,AUSENTE,
717268,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",924.0,,,
695548,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",416.75,,,
746590,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",709.375,,,
817679,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1045.375,,,
793695,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",889.375,,,
796455,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",603.75,,,
723721,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",881.5,,,
745107,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",777.25,,,
815333,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",732.5,,,
755378,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",870.75,,,
782771,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",669.125,,,
724532,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",563.5,,,
762879,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1070.75,29.0,ALCANZO VACANTE PRIMERA OPCIÓN,
787094,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",840.625,,,
799663,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",774.75,,,
767203,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",292.5,,,
744453,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",662.625,,,
737552,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",964.875,,,
696554,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",881.5,,,
745814,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",578.125,,,
758724,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",772.75,,,
769964,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",827.125,,,
721944,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",626.875,,,
796287,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",946.0,,,
737899,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",508.0,,,
808429,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1028.25,,,
764178,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",543.5,,,
751674,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",557.25,,,
720614,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",858.375,,,
750901,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",966.0,,,
713382,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",715.0,,,
701802,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",426.25,,,
754129,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",711.375,,,
794957,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",740.375,,,
746518,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",391.375,,,
730350,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",561.75,,,
701117,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",962.875,,,
798865,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",352.5,,,
735940,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1119.5,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
749657,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",651.375,,,
712209,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",584.625,,,
777437,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1074.125,28.0,ALCANZO VACANTE PRIMERA OPCIÓN,
744137,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1304.0,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
702818,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",817.0,,,
781626,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",648.25,,,
833652,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",524.875,,,
830826,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",856.125,,,
745239,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1230.75,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
711083,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",862.625,,,
718975,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1181.75,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
705021,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",753.625,,,
839834,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1028.75,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
