id,carrera,puntaje,vacante,observacion,segunda_opcion
732654,LINGUÍSTICA,690.25,,,
762396,LINGUÍSTICA,749.625,,,
833382,LINGUÍSTICA,798.125,,,
772616,LINGUÍSTICA,884.875,,,
702595,LINGUÍSTICA,548.25,,,
794105,LINGUÍSTICA,853.875,,,
798093,LINGUÍSTICA,1114.125,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
720266,LINGUÍSTICA,1159.5,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
805209,LINGUÍSTICA,1204.0,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
814116,LINGUÍSTICA,775.875,,,
812951,LINGUÍSTICA,799.25,,,
794407,LINGUÍSTICA,456.125,,,
737581,LINGUÍSTICA,726.0,,,
704115,LINGUÍSTICA,436.75,,,
715384,LINGUÍSTICA,1109.625,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
838297,LINGUÍSTICA,1112.75,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
774682,LINGUÍSTICA,1042.875,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
802000,LINGUÍSTICA,852.75,,,
743325,LINGUÍSTICA,1009.375,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
754599,LINGUÍSTICA,829.375,,,
743644,LINGUÍSTICA,1037.5,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
743357,LINGUÍSTICA,500.125,,,
782604,CIENCIA POLÍTICA,987.125,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
817837,COMUNICACIÓN SOCIAL,986.0,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
716882,DERECHO - LIMA,1110.75,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
811399,DERECHO - LIMA,1004.0,15.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
746140,DERECHO - LIMA,998.375,17.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
822837,DERECHO - LIMA,1112.75,9.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
782425,DERECHO - LIMA,990.5,18.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
739245,DERECHO - LIMA,966.0,23.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
838370,DERECHO - LIMA,1091.625,11.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
784792,DERECHO - LIMA,966.0,22.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
839834,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1028.75,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
804262,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",987.375,19.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
720752,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",999.5,16.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
762596,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1028.25,14.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
760669,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN",1028.25,13.0,ALCANZO VACANTE SEGUNDA OPCIÓN,LINGUÍSTICA
