id,carrera,puntaje,vacante,observacion,segunda_opcion
777153,LITERATURA,1284.25,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
784688,LITERATURA,902.625,,,
714683,LITERATURA,1082.875,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
822729,LITERATURA,928.25,,,
731269,LITERATURA,943.75,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
798757,LITERATURA,926.5,,,
813799,LITERATURA,563.5,,,
708971,LITERATURA,270.25,,,
758998,LITERATURA,753.0,,,
771681,LITERATURA,,,AUSENTE,
824207,LITERATURA,734.75,,,
794192,LITERATURA,374.125,,,
836273,LITERATURA,669.125,,,
794284,LITERATURA,951.625,20.0,ALCANZO VACANTE PRIMERA OPCIÓN,
784350,LITERATURA,711.375,,,
825912,LITERATURA,714.75,,,
777571,LITERATURA,637.25,,,
760609,LITERATURA,797.0,,,
818690,LITERATURA,727.125,,,
772449,LITERATURA,479.0,,,
767462,LITERATURA,712.5,,,
837886,LITERATURA,735.875,,,
840229,LITERATURA,443.75,,,
805494,LITERATURA,949.375,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
781445,LITERATURA,437.25,,,
808932,LITERATURA,901.5,,,
823120,LITERATURA,593.875,,,
836248,LITERATURA,626.875,,,
745359,LITERATURA,902.625,,,
704948,LITERATURA,608.0,,,
727744,LITERATURA,861.5,,,
811114,LITERATURA,966.0,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
832794,LITERATURA,548.25,,,
793697,LITERATURA,,,AUSENTE,
793950,LITERATURA,1028.25,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
701530,LITERATURA,964.875,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
741664,LITERATURA,986.0,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
718767,LITERATURA,896.125,,,
771996,LITERATURA,704.0,,,
701230,LITERATURA,372.5,,,
750178,LITERATURA,1128.5,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
823860,LITERATURA,1058.375,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
704388,LITERATURA,566.0,,,
733154,LITERATURA,901.5,,,
773594,LITERATURA,1080.625,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
811250,LITERATURA,859.25,,,
790868,LITERATURA,879.5,,,
815501,LITERATURA,904.0,,,
750349,LITERATURA,563.5,,,
744318,LITERATURA,795.875,,,
758132,LITERATURA,395.625,,,
826301,LITERATURA,1155.0,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
745671,LITERATURA,941.75,,,
722922,LITERATURA,874.125,,,
757753,LITERATURA,795.875,,,
711396,LITERATURA,829.375,,,
750737,LITERATURA,900.625,,,
743749,LITERATURA,505.75,,,
813997,LITERATURA,521.25,,,
726197,LITERATURA,485.75,,,
813482,LITERATURA,1149.875,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
726131,LITERATURA,764.0,,,
740468,LITERATURA,1009.375,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
767554,LITERATURA,838.125,,,
838254,LITERATURA,876.375,,,
695789,LITERATURA,986.0,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
817490,LITERATURA,909.375,,,
842791,LITERATURA,1304.0,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
771909,LITERATURA,441.75,,,
714501,LITERATURA,1005.125,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
730068,LITERATURA,733.625,,,
783045,LITERATURA,662.625,,,
825416,LITERATURA,689.375,,,
833535,LITERATURA,672.5,,,
790337,LITERATURA,1260.625,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
821949,LITERATURA,948.25,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
795898,LITERATURA,689.625,,,
804049,LITERATURA,1049.375,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
790106,LITERATURA,993.875,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
797841,LITERATURA,804.0,,,
724595,LITERATURA,964.875,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
727355,LITERATURA,671.375,,,
696190,LITERATURA,732.5,,,
