id,carrera,puntaje,vacante,observacion,segunda_opcion
556001,MARKETING,547.375,,,
573551,MARKETING,787.375,,,
553967,MARKETING,809.375,,,
579373,MARKETING,711.375,,,
577827,MARKETING,757.0,,,
578345,MARKETING,415.625,,,
569547,MARKETING,513.875,,,
558780,MARKETING,901.5,,,
573276,MARKETING,964.875,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
558900,MARKETING,565.75,,,
579632,MARKETING,572.5,,,
580545,MARKETING,998.375,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
558790,MARKETING,964.875,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
559531,MARKETING,859.25,,,
569485,MARKETING,998.625,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
562036,MARKETING,830.5,,,
552507,MARKETING,441.25,,,
580863,MARKETING,651.375,,,
576461,MARKETING,687.375,,,
578197,MARKETING,922.625,,,
570763,MARKETING,638.375,,,
563999,MARKETING,923.75,,,
557607,MARKETING,899.5,,,
559714,MARKETING,500.125,,,
574245,MARKETING,1000.625,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
558083,MARKETING,423.75,,,
562522,MARKETING,711.375,,,
587750,MARKETING,795.875,,,
564903,MARKETING,713.625,,,
554849,MARKETING,946.0,62.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ADMINISTRACIÓN DE TURISMO - LIMA
575623,MARKETING,771.625,,,
593008,MARKETING,330.25,,,
556571,MARKETING,1014.125,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
550298,MARKETING,500.125,,,
583209,MARKETING,707.125,,,
567311,MARKETING,614.75,,,
588623,MARKETING,514.75,,,
580689,MARKETING,335.0,,,
578361,MARKETING,712.5,,,
583922,MARKETING,563.5,,,
574363,MARKETING,695.25,,,
583418,MARKETING,602.875,,,
577624,MARKETING,395.625,,,
551733,MARKETING,751.625,,,
564116,MARKETING,669.125,,,
551553,MARKETING,459.25,,,
568439,MARKETING,1028.25,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
579412,MARKETING,757.0,,,
571412,MARKETING,600.375,,,
563542,MARKETING,540.625,,,
575691,MARKETING,1062.875,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
577137,MARKETING,547.375,,,
577521,MARKETING,637.0,,,
570873,MARKETING,442.875,,,
578344,MARKETING,549.375,,,
579581,MARKETING,612.5,,,
574143,MARKETING,506.875,,,
550403,MARKETING,405.75,,,
577862,MARKETING,904.0,,,
573200,MARKETING,985.125,20.0,ALCANZO VACANTE PRIMERA OPCIÓN,
572243,MARKETING,647.125,,,
563731,MARKETING,811.875,,,
578715,MARKETING,648.0,,,
566613,MARKETING,1031.625,11.0,ALCANZO VACANTE PRIMERA OPCIÓN,
553539,MARKETING,770.5,,,
550825,MARKETING,933.0,,,
575041,MARKETING,581.75,,,
565726,MARKETING,664.875,,,
575889,MARKETING,670.25,,,
584089,MARKETING,734.75,,,
579372,MARKETING,1065.125,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
552419,MARKETING,1110.75,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
554305,MARKETING,801.5,,,
593595,MARKETING,880.375,,,
594145,MARKETING,325.125,,,
566699,MARKETING,795.875,,,
560195,MARKETING,691.375,,,
553477,MARKETING,673.625,,,
575432,MARKETING,1085.125,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
590191,MARKETING,608.0,,,
554199,MARKETING,775.25,,,
573495,MARKETING,648.0,,,
587495,MARKETING,310.0,,,
571863,MARKETING,998.375,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
552405,MARKETING,479.5,,,
593878,MARKETING,774.75,,,
551755,MARKETING,551.375,,,
556215,MARKETING,522.625,,,
593116,MARKETING,1073.875,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
562803,MARKETING,725.125,,,
561697,MARKETING,381.25,,,
581775,MARKETING,648.0,,,
572397,MARKETING,779.25,,,
569571,MARKETING,610.5,,,
587662,MARKETING,696.375,,,
561281,MARKETING,843.75,,,
559177,MARKETING,438.375,,,
586760,MARKETING,564.625,,,
587187,MARKETING,575.875,,,
567946,MARKETING,801.5,,,
582653,MARKETING,970.5,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
592068,MARKETING,531.375,,,
562328,MARKETING,308.5,,,
566581,MARKETING,838.125,,,
578438,MARKETING,1142.875,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
557723,MARKETING,715.875,,,
573923,MARKETING,891.625,,,
577235,MARKETING,642.625,,,
