id,carrera,puntaje,vacante,observacion,segunda_opcion
118092,MEDICINA VETERINARIA,758.375,,,
163657,MEDICINA VETERINARIA,522.375,,,
174789,MEDICINA VETERINARIA,721.75,,,
150437,MEDICINA VETERINARIA,457.875,,,
139572,MEDICINA VETERINARIA,658.125,,,
161136,MEDICINA VETERINARIA,565.75,,,
163586,MEDICINA VETERINARIA,817.0,,,
130934,MEDICINA VETERINARIA,880.375,,,
101904,MEDICINA VETERINARIA,421.5,,,
141018,MEDICINA VETERINARIA,1077.25,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
109346,MEDICINA VETERINARIA,562.625,,,
131135,MEDICINA VETERINARIA,702.875,,,
170206,MEDICINA VETERINARIA,816.375,,,
115391,MEDICINA VETERINARIA,587.375,,,
172477,MEDICINA VETERINARIA,901.5,,,
198480,MEDICINA VETERINARIA,549.875,,,
170698,MEDICINA VETERINARIA,523.5,,,
111929,MEDICINA VETERINARIA,166.625,,,
125326,MEDICINA VETERINARIA,443.5,,,
122115,MEDICINA VETERINARIA,584.625,,,
151622,MEDICINA VETERINARIA,785.125,,,
131029,MEDICINA VETERINARIA,521.25,,,
171312,MEDICINA VETERINARIA,690.25,,,
161961,MEDICINA VETERINARIA,,,AUSENTE,
164418,MEDICINA VETERINARIA,901.5,,,
177048,MEDICINA VETERINARIA,418.125,,,
183164,MEDICINA VETERINARIA,522.375,,,
162511,MEDICINA VETERINARIA,674.75,,,
162785,MEDICINA VETERINARIA,573.875,,,
161478,MEDICINA VETERINARIA,375.0,,,
173169,MEDICINA VETERINARIA,515.875,,,
193225,MEDICINA VETERINARIA,847.125,,,
120268,MEDICINA VETERINARIA,,,AUSENTE,
167717,MEDICINA VETERINARIA,637.0,,,
196221,MEDICINA VETERINARIA,479.0,,,
177981,MEDICINA VETERINARIA,718.375,,,
198545,MEDICINA VETERINARIA,626.0,,,
150997,MEDICINA VETERINARIA,475.875,,,
170193,MEDICINA VETERINARIA,779.5,,,
