id,carrera,puntaje,vacante,observacion,segunda_opcion
169393,NUTRICION - LIMA,881.75,,,
172907,NUTRICION - LIMA,500.125,,,
106090,NUTRICION - LIMA,522.375,,,
164229,NUTRICION - LIMA,331.125,,,
123447,NUTRICION - LIMA,763.75,,,
175708,NUTRICION - LIMA,671.375,,,
175409,NUTRICION - LIMA,903.75,22.0,ALCANZO VACANTE PRIMERA OPCIÓN,
106341,NUTRICION - LIMA,880.375,,,
150389,NUTRICION - LIMA,563.5,,,
146408,NUTRICION - LIMA,521.25,,,
185018,NUTRICION - LIMA,780.375,,,
146035,NUTRICION - LIMA,394.5,,,
148433,NUTRICION - LIMA,817.0,,,
151233,NUTRICION - LIMA,638.375,,,
170741,NUTRICION - LIMA,430.25,,,
170023,NUTRICION - LIMA,711.375,,,
181911,NUTRICION - LIMA,446.25,,,
195134,NUTRICION - LIMA,420.875,,,
141989,NUTRICION - LIMA,457.875,,,
146952,NUTRICION - LIMA,838.125,,,
180612,NUTRICION - LIMA,899.5,,,
171073,NUTRICION - LIMA,867.625,,,
127447,NUTRICION - LIMA,904.875,21.0,ALCANZO VACANTE PRIMERA OPCIÓN,
140667,NUTRICION - LIMA,563.5,,,
174407,NUTRICION - LIMA,839.25,,,
177824,NUTRICION - LIMA,436.75,,,
142043,NUTRICION - LIMA,1126.25,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
150591,NUTRICION - LIMA,859.5,,,
121193,NUTRICION - LIMA,691.375,,,
123812,NUTRICION - LIMA,428.0,,,
129430,NUTRICION - LIMA,943.75,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
179843,NUTRICION - LIMA,670.25,,,
170608,NUTRICION - LIMA,990.5,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
104665,NUTRICION - LIMA,523.5,,,
117376,NUTRICION - LIMA,711.375,,,
109077,NUTRICION - LIMA,735.875,,,
167162,NUTRICION - LIMA,422.875,,,
193294,NUTRICION - LIMA,670.25,,,
170913,NUTRICION - LIMA,762.875,,,
131962,NUTRICION - LIMA,797.0,,,
146776,NUTRICION - LIMA,477.0,,,
192450,NUTRICION - LIMA,358.625,,,
156759,NUTRICION - LIMA,502.625,,,
137312,NUTRICION - LIMA,649.125,,,
158833,NUTRICION - LIMA,535.875,,,
128589,NUTRICION - LIMA,957.5,14.0,ALCANZO VACANTE PRIMERA OPCIÓN,
153178,NUTRICION - LIMA,510.75,,,
110353,NUTRICION - LIMA,364.625,,,
179124,NUTRICION - LIMA,489.375,,,
150755,NUTRICION - LIMA,508.0,,,
141336,NUTRICION - LIMA,383.75,,,
171869,NUTRICION - LIMA,753.625,,,
142191,NUTRICION - LIMA,608.0,,,
164656,NUTRICION - LIMA,923.75,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
129338,NUTRICION - LIMA,521.25,,,
191662,NUTRICION - LIMA,353.875,,,
162435,NUTRICION - LIMA,1012.75,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
111134,NUTRICION - LIMA,798.125,,,
173281,NUTRICION - LIMA,697.25,,,
199247,NUTRICION - LIMA,510.25,,,
146744,NUTRICION - LIMA,255.0,,,
167940,NUTRICION - LIMA,395.625,,,
102012,NUTRICION - LIMA,950.5,15.0,ALCANZO VACANTE PRIMERA OPCIÓN,
152699,NUTRICION - LIMA,862.625,,,
152721,NUTRICION - LIMA,991.625,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
138915,NUTRICION - LIMA,545.75,,,
136892,NUTRICION - LIMA,735.875,,,
106702,NUTRICION - LIMA,471.625,,,
165233,NUTRICION - LIMA,573.0,,,
160462,NUTRICION - LIMA,659.5,,,
101576,NUTRICION - LIMA,543.5,,,
186686,NUTRICION - LIMA,585.75,,,
155667,NUTRICION - LIMA,667.125,,,
154787,NUTRICION - LIMA,564.625,,,
120399,NUTRICION - LIMA,1050.5,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
179961,NUTRICION - LIMA,859.25,,,
195138,NUTRICION - LIMA,476.125,,,
118167,NUTRICION - LIMA,499.5,,,
106094,NUTRICION - LIMA,626.875,,,
130793,NUTRICION - LIMA,886.0,,,
131712,NUTRICION - LIMA,880.375,,,
137201,NUTRICION - LIMA,684.25,,,
180058,NUTRICION - LIMA,901.5,24.0,ALCANZO VACANTE PRIMERA OPCIÓN,
166441,NUTRICION - LIMA,693.0,,,
139869,NUTRICION - LIMA,626.875,,,
158764,NUTRICION - LIMA,753.625,,,
116928,NUTRICION - LIMA,479.0,,,
198223,NUTRICION - LIMA,605.75,,,
126142,NUTRICION - LIMA,841.5,,,
195622,NUTRICION - LIMA,,,AUSENTE,
189096,NUTRICION - LIMA,922.625,20.0,ALCANZO VACANTE PRIMERA OPCIÓN,
101180,NUTRICION - LIMA,859.25,,,
102534,NUTRICION - LIMA,510.25,,,
124256,NUTRICION - LIMA,543.75,,,
128498,NUTRICION - LIMA,460.125,,,
181498,NUTRICION - LIMA,779.5,,,
150016,NUTRICION - LIMA,901.5,23.0,ALCANZO VACANTE PRIMERA OPCIÓN,
178193,NUTRICION - LIMA,1028.25,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
100097,NUTRICION - LIMA,573.625,,,
193617,NUTRICION - LIMA,827.125,,,
190075,NUTRICION - LIMA,670.25,,,
163281,NUTRICION - LIMA,690.25,,,
137800,NUTRICION - LIMA,599.5,,,
196828,NUTRICION - LIMA,617.0,,,
152489,NUTRICION - LIMA,859.25,,,
198386,NUTRICION - LIMA,700.625,,,
131911,NUTRICION - LIMA,584.625,,,
159715,NUTRICION - LIMA,522.375,,,
134119,NUTRICION - LIMA,606.875,,,
124842,NUTRICION - LIMA,629.125,,,
195342,NUTRICION - LIMA,986.0,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
176896,NUTRICION - LIMA,542.375,,,
128757,NUTRICION - LIMA,585.75,,,
170166,NUTRICION - LIMA,754.75,,,
112601,NUTRICION - LIMA,732.5,,,
170611,NUTRICION - LIMA,839.25,,,
187782,NUTRICION - LIMA,740.375,,,
179149,NUTRICION - LIMA,758.125,,,
100475,NUTRICION - LIMA,857.5,,,
183593,NUTRICION - LIMA,373.375,,,
150589,NUTRICION - LIMA,923.75,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
134018,NUTRICION - LIMA,1033.875,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
186014,NUTRICION - LIMA,788.25,,,
124265,NUTRICION - LIMA,1218.375,1.0,ALCANZO VACANTE PRIMERA OPCIÓN,
112993,NUTRICION - LIMA,401.75,,,
189151,NUTRICION - LIMA,360.125,,,
182884,NUTRICION - LIMA,650.25,,,
175981,NUTRICION - LIMA,739.5,,,
161651,NUTRICION - LIMA,738.125,,,
118142,NUTRICION - LIMA,701.75,,,
181656,NUTRICION - LIMA,739.25,,,
193850,NUTRICION - LIMA,629.125,,,
136576,NUTRICION - LIMA,734.75,,,
145151,NUTRICION - LIMA,775.875,,,
167559,NUTRICION - LIMA,503.5,,,
199974,NUTRICION - LIMA,591.625,,,
132980,NUTRICION - LIMA,479.0,,,
168291,NUTRICION - LIMA,480.125,,,
143972,NUTRICION - LIMA,605.75,,,
157001,NUTRICION - LIMA,780.875,,,
186041,NUTRICION - LIMA,943.75,16.0,ALCANZO VACANTE PRIMERA OPCIÓN,
152302,NUTRICION - LIMA,352.25,,,
156959,NUTRICION - LIMA,690.25,,,
174910,NUTRICION - LIMA,227.75,,,
148343,NUTRICION - LIMA,817.0,,,
143945,NUTRICION - LIMA,544.625,,,
178668,NUTRICION - LIMA,531.875,,,
