id,carrera,puntaje,vacante,observacion,segunda_opcion
147094,PSICOLOGÍA - LIMA,480.125,,,
150199,PSICOLOGÍA - LIMA,627.125,,,
151101,PSICOLOGÍA - LIMA,1007.125,,,
107557,PSICOLOGÍA - LIMA,669.125,,,
195063,PSICOLOGÍA - LIMA,712.5,,,
164629,PSICOLOGÍA - LIMA,797.0,,,
192153,PSICOLOGÍA - LIMA,625.125,,,
147462,PSICOLOGÍA - LIMA,1050.5,37.0,ALCANZO VACANTE PRIMERA OPCIÓN,
153559,PSICOLOGÍA - LIMA,800.625,,,
119219,PSICOLOGÍA - LIMA,591.625,,,
198767,PSICOLOGÍA - LIMA,823.75,,,
172845,PSICOLOGÍA - LIMA,333.875,,,
130494,PSICOLOGÍA - LIMA,588.0,,,
105912,PSICOLOGÍA - LIMA,283.75,,,
199195,PSICOLOGÍA - LIMA,746.25,,,
143170,PSICOLOGÍA - LIMA,512.5,,,
190713,PSICOLOGÍA - LIMA,518.125,,,
173735,PSICOLOGÍA - LIMA,538.125,,,
162553,PSICOLOGÍA - LIMA,201.25,,,
179691,PSICOLOGÍA - LIMA,758.125,,,
197543,PSICOLOGÍA - LIMA,733.625,,,
148543,PSICOLOGÍA - LIMA,798.125,,,
114162,PSICOLOGÍA - LIMA,605.75,,,
158111,PSICOLOGÍA - LIMA,807.375,,,
111323,PSICOLOGÍA - LIMA,373.375,,,
172081,PSICOLOGÍA - LIMA,686.0,,,
164300,PSICOLOGÍA - LIMA,373.375,,,
156343,PSICOLOGÍA - LIMA,769.625,,,
142182,PSICOLOGÍA - LIMA,369.375,,,
174094,PSICOLOGÍA - LIMA,1105.125,18.0,ALCANZO VACANTE PRIMERA OPCIÓN,
119704,PSICOLOGÍA - LIMA,778.125,,,
197217,PSICOLOGÍA - LIMA,500.125,,,
154879,PSICOLOGÍA - LIMA,408.25,,,
130006,PSICOLOGÍA - LIMA,648.0,,,
171722,PSICOLOGÍA - LIMA,749.375,,,
128475,PSICOLOGÍA - LIMA,593.0,,,
198486,PSICOLOGÍA - LIMA,,,AUSENTE,
183685,PSICOLOGÍA - LIMA,415.625,,,
121594,PSICOLOGÍA - LIMA,711.375,,,
105793,PSICOLOGÍA - LIMA,1059.5,29.0,ALCANZO VACANTE PRIMERA OPCIÓN,
175561,PSICOLOGÍA - LIMA,713.875,,,
155018,PSICOLOGÍA - LIMA,601.5,,,
192097,PSICOLOGÍA - LIMA,712.5,,,
128153,PSICOLOGÍA - LIMA,487.375,,,
195029,PSICOLOGÍA - LIMA,626.875,,,
162460,PSICOLOGÍA - LIMA,349.375,,,
182774,PSICOLOGÍA - LIMA,433.875,,,
197829,PSICOLOGÍA - LIMA,618.625,,,
188736,PSICOLOGÍA - LIMA,726.0,,,
154296,PSICOLOGÍA - LIMA,439.5,,,
172913,PSICOLOGÍA - LIMA,1028.25,46.0,ALCANZO VACANTE PRIMERA OPCIÓN,
159030,PSICOLOGÍA - LIMA,636.125,,,
143386,PSICOLOGÍA - LIMA,245.125,,,
176654,PSICOLOGÍA - LIMA,410.25,,,
162747,PSICOLOGÍA - LIMA,119.5,,,
151852,PSICOLOGÍA - LIMA,1012.75,,,
167936,PSICOLOGÍA - LIMA,690.25,,,
160866,PSICOLOGÍA - LIMA,822.625,,,
191462,PSICOLOGÍA - LIMA,370.25,,,
195920,PSICOLOGÍA - LIMA,466.25,,,
188400,PSICOLOGÍA - LIMA,497.5,,,
124189,PSICOLOGÍA - LIMA,557.25,,,
177286,PSICOLOGÍA - LIMA,970.75,,,
100256,PSICOLOGÍA - LIMA,774.75,,,
125210,PSICOLOGÍA - LIMA,440.625,,,
140828,PSICOLOGÍA - LIMA,277.25,,,
138786,PSICOLOGÍA - LIMA,564.625,,,
144338,PSICOLOGÍA - LIMA,509.125,,,
127519,PSICOLOGÍA - LIMA,861.5,,,
142831,PSICOLOGÍA - LIMA,943.75,,,
141309,PSICOLOGÍA - LIMA,755.875,,,
148685,PSICOLOGÍA - LIMA,719.5,,,
121536,PSICOLOGÍA - LIMA,932.75,,,
112347,PSICOLOGÍA - LIMA,605.75,,,
196966,PSICOLOGÍA - LIMA,629.375,,,
175700,PSICOLOGÍA - LIMA,946.0,,,
138080,PSICOLOGÍA - LIMA,944.875,,,
120730,PSICOLOGÍA - LIMA,922.625,,,
160043,PSICOLOGÍA - LIMA,523.75,,,
144248,PSICOLOGÍA - LIMA,501.25,,,
172498,PSICOLOGÍA - LIMA,353.875,,,
163768,PSICOLOGÍA - LIMA,373.375,,,
177614,PSICOLOGÍA - LIMA,741.75,,,
143016,PSICOLOGÍA - LIMA,1176.125,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
116648,PSICOLOGÍA - LIMA,688.25,,,
151599,PSICOLOGÍA - LIMA,443.5,,,
199311,PSICOLOGÍA - LIMA,630.25,,,
114792,PSICOLOGÍA - LIMA,565.75,,,
135201,PSICOLOGÍA - LIMA,871.625,,,
178686,PSICOLOGÍA - LIMA,669.625,,,
110642,PSICOLOGÍA - LIMA,649.125,,,
164509,PSICOLOGÍA - LIMA,760.875,,,
151267,PSICOLOGÍA - LIMA,373.875,,,
142361,PSICOLOGÍA - LIMA,1077.25,24.0,ALCANZO VACANTE PRIMERA OPCIÓN,
191661,PSICOLOGÍA - LIMA,724.875,,,
124374,PSICOLOGÍA - LIMA,584.625,,,
119683,PSICOLOGÍA - LIMA,578.125,,,
193499,PSICOLOGÍA - LIMA,859.25,,,
166683,PSICOLOGÍA - LIMA,587.375,,,
189066,PSICOLOGÍA - LIMA,284.875,,,
126843,PSICOLOGÍA - LIMA,537.0,,,
146197,PSICOLOGÍA - LIMA,568.0,,,
102512,PSICOLOGÍA - LIMA,750.5,,,
157117,PSICOLOGÍA - LIMA,880.375,,,
109635,PSICOLOGÍA - LIMA,615.875,,,
120333,PSICOLOGÍA - LIMA,723.75,,,
166134,PSICOLOGÍA - LIMA,542.375,,,
149130,PSICOLOGÍA - LIMA,571.375,,,
147906,PSICOLOGÍA - LIMA,787.625,,,
115352,PSICOLOGÍA - LIMA,746.25,,,
153203,PSICOLOGÍA - LIMA,397.25,,,
146271,PSICOLOGÍA - LIMA,663.75,,,
130849,PSICOLOGÍA - LIMA,871.625,,,
193976,PSICOLOGÍA - LIMA,630.25,,,
182429,PSICOLOGÍA - LIMA,860.375,,,
106852,PSICOLOGÍA - LIMA,626.875,,,
119446,PSICOLOGÍA - LIMA,754.75,,,
158414,PSICOLOGÍA - LIMA,428.5,,,
135871,PSICOLOGÍA - LIMA,597.25,,,
177052,PSICOLOGÍA - LIMA,838.125,,,
161856,PSICOLOGÍA - LIMA,626.875,,,
130917,PSICOLOGÍA - LIMA,795.875,,,
184550,PSICOLOGÍA - LIMA,692.5,,,
168187,PSICOLOGÍA - LIMA,548.5,,,
107959,PSICOLOGÍA - LIMA,688.25,,,
192191,PSICOLOGÍA - LIMA,795.875,,,
115374,PSICOLOGÍA - LIMA,1133.875,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
148404,PSICOLOGÍA - LIMA,557.0,,,
182127,PSICOLOGÍA - LIMA,626.875,,,
122015,PSICOLOGÍA - LIMA,760.625,,,
137565,PSICOLOGÍA - LIMA,662.875,,,
163839,PSICOLOGÍA - LIMA,490.75,,,
193949,PSICOLOGÍA - LIMA,751.625,,,
199952,PSICOLOGÍA - LIMA,404.0,,,
114557,PSICOLOGÍA - LIMA,465.75,,,
138855,PSICOLOGÍA - LIMA,562.625,,,
180351,PSICOLOGÍA - LIMA,518.375,,,
120168,PSICOLOGÍA - LIMA,565.75,,,
137014,PSICOLOGÍA - LIMA,480.125,,,
168144,PSICOLOGÍA - LIMA,795.875,,,
124422,PSICOLOGÍA - LIMA,464.25,,,
168754,PSICOLOGÍA - LIMA,906.0,,,
150246,PSICOLOGÍA - LIMA,838.125,,,
133519,PSICOLOGÍA - LIMA,717.0,,,
140043,PSICOLOGÍA - LIMA,785.125,,,
172801,PSICOLOGÍA - LIMA,655.875,,,
185035,PSICOLOGÍA - LIMA,795.875,,,
150456,PSICOLOGÍA - LIMA,295.875,,,
187551,PSICOLOGÍA - LIMA,875.0,,,
148507,PSICOLOGÍA - LIMA,648.0,,,
