id,carrera,puntaje,vacante,observacion,segunda_opcion
185434,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,417.875,,,
118026,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,795.875,,,
162762,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,672.5,,,
171212,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,1047.375,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
192719,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,901.5,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
172065,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,680.375,,,
197225,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,244.0,,,
165231,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,533.625,,,
150294,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,767.125,,,
130654,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,310.0,,,
110648,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,662.0,,,
166859,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,723.75,,,
102039,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,557.5,,,
135866,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,,,AUSENTE,
115476,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,849.375,,,
170812,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,287.625,,,
146201,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,367.125,,,
176842,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,659.25,,,
180564,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,406.0,,,
185382,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,818.375,,,
185631,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,628.0,,,
164859,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,613.0,,,
169625,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,413.625,,,
196970,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,522.375,,,
127772,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,331.125,,,
182244,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,805.125,,,
136567,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,469.125,,,
124805,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,522.375,,,
180635,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,922.625,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
175291,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,315.0,,,
159298,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,817.0,,,
174428,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,500.375,,,
198415,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,732.75,,,
154290,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,735.875,,,
162652,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,448.25,,,
179548,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,415.625,,,
138824,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,377.875,,,
