id,carrera,puntaje,vacante,observacion,segunda_opcion
586217,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,662.125,,,
550908,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,480.5,,,
567530,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,595.875,,,
559629,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,482.125,,,
588608,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,558.875,,,
580891,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,1231.375,2.0,ALCANZO VACANTE,
563381,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,660.0,,,
561512,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,1012.25,5.0,ALCANZO VACANTE,
550245,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,797.0,,,
578248,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,845.5,,,
575443,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,919.75,6.0,ALCANZO VACANTE,
561930,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,535.75,,,
594262,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,890.625,7.0,ALCANZO VACANTE,
554805,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,414.125,,,
559117,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,761.875,,,
564704,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,861.75,,,
580938,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,1092.125,3.0,ALCANZO VACANTE,
559431,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,646.25,,,
638570,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,786.125,,,
570270,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,679.375,,,
592383,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,617.125,,,
577742,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,660.375,,,
550673,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,759.875,,,
564551,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,832.75,,,
612965,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,1283.375,1.0,ALCANZO VACANTE,
562569,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,701.125,,,
584430,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,569.75,,,
592860,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,1038.875,4.0,ALCANZO VACANTE,
576253,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,713.75,,,
579891,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,814.5,,,
571808,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,881.625,8.0,ALCANZO VACANTE,
