id,carrera,puntaje,vacante,observacion,segunda_opcion
560085,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,785.75,,,
572599,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,857.25,,,
582877,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,746.125,,,
568954,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,888.625,,,
579975,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,906.625,,,
584306,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,775.875,,,
555069,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,803.25,,,
564401,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,828.375,,,
581922,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,835.25,,,
562658,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,705.0,,,
570750,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,899.375,,,
569558,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,807.75,,,
591992,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,691.5,,,
592252,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,900.625,,,
552246,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1010.5,,,
573727,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,642.375,,,
562240,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,912.25,,,
568836,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,780.625,,,
578701,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,833.5,,,
580256,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,622.0,,,
581905,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,993.0,,,
588858,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,764.25,,,
565615,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,683.375,,,
592356,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,733.0,,,
583870,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,677.5,,,
567300,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,976.125,,,
582498,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1012.625,,,
552532,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1088.75,,,
580713,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,976.75,,,
560355,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,836.875,,,
566070,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,852.75,,,
589690,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,704.5,,,
557672,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1132.125,,,
567469,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1139.0,,,
556177,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,959.125,,,
589997,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,889.5,,,
577771,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,860.0,,,
569664,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1024.25,,,
571998,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,755.125,,,
575806,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,791.375,,,
580062,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,915.75,,,
566655,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,998.5,,,
576872,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1227.5,3.0,ALCANZO VACANTE,
572888,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,649.125,,,
574903,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1261.75,1.0,ALCANZO VACANTE,
592262,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,728.5,,,
563362,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,785.0,,,
584509,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,720.5,,,
567227,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,830.125,,,
552884,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1026.5,,,
555286,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1037.75,,,
567029,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,910.625,,,
557523,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,964.5,,,
582105,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,864.25,,,
587954,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,716.5,,,
578173,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,763.625,,,
577028,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,833.875,,,
565682,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,992.0,,,
589575,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,725.5,,,
568287,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,399.625,,,
566055,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,717.5,,,
567907,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,919.125,,,
588449,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,812.25,,,
575696,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,782.875,,,
567050,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,944.5,,,
586657,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,725.625,,,
551601,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,890.5,,,
585808,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,944.875,,,
554502,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1181.0,,,
553125,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1038.5,,,
567341,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,824.0,,,
570213,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1093.25,,,
587115,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,684.5,,,
559867,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,901.5,,,
566325,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,886.625,,,
562024,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,888.125,,,
580388,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,415.125,,,
561586,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,804.25,,,
557745,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,708.5,,,
570235,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,830.125,,,
575805,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,756.0,,,
587411,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,608.75,,,
594900,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,782.0,,,
583345,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1212.625,5.0,ALCANZO VACANTE,
557351,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1136.875,,,
563320,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,802.5,,,
564746,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1185.25,7.0,ALCANZO VACANTE,
553474,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1182.375,8.0,ALCANZO VACANTE,
594232,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,956.75,,,
554719,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1170.375,,,
555462,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,789.25,,,
562363,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,800.375,,,
571447,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,1016.25,,,
567275,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,881.0,,,
594016,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,776.375,,,
560641,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,842.875,,,
567544,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,865.5,,,
553353,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,935.625,,,
557001,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,525.75,,,
