id,carrera,puntaje,vacante,observacion,segunda_opcion
784772,ARQUEOLOGÍA,981.5,,,
754301,ARQUEOLOGÍA,780.125,,,
723687,ARQUEOLOGÍA,880.125,,,
735565,ARQUEOLOGÍA,,,AUSENTE,
707401,ARQUEOLOGÍA,710.75,,,
738394,ARQUEOLOGÍA,1025.0,15.0,ALCANZO VACANTE,
842486,ARQUEOLOGÍA,1061.25,10.0,ALCANZO VACANTE,
746686,ARQUEOLOGÍA,1018.5,16.0,ALCANZO VACANTE,
715344,ARQUEOLOGÍA,718.75,,,
794580,ARQUEOLOGÍA,779.25,,,
808007,ARQUEOLOGÍA,793.375,,,
752144,ARQUEOLOGÍA,1032.5,13.0,ALCANZO VACANTE,
715911,ARQUEOLOGÍA,757.375,,,
764520,ARQUEOLOGÍA,849.5,,,
761832,ARQUEOLOGÍA,778.625,,,
796513,ARQUEOLOGÍA,897.375,,,
706942,ARQUEOLOGÍA,870.625,,,
737027,ARQUEOLOGÍA,892.625,,,
748841,ARQUEOLOGÍA,722.75,,,
763976,ARQUEOLOGÍA,926.125,,,
740245,ARQUEOLOGÍA,651.0,,,
803451,ARQUEOLOGÍA,986.375,,,
839673,ARQUEOLOGÍA,1142.25,4.0,ALCANZO VACANTE,
764744,ARQUEOLOGÍA,1004.25,17.0,ALCANZO VACANTE,
707421,ARQUEOLOGÍA,785.125,,,
695358,ARQUEOLOGÍA,1001.375,18.0,ALCANZO VACANTE,
772367,ARQUEOLOGÍA,1080.75,9.0,ALCANZO VACANTE,
704950,ARQUEOLOGÍA,722.0,,,
833105,ARQUEOLOGÍA,1112.625,7.0,ALCANZO VACANTE,
820893,ARQUEOLOGÍA,888.25,,,
772667,ARQUEOLOGÍA,663.25,,,
834805,ARQUEOLOGÍA,816.375,,,
794760,ARQUEOLOGÍA,945.875,,,
751203,ARQUEOLOGÍA,809.5,,,
711659,ARQUEOLOGÍA,1139.0,5.0,ALCANZO VACANTE,
739338,ARQUEOLOGÍA,1228.625,2.0,ALCANZO VACANTE,
722649,ARQUEOLOGÍA,855.25,,,
771392,ARQUEOLOGÍA,844.375,,,
803517,ARQUEOLOGÍA,,,AUSENTE,
722014,ARQUEOLOGÍA,885.75,,,
838463,ARQUEOLOGÍA,767.875,,,
713499,ARQUEOLOGÍA,695.25,,,
780644,ARQUEOLOGÍA,1025.375,14.0,ALCANZO VACANTE,
753624,ARQUEOLOGÍA,1125.125,6.0,ALCANZO VACANTE,
707768,ARQUEOLOGÍA,865.5,,,
777843,ARQUEOLOGÍA,837.875,,,
745982,ARQUEOLOGÍA,1089.875,8.0,ALCANZO VACANTE,
836129,ARQUEOLOGÍA,1038.5,12.0,ALCANZO VACANTE,
725826,ARQUEOLOGÍA,773.5,,,
785494,ARQUEOLOGÍA,1493.5,1.0,ALCANZO VACANTE,
826645,ARQUEOLOGÍA,735.5,,,
774545,ARQUEOLOGÍA,746.75,,,
712068,ARQUEOLOGÍA,1166.125,3.0,ALCANZO VACANTE,
830207,ARQUEOLOGÍA,290.125,,,
766063,ARQUEOLOGÍA,557.0,,,
794848,ARQUEOLOGÍA,724.5,,,
789783,ARQUEOLOGÍA,644.25,,,
742568,ARQUEOLOGÍA,970.0,,,
746747,ARQUEOLOGÍA,715.0,,,
841784,ARQUEOLOGÍA,843.25,,,
730451,ARQUEOLOGÍA,999.125,,,
776708,ARQUEOLOGÍA,1054.25,11.0,ALCANZO VACANTE,
738940,ARQUEOLOGÍA,847.75,,,
833338,ARQUEOLOGÍA,839.875,,,
829958,ARQUEOLOGÍA,794.125,,,
759701,ARQUEOLOGÍA,,,AUSENTE,
