id,carrera,puntaje,vacante,observacion,segunda_opcion
572887,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,914.375,,,
579165,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,745.125,,,
594835,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,819.0,,,
588498,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,755.0,,,
558717,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1005.125,31.0,ALCANZO VACANTE,
570477,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,722.625,,,
591719,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,699.375,,,
576247,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,897.375,,,
563145,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1121.75,15.0,ALCANZO VACANTE,
559167,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,952.875,,,
550787,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,691.375,,,
578962,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,674.25,,,
569556,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,962.5,,,
557353,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1388.5,1.0,ALCANZO VACANTE,
589977,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,765.375,,,
553789,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,916.25,,,
568258,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,671.875,,,
564727,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,676.125,,,
574273,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,795.125,,,
560226,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,847.875,,,
570616,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,715.375,,,
579048,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,691.375,,,
562136,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,734.75,,,
572162,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,802.5,,,
565061,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,984.25,35.0,ALCANZO VACANTE,
567868,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,822.125,,,
568113,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,917.625,,,
562368,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,618.25,,,
558829,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1206.375,6.0,ALCANZO VACANTE,
580471,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,813.0,,,
582294,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1150.375,11.0,ALCANZO VACANTE,
574659,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,812.25,,,
579231,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,742.75,,,
584603,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,744.75,,,
583697,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1184.625,8.0,ALCANZO VACANTE,
587252,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,981.25,,,
556404,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,664.5,,,
552988,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,761.125,,,
561037,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,943.125,,,
589283,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1008.25,29.0,ALCANZO VACANTE,
594544,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1153.25,10.0,ALCANZO VACANTE,
587477,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,967.625,,,
573621,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,695.25,,,
557437,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1266.875,2.0,ALCANZO VACANTE,
615874,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1021.375,25.0,ALCANZO VACANTE,
591444,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1204.0,7.0,ALCANZO VACANTE,
584692,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,676.25,,,
555487,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1067.5,19.0,ALCANZO VACANTE,
550053,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,889.5,,,
582560,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,999.125,33.0,ALCANZO VACANTE,
560038,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,721.625,,,
558499,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,976.75,,,
578890,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,798.125,,,
592484,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,944.125,,,
560507,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,748.75,,,
575761,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,919.625,,,
