id,carrera,puntaje,vacante,observacion,segunda_opcion
756912,CONSERVACIÓN Y RESTAURACIÓN,700.5,,,
747221,CONSERVACIÓN Y RESTAURACIÓN,1099.75,8.0,ALCANZO VACANTE,
725879,CONSERVACIÓN Y RESTAURACIÓN,814.5,,,
779216,CONSERVACIÓN Y RESTAURACIÓN,753.0,,,
826821,CONSERVACIÓN Y RESTAURACIÓN,613.0,,,
758261,CONSERVACIÓN Y RESTAURACIÓN,1140.625,6.0,ALCANZO VACANTE,
707870,CONSERVACIÓN Y RESTAURACIÓN,1152.625,5.0,ALCANZO VACANTE,
811924,CONSERVACIÓN Y RESTAURACIÓN,856.75,,,
761907,CONSERVACIÓN Y RESTAURACIÓN,1223.5,1.0,ALCANZO VACANTE,
804496,CONSERVACIÓN Y RESTAURACIÓN,994.75,11.0,ALCANZO VACANTE,
698878,CONSERVACIÓN Y RESTAURACIÓN,583.375,,,
793093,CONSERVACIÓN Y RESTAURACIÓN,917.75,16.0,ALCANZO VACANTE,
772410,CONSERVACIÓN Y RESTAURACIÓN,908.875,,,
829279,CONSERVACIÓN Y RESTAURACIÓN,559.875,,,
791011,CONSERVACIÓN Y RESTAURACIÓN,686.25,,,
795992,CONSERVACIÓN Y RESTAURACIÓN,,,AUSENTE,
749860,CONSERVACIÓN Y RESTAURACIÓN,957.375,14.0,ALCANZO VACANTE,
724692,CONSERVACIÓN Y RESTAURACIÓN,713.625,,,
768468,CONSERVACIÓN Y RESTAURACIÓN,717.75,,,
844526,CONSERVACIÓN Y RESTAURACIÓN,1153.625,4.0,ALCANZO VACANTE,
732596,CONSERVACIÓN Y RESTAURACIÓN,895.375,,,
754187,CONSERVACIÓN Y RESTAURACIÓN,970.0,13.0,ALCANZO VACANTE,
836341,CONSERVACIÓN Y RESTAURACIÓN,1101.875,7.0,ALCANZO VACANTE,
712063,CONSERVACIÓN Y RESTAURACIÓN,743.875,,,
696709,CONSERVACIÓN Y RESTAURACIÓN,344.375,,,
787512,CONSERVACIÓN Y RESTAURACIÓN,644.0,,,
749093,CONSERVACIÓN Y RESTAURACIÓN,909.125,,,
821763,CONSERVACIÓN Y RESTAURACIÓN,1092.75,9.0,ALCANZO VACANTE,
704134,CONSERVACIÓN Y RESTAURACIÓN,544.625,,,
735236,CONSERVACIÓN Y RESTAURACIÓN,626.5,,,
797391,CONSERVACIÓN Y RESTAURACIÓN,652.875,,,
716015,CONSERVACIÓN Y RESTAURACIÓN,667.625,,,
704050,CONSERVACIÓN Y RESTAURACIÓN,611.125,,,
816179,CONSERVACIÓN Y RESTAURACIÓN,750.125,,,
706766,CONSERVACIÓN Y RESTAURACIÓN,425.625,,,
743828,CONSERVACIÓN Y RESTAURACIÓN,149.5,,,
719251,CONSERVACIÓN Y RESTAURACIÓN,1030.5,10.0,ALCANZO VACANTE,
766445,CONSERVACIÓN Y RESTAURACIÓN,1177.125,3.0,ALCANZO VACANTE,
749261,CONSERVACIÓN Y RESTAURACIÓN,847.375,,,
815571,CONSERVACIÓN Y RESTAURACIÓN,1185.25,2.0,ALCANZO VACANTE,
775544,CONSERVACIÓN Y RESTAURACIÓN,707.125,,,
815021,CONSERVACIÓN Y RESTAURACIÓN,993.375,12.0,ALCANZO VACANTE,
772799,CONSERVACIÓN Y RESTAURACIÓN,923.375,15.0,ALCANZO VACANTE,
710493,CONSERVACIÓN Y RESTAURACIÓN,750.0,,,
