id,carrera,puntaje,vacante,observacion,segunda_opcion
575272,CONTABILIDAD - HUARAL,609.125,11,ALCANZO VACANTE,
552044,CONTABILIDAD - HUARAL,714.375,8,ALCANZO VACANTE,
580644,CONTABILIDAD - HUARAL,932.75,4,ALCANZO VACANTE,
584825,CONTABILIDAD - HUARAL,763.125,7,ALCANZO VACANTE,
550961,CONTABILIDAD - HUARAL,933.5,3,ALCANZO VACANTE,
586549,CONTABILIDAD - HUARAL,833.375,6,ALCANZO VACANTE,
581534,CONTABILIDAD - HUARAL,874.625,5,ALCANZO VACANTE,
592143,CONTABILIDAD - HUARAL,572.625,12,ALCANZO VACANTE,
551378,CONTABILIDAD - HUARAL,613.875,10,ALCANZO VACANTE,
589250,CONTABILIDAD - HUARAL,1092.625,1,ALCANZO VACANTE,
550386,CONTABILIDAD - HUARAL,680.25,9,ALCANZO VACANTE,
574106,CONTABILIDAD - HUARAL,1029.375,2,ALCANZO VACANTE,
