id,carrera,puntaje,vacante,observacion,segunda_opcion
762303,EDUCACIÓN PRIMARIA,621.125,,,
771354,EDUCACIÓN PRIMARIA,554.0,,,
794420,EDUCACIÓN PRIMARIA,866.0,,,
753606,EDUCACIÓN PRIMARIA,528.375,,,
800170,EDUCACIÓN PRIMARIA,915.75,,,
831519,EDUCACIÓN PRIMARIA,879.5,,,
772766,EDUCACIÓN PRIMARIA,992.25,,,
751345,EDUCACIÓN PRIMARIA,715.0,,,
708918,EDUCACIÓN PRIMARIA,1224.875,3.0,ALCANZO VACANTE,
728345,EDUCACIÓN PRIMARIA,956.5,,,
753043,EDUCACIÓN PRIMARIA,667.375,,,
731169,EDUCACIÓN PRIMARIA,1085.5,7.0,ALCANZO VACANTE,
755305,EDUCACIÓN PRIMARIA,699.25,,,
719257,EDUCACIÓN PRIMARIA,644.25,,,
810010,EDUCACIÓN PRIMARIA,1037.375,10.0,ALCANZO VACANTE,
751980,EDUCACIÓN PRIMARIA,678.25,,,
767415,EDUCACIÓN PRIMARIA,741.5,,,
752349,EDUCACIÓN PRIMARIA,939.375,,,
780710,EDUCACIÓN PRIMARIA,629.625,,,
717609,EDUCACIÓN PRIMARIA,793.0,,,
695209,EDUCACIÓN PRIMARIA,1294.875,2.0,ALCANZO VACANTE,
728358,EDUCACIÓN PRIMARIA,1030.625,11.0,ALCANZO VACANTE,
704790,EDUCACIÓN PRIMARIA,987.125,,,
704440,EDUCACIÓN PRIMARIA,376.0,,,
778491,EDUCACIÓN PRIMARIA,632.75,,,
722519,EDUCACIÓN PRIMARIA,781.0,,,
710683,EDUCACIÓN PRIMARIA,954.5,,,
710092,EDUCACIÓN PRIMARIA,714.0,,,
775614,EDUCACIÓN PRIMARIA,764.875,,,
747224,EDUCACIÓN PRIMARIA,807.25,,,
748654,EDUCACIÓN PRIMARIA,940.25,,,
836536,EDUCACIÓN PRIMARIA,624.0,,,
775998,EDUCACIÓN PRIMARIA,599.75,,,
803164,EDUCACIÓN PRIMARIA,961.125,,,
784844,EDUCACIÓN PRIMARIA,488.125,,,
746293,EDUCACIÓN PRIMARIA,991.625,,,
844769,EDUCACIÓN PRIMARIA,959.625,,,
742831,EDUCACIÓN PRIMARIA,750.375,,,
784652,EDUCACIÓN PRIMARIA,581.75,,,
836003,EDUCACIÓN PRIMARIA,839.25,,,
773429,EDUCACIÓN PRIMARIA,547.75,,,
749002,EDUCACIÓN PRIMARIA,956.25,,,
834118,EDUCACIÓN PRIMARIA,530.0,,,
725690,EDUCACIÓN PRIMARIA,818.875,,,
787837,EDUCACIÓN PRIMARIA,710.0,,,
727676,EDUCACIÓN PRIMARIA,1137.5,4.0,ALCANZO VACANTE,
822952,EDUCACIÓN PRIMARIA,607.25,,,
784927,EDUCACIÓN PRIMARIA,674.75,,,
722398,EDUCACIÓN PRIMARIA,1333.125,1.0,ALCANZO VACANTE,
723419,EDUCACIÓN PRIMARIA,1038.5,9.0,ALCANZO VACANTE,
733246,EDUCACIÓN PRIMARIA,568.625,,,
799933,EDUCACIÓN PRIMARIA,856.375,,,
710433,EDUCACIÓN PRIMARIA,693.0,,,
797185,EDUCACIÓN PRIMARIA,881.375,,,
828955,EDUCACIÓN PRIMARIA,954.375,,,
799444,EDUCACIÓN PRIMARIA,503.75,,,
829005,EDUCACIÓN PRIMARIA,738.0,,,
769054,EDUCACIÓN PRIMARIA,611.0,,,
743181,EDUCACIÓN PRIMARIA,917.25,,,
782949,EDUCACIÓN PRIMARIA,613.125,,,
724842,EDUCACIÓN PRIMARIA,993.375,,,
751951,EDUCACIÓN PRIMARIA,518.375,,,
770634,EDUCACIÓN PRIMARIA,962.0,,,
801070,EDUCACIÓN PRIMARIA,592.25,,,
813272,EDUCACIÓN PRIMARIA,599.125,,,
810117,EDUCACIÓN PRIMARIA,734.75,,,
789202,EDUCACIÓN PRIMARIA,455.0,,,
742645,EDUCACIÓN PRIMARIA,606.875,,,
750738,EDUCACIÓN PRIMARIA,702.625,,,
819799,EDUCACIÓN PRIMARIA,1109.875,6.0,ALCANZO VACANTE,
737657,EDUCACIÓN PRIMARIA,637.5,,,
741042,EDUCACIÓN PRIMARIA,551.5,,,
739958,EDUCACIÓN PRIMARIA,731.25,,,
743368,EDUCACIÓN PRIMARIA,649.125,,,
764143,EDUCACIÓN PRIMARIA,1059.875,8.0,ALCANZO VACANTE,
764311,EDUCACIÓN PRIMARIA,1113.875,5.0,ALCANZO VACANTE,
719120,EDUCACIÓN PRIMARIA,852.375,,,
807625,EDUCACIÓN PRIMARIA,530.625,,,
785282,EDUCACIÓN PRIMARIA,606.25,,,
828607,EDUCACIÓN PRIMARIA,692.5,,,
768854,EDUCACIÓN PRIMARIA,819.25,,,
798530,EDUCACIÓN PRIMARIA,703.875,,,
779497,EDUCACIÓN PRIMARIA,868.75,,,
709245,EDUCACIÓN PRIMARIA,760.375,,,
732971,EDUCACIÓN PRIMARIA,,,AUSENTE,
826335,EDUCACIÓN PRIMARIA,783.25,,,
757957,EDUCACIÓN PRIMARIA,857.0,,,
819665,EDUCACIÓN PRIMARIA,522.375,,,
718000,EDUCACIÓN PRIMARIA,940.875,,,
804164,EDUCACIÓN PRIMARIA,759.875,,,
841747,EDUCACIÓN PRIMARIA,500.5,,,
800848,EDUCACIÓN PRIMARIA,516.625,,,
729097,EDUCACIÓN PRIMARIA,836.25,,,
