id,carrera,puntaje,vacante,observacion,segunda_opcion
731870,EDUCACIÓN SECUNDARIA,1050.5,,,
793591,EDUCACIÓN SECUNDARIA,671.375,,,
752558,EDUCACIÓN SECUNDARIA,1122.375,34.0,ALCANZO VACANTE,
740905,EDUCACIÓN SECUNDARIA,782.25,,,
737771,EDUCACIÓN SECUNDARIA,886.0,,,
763449,EDUCACIÓN SECUNDARIA,1146.875,27.0,ALCANZO VACANTE,
702894,EDUCACIÓN SECUNDARIA,953.875,,,
794009,EDUCACIÓN SECUNDARIA,1038.5,,,
735771,EDUCACIÓN SECUNDARIA,885.375,,,
760887,EDUCACIÓN SECUNDARIA,762.75,,,
831373,EDUCACIÓN SECUNDARIA,751.75,,,
710165,EDUCACIÓN SECUNDARIA,954.0,,,
779697,EDUCACIÓN SECUNDARIA,919.625,,,
809191,EDUCACIÓN SECUNDARIA,1023.625,,,
835634,EDUCACIÓN SECUNDARIA,1142.0,30.0,ALCANZO VACANTE,
710191,EDUCACIÓN SECUNDARIA,918.875,,,
712143,EDUCACIÓN SECUNDARIA,837.5,,,
718897,EDUCACIÓN SECUNDARIA,939.375,,,
759422,EDUCACIÓN SECUNDARIA,757.125,,,
718187,EDUCACIÓN SECUNDARIA,1172.125,22.0,ALCANZO VACANTE,
751916,EDUCACIÓN SECUNDARIA,1072.75,55.0,ALCANZO VACANTE,
737801,EDUCACIÓN SECUNDARIA,837.875,,,
824530,EDUCACIÓN SECUNDARIA,880.75,,,
743034,EDUCACIÓN SECUNDARIA,1043.25,,,
744539,EDUCACIÓN SECUNDARIA,944.375,,,
798758,EDUCACIÓN SECUNDARIA,959.0,,,
722677,EDUCACIÓN SECUNDARIA,655.0,,,
769923,EDUCACIÓN SECUNDARIA,1051.25,,,
787342,EDUCACIÓN SECUNDARIA,1085.875,49.0,ALCANZO VACANTE,
840076,EDUCACIÓN SECUNDARIA,852.875,,,
766351,EDUCACIÓN SECUNDARIA,1006.5,,,
840750,EDUCACIÓN SECUNDARIA,999.125,,,
816256,EDUCACIÓN SECUNDARIA,1025.375,,,
816067,EDUCACIÓN SECUNDARIA,946.375,,,
788390,EDUCACIÓN SECUNDARIA,975.125,,,
820959,EDUCACIÓN SECUNDARIA,1068.0,59.0,ALCANZO VACANTE,
844892,EDUCACIÓN SECUNDARIA,770.75,,,
754395,EDUCACIÓN SECUNDARIA,481.25,,,
798688,EDUCACIÓN SECUNDARIA,731.25,,,
744887,EDUCACIÓN SECUNDARIA,574.75,,,
781424,EDUCACIÓN SECUNDARIA,,,AUSENTE,
717921,EDUCACIÓN SECUNDARIA,1100.75,44.0,ALCANZO VACANTE,
788636,EDUCACIÓN SECUNDARIA,667.0,,,
824739,EDUCACIÓN SECUNDARIA,646.0,,,
742015,EDUCACIÓN SECUNDARIA,602.25,,,
838301,EDUCACIÓN SECUNDARIA,790.125,,,
