id,carrera,puntaje,vacante,observacion,segunda_opcion
118605,FARMACIA Y BIOQUÍMICA,1049.75,,,
187834,FARMACIA Y BIOQUÍMICA,435.0,,,
140100,FARMACIA Y BIOQUÍMICA,1033.375,,,
162993,FARMACIA Y BIOQUÍMICA,914.625,,,
169429,FARMACIA Y BIOQUÍMICA,830.125,,,
181976,FARMACIA Y BIOQUÍMICA,741.5,,,
186615,FARMACIA Y BIOQUÍMICA,579.875,,,
176451,FARMACIA Y BIOQUÍMICA,1039.875,,,
128646,FARMACIA Y BIOQUÍMICA,880.75,,,
127020,FARMACIA Y BIOQUÍMICA,700.0,,,
139515,FARMACIA Y BIOQUÍMICA,1194.375,15.0,ALCANZO VACANTE,
168979,FARMACIA Y BIOQUÍMICA,662.75,,,
153267,FARMACIA Y BIOQUÍMICA,789.0,,,
118850,FARMACIA Y BIOQUÍMICA,968.75,,,
145150,FARMACIA Y BIOQUÍMICA,1026.5,,,
112766,FARMACIA Y BIOQUÍMICA,1101.125,,,
155556,FARMACIA Y BIOQUÍMICA,869.875,,,
141828,FARMACIA Y BIOQUÍMICA,775.75,,,
189116,FARMACIA Y BIOQUÍMICA,740.875,,,
181586,FARMACIA Y BIOQUÍMICA,538.375,,,
167323,FARMACIA Y BIOQUÍMICA,856.375,,,
192282,FARMACIA Y BIOQUÍMICA,675.875,,,
189191,FARMACIA Y BIOQUÍMICA,,,AUSENTE,
179065,FARMACIA Y BIOQUÍMICA,736.75,,,
134606,FARMACIA Y BIOQUÍMICA,907.125,,,
175364,FARMACIA Y BIOQUÍMICA,765.25,,,
155711,FARMACIA Y BIOQUÍMICA,626.25,,,
127372,FARMACIA Y BIOQUÍMICA,710.5,,,
188376,FARMACIA Y BIOQUÍMICA,735.5,,,
166746,FARMACIA Y BIOQUÍMICA,,,AUSENTE,
106419,FARMACIA Y BIOQUÍMICA,810.0,,,
167988,FARMACIA Y BIOQUÍMICA,1093.125,,,
135335,FARMACIA Y BIOQUÍMICA,558.25,,,
121568,FARMACIA Y BIOQUÍMICA,984.25,,,
150215,FARMACIA Y BIOQUÍMICA,930.0,,,
165675,FARMACIA Y BIOQUÍMICA,827.25,,,
187440,FARMACIA Y BIOQUÍMICA,949.375,,,
117325,FARMACIA Y BIOQUÍMICA,,,AUSENTE,
135963,FARMACIA Y BIOQUÍMICA,819.875,,,
193981,FARMACIA Y BIOQUÍMICA,852.625,,,
150307,FARMACIA Y BIOQUÍMICA,700.875,,,
100272,FARMACIA Y BIOQUÍMICA,816.375,,,
131652,FARMACIA Y BIOQUÍMICA,1044.625,,,
150035,FARMACIA Y BIOQUÍMICA,976.25,,,
186961,FARMACIA Y BIOQUÍMICA,762.375,,,
139419,FARMACIA Y BIOQUÍMICA,479.5,,,
120814,FARMACIA Y BIOQUÍMICA,981.875,,,
196693,FARMACIA Y BIOQUÍMICA,987.125,,,
145885,FARMACIA Y BIOQUÍMICA,814.125,,,
171625,FARMACIA Y BIOQUÍMICA,869.5,,,
172273,FARMACIA Y BIOQUÍMICA,1026.75,,,
174012,FARMACIA Y BIOQUÍMICA,660.5,,,
164580,FARMACIA Y BIOQUÍMICA,1096.0,,,
174020,FARMACIA Y BIOQUÍMICA,745.875,,,
198892,FARMACIA Y BIOQUÍMICA,618.375,,,
129829,FARMACIA Y BIOQUÍMICA,662.75,,,
142698,FARMACIA Y BIOQUÍMICA,811.25,,,
133237,FARMACIA Y BIOQUÍMICA,1117.875,,,
168960,FARMACIA Y BIOQUÍMICA,644.5,,,
185289,FARMACIA Y BIOQUÍMICA,1072.125,,,
154199,FARMACIA Y BIOQUÍMICA,917.375,,,
134610,FARMACIA Y BIOQUÍMICA,844.375,,,
179625,FARMACIA Y BIOQUÍMICA,771.875,,,
137629,FARMACIA Y BIOQUÍMICA,968.5,,,
170806,FARMACIA Y BIOQUÍMICA,915.75,,,
136229,FARMACIA Y BIOQUÍMICA,673.0,,,
166296,FARMACIA Y BIOQUÍMICA,726.75,,,
155593,FARMACIA Y BIOQUÍMICA,628.0,,,
123814,FARMACIA Y BIOQUÍMICA,739.125,,,
121185,FARMACIA Y BIOQUÍMICA,927.75,,,
168708,FARMACIA Y BIOQUÍMICA,1017.875,,,
148484,FARMACIA Y BIOQUÍMICA,1072.75,,,
161877,FARMACIA Y BIOQUÍMICA,852.75,,,
141427,FARMACIA Y BIOQUÍMICA,742.625,,,
194541,FARMACIA Y BIOQUÍMICA,577.75,,,
130631,FARMACIA Y BIOQUÍMICA,1113.875,,,
114193,FARMACIA Y BIOQUÍMICA,1062.25,,,
146640,FARMACIA Y BIOQUÍMICA,928.875,,,
174233,FARMACIA Y BIOQUÍMICA,978.375,,,
113348,FARMACIA Y BIOQUÍMICA,984.75,,,
195720,FARMACIA Y BIOQUÍMICA,860.375,,,
151620,FARMACIA Y BIOQUÍMICA,661.75,,,
187824,FARMACIA Y BIOQUÍMICA,1223.5,10.0,ALCANZO VACANTE,
185112,FARMACIA Y BIOQUÍMICA,616.0,,,
171468,FARMACIA Y BIOQUÍMICA,693.5,,,
132144,FARMACIA Y BIOQUÍMICA,583.5,,,
118373,FARMACIA Y BIOQUÍMICA,866.625,,,
116583,FARMACIA Y BIOQUÍMICA,881.5,,,
104527,FARMACIA Y BIOQUÍMICA,881.5,,,
177720,FARMACIA Y BIOQUÍMICA,976.25,,,
173690,FARMACIA Y BIOQUÍMICA,717.625,,,
149488,FARMACIA Y BIOQUÍMICA,968.0,,,
191631,FARMACIA Y BIOQUÍMICA,732.875,,,
128206,FARMACIA Y BIOQUÍMICA,696.375,,,
161987,FARMACIA Y BIOQUÍMICA,829.375,,,
174603,FARMACIA Y BIOQUÍMICA,675.375,,,
175437,FARMACIA Y BIOQUÍMICA,543.125,,,
187148,FARMACIA Y BIOQUÍMICA,707.25,,,
187979,FARMACIA Y BIOQUÍMICA,964.5,,,
188940,FARMACIA Y BIOQUÍMICA,315.375,,,
