id,carrera,puntaje,vacante,observacion,segunda_opcion
561662,GESTIÓN TRIBUTARIA - S.J.L,897.375,5,ALCANZO VACANTE,
553009,GESTIÓN TRIBUTARIA - S.J.L,534.75,14,ALCANZO VACANTE,
575073,GESTIÓN TRIBUTARIA - S.J.L,1054.5,1,ALCANZO VACANTE,
592684,GESTIÓN TRIBUTARIA - S.J.L,975.125,3,ALCANZO VACANTE,
554298,GESTIÓN TRIBUTARIA - S.J.L,442.375,15,ALCANZO VACANTE,
571827,GESTIÓN TRIBUTARIA - S.J.L,635.5,11,ALCANZO VACANTE,
567075,GESTIÓN TRIBUTARIA - S.J.L,544.625,13,ALCANZO VACANTE,
580758,GESTIÓN TRIBUTARIA - S.J.L,649.5,10,ALCANZO VACANTE,
601922,GESTIÓN TRIBUTARIA - S.J.L,1050.375,2,ALCANZO VACANTE,
560671,GESTIÓN TRIBUTARIA - S.J.L,867.625,7,ALCANZO VACANTE,
582252,GESTIÓN TRIBUTARIA - S.J.L,610.0,12,ALCANZO VACANTE,
555929,GESTIÓN TRIBUTARIA - S.J.L,894.625,6,ALCANZO VACANTE,
566827,GESTIÓN TRIBUTARIA - S.J.L,960.375,4,ALCANZO VACANTE,
589861,GESTIÓN TRIBUTARIA - S.J.L,732.0,9,ALCANZO VACANTE,
585758,GESTIÓN TRIBUTARIA - S.J.L,820.375,8,ALCANZO VACANTE,
